Year,Interest Group ,Total Amount ,Dem %,GOP %,Democrats,Republicans
2000,Legal  Firms,"32,662,769",60.00%,39.00%,19597661.4,12738479.91
2000,Retired,"23,951,174",23.00%,76.00%,5508770.02,18202892.24
2000,Health Professionals,"20,453,574",40.00%,59.00%,8181429.6,12067608.66
2000,Real Estate,"19,973,388",42.00%,57.00%,8388822.96,11384831.16
2000,Securities,"19,674,416",40.00%,60.00%,7869766.4,11804649.6
2000,Insurance,"14,370,617",33.00%,66.00%,4742303.61,9484607.22
2000,Commercial Banks,"11,288,603",38.00%,62.00%,4289669.14,6998933.86
2000,Lobbyists,"9,252,879",48.00%,52.00%,4441381.92,4811497.08
2000,Transport Unions,"9,131,054",83.00%,17.00%,7578774.82,1552279.18
2000,Oil,"9,114,004",24.00%,76.00%,2187360.96,6926643.04
2000,Public Sector Unions,"8,918,544",87.00%,13.00%,7759133.28,1159410.72
2000,Leadership PACs,"8,082,736",30.00%,70.00%,2424820.8,5657915.2
2000,Misc Distrib,"8,045,100",29.00%,71.00%,2333079,5712021
2000,Electric Utilities,"8,013,613",38.00%,62.00%,3045172.94,4968440.06
2000,Business Services,"7,871,383",42.00%,58.00%,3305980.86,4565402.14
2000,Automotive,"7,679,372",26.00%,74.00%,1996636.72,5682735.28
2000,Industrial Unions,"7,558,483",97.00%,2.00%,7331728.51,151169.66
2000,Bldg Trade Unions,"7,265,535",88.00%,12.00%,6393670.8,871864.2
2000,General Contractors,"7,075,659",30.00%,69.00%,2122697.7,4882204.71
2000,Pharmaceutical,"7,005,180",29.00%,70.00%,2031502.2,4903626
2000,Accountants,"6,955,337",38.00%,62.00%,2643028.06,4312308.94
2000,Air Transport,"6,887,740",37.00%,63.00%,2548463.8,4339276.2
2000,Electronics,"6,693,916",41.00%,58.00%,2744505.56,3882471.28
2000,Misc Finance,"6,477,300",30.00%,70.00%,1943190,4534110
2000,Telephone Utilities,"6,368,751",40.00%,60.00%,2547500.4,3821250.6
2000,Entertainment,"5,955,497",50.00%,50.00%,2977748.5,2977748.5
