"","type","constr","operate","months","acc"
"1","A","C6064","O6074",127,0
"2","A","C6064","O7579",63,0
"3","A","C6569","O6074",1095,3
"4","A","C6569","O7579",1095,4
"5","A","C7074","O6074",1512,6
"6","A","C7074","O7579",3353,18
"7","A","C7579","O6074",NA,NA
"8","A","C7579","O7579",2244,11
"9","B","C6064","O6074",44882,39
"10","B","C6064","O7579",17176,29
"11","B","C6569","O6074",28609,58
"12","B","C6569","O7579",20370,53
"13","B","C7074","O6074",7064,12
"14","B","C7074","O7579",13099,44
"15","B","C7579","O6074",NA,NA
"16","B","C7579","O7579",7117,18
"17","C","C6064","O6074",1179,1
"18","C","C6064","O7579",552,1
"19","C","C6569","O6074",781,0
"20","C","C6569","O7579",676,1
"21","C","C7074","O6074",783,6
"22","C","C7074","O7579",1948,2
"23","C","C7579","O6074",NA,NA
"24","C","C7579","O7579",274,1
"25","D","C6064","O6074",251,0
"26","D","C6064","O7579",105,0
"27","D","C6569","O6074",288,0
"28","D","C6569","O7579",192,0
"29","D","C7074","O6074",349,2
"30","D","C7074","O7579",1208,11
"31","D","C7579","O6074",NA,NA
"32","D","C7579","O7579",2051,4
"33","E","C7579","O7579",45,0
"34","E","C6064","O7579",NA,NA
"35","E","C6569","O6074",789,7
"36","E","C6569","O7579",437,7
"37","E","C7074","O6074",1157,5
"38","E","C7074","O7579",2161,12
"39","E","C7579","O6074",NA,NA
"40","E","C7579","O7579",542,1
