"","choice","college","hsg2","coml5","type1","type2","type3","type4","type5","type6","fuel1","fuel2","fuel3","fuel4","fuel5","fuel6","price1","price2","price3","price4","price5","price6","range1","range2","range3","range4","range5","range6","acc1","acc2","acc3","acc4","acc5","acc6","speed1","speed2","speed3","speed4","speed5","speed6","pollution1","pollution2","pollution3","pollution4","pollution5","pollution6","size1","size2","size3","size4","size5","size6","space1","space2","space3","space4","space5","space6","cost1","cost2","cost3","cost4","cost5","cost6","station1","station2","station3","station4","station5","station6"
"1","choice1",0,0,0,"van","regcar","van","stwagon","van","truck","cng","cng","electric","electric","gasoline","gasoline",4.1753448,4.1753448,4.8177056,4.8177056,5.1388859,5.1388859,250,250,400,400,250,250,4,4,6,6,2.5,2.5,95,95,110,110,140,140,0.6,0.6,0.25,0.25,0.5,0.5,3,3,2,2,3,3,0.7,0.7,1,1,1,1,4,4,6,6,8,8,0.1,0.1,0.3,0.3,1,1
"2","choice2",1,1,1,"regcar","van","regcar","stwagon","regcar","truck","methanol","methanol","cng","cng","gasoline","gasoline",3.3109468,3.3109468,3.586859,3.586859,4.4145957,4.4145957,125,125,300,300,300,300,2.5,2.5,4,4,6,6,85,85,140,140,95,95,0,0,0.4,0.4,0.25,0.25,3,3,3,3,2,2,0.7,0.7,1,1,1,1,4,4,8,8,4,4,0,0,0.1,0.1,1,1
"3","choice5",0,1,0,"regcar","truck","regcar","van","regcar","stwagon","cng","cng","electric","electric","gasoline","gasoline",4.0395745,4.0395745,2.7772075,2.7772075,3.2821543,3.2821543,300,300,250,250,300,300,6,6,2.5,2.5,4,4,140,140,85,85,95,95,0.1,0.1,0.4,0.4,0.75,0.75,2,2,3,3,3,3,1,1,1,1,1,1,6,6,8,8,2,2,0.1,0.1,0.3,0.3,1,1
"4","choice5",0,0,1,"regcar","truck","regcar","van","regcar","stwagon","methanol","methanol","cng","cng","electric","electric",7.0659681,7.0659681,7.3871485,7.3871485,5.4600663,5.4600663,200,200,75,75,300,300,4,4,6,6,2.5,2.5,100,100,85,85,95,95,0,0,0.25,0.25,0.6,0.6,2,2,3,3,3,3,1,1,0.7,0.7,1,1,8,8,2,2,4,4,0,0,0.7,0.7,0.1,0.1
"5","choice5",0,1,0,"regcar","truck","regcar","van","regcar","stwagon","cng","cng","electric","electric","gasoline","gasoline",5.7941569,5.7941569,6.3459814,6.3459814,4.690508,4.690508,75,75,300,300,350,350,4,4,6,6,2.5,2.5,85,85,95,95,110,110,0.1,0.1,0.4,0.4,0.75,0.75,1,1,2,2,3,3,0.7,0.7,1,1,1,1,6,6,8,8,2,2,0.3,0.3,0.7,0.7,1,1
"6","choice5",0,0,0,"truck","regcar","truck","van","truck","stwagon","cng","cng","electric","electric","gasoline","gasoline",3.5329841,3.5329841,4.1753448,4.1753448,4.8177056,4.8177056,300,300,250,250,300,300,6,6,2.5,2.5,4,4,85,85,95,95,110,110,0.6,0.6,0.25,0.25,0.5,0.5,3,3,2,2,3,3,1,1,1,1,1,1,6,6,8,8,2,2,0.1,0.1,0.3,0.3,1,1
"7","choice2",1,1,1,"regcar","van","regcar","stwagon","regcar","truck","methanol","methanol","cng","cng","gasoline","gasoline",1.9270822,1.9270822,0.96354111,0.96354111,1.4453117,1.4453117,125,125,300,300,300,300,6,6,2.5,2.5,4,4,100,100,85,85,110,110,0,0,0.25,0.25,1,1,2,2,3,3,3,3,1,1,0.7,0.7,1,1,8,8,4,4,8,8,0,0,0.7,0.7,1,1
"8","choice5",1,0,1,"regcar","van","regcar","stwagon","regcar","truck","methanol","methanol","cng","cng","gasoline","gasoline",6.0700691,6.0700691,6.3459814,6.3459814,5.2423324,5.2423324,125,125,300,300,300,300,6,6,2.5,2.5,4,4,85,85,140,140,95,95,0,0,0.4,0.4,0.25,0.25,3,3,3,3,2,2,1,1,0.7,0.7,1,1,1,1,4,4,8,8,0,0,0.7,0.7,1,1
"9","choice5",0,0,0,"sportuv","sportcar","sportuv","regcar","sportuv","truck","methanol","methanol","electric","electric","gasoline","gasoline",3.0674666,3.0674666,3.8343333,3.8343333,4.0899555,4.0899555,125,125,250,250,300,300,2.5,2.5,4,4,6,6,65,65,140,140,85,85,0,0,0.75,0.75,0.25,0.25,3,3,3,3,2,2,0.7,0.7,1,1,1,1,4,4,4,4,6,6,0,0,0.3,0.3,1,1
"10","choice2",1,0,0,"regcar","truck","regcar","van","regcar","stwagon","methanol","methanol","cng","cng","electric","electric",3.8017382,3.8017382,2.4599482,2.4599482,2.9072116,2.9072116,200,200,75,75,300,300,4,4,6,6,2.5,2.5,85,85,140,140,85,85,0,0,0.4,0.4,0.75,0.75,2,2,3,3,1,1,1,1,0.7,0.7,1,1,2,2,2,2,4,4,0,0,0.7,0.7,0.1,0.1
