"","Whorls","Loops","count"
"1","0","0",78
"2","1","0",106
"3","2","0",130
"4","3","0",125
"5","4","0",104
"6","5","0",50
"7","0","1",144
"8","1","1",153
"9","2","1",92
"10","3","1",38
"11","4","1",26
"12","5","1",NA
"13","0","2",204
"14","1","2",126
"15","2","2",55
"16","3","2",7
"17","4","2",NA
"18","5","2",NA
"19","0","3",211
"20","1","3",80
"21","2","3",15
"22","3","3",NA
"23","4","3",NA
"24","5","3",NA
"25","0","4",179
"26","1","4",32
"27","2","4",NA
"28","3","4",NA
"29","4","4",NA
"30","5","4",NA
"31","0","5",45
"32","1","5",NA
"33","2","5",NA
"34","3","5",NA
"35","4","5",NA
"36","5","5",NA
