"","family","father","mother","midparentHeight","children","childNum","gender","childHeight"
"1","001",78.5,67,75.43,4,1,"male",73.2
"2","001",78.5,67,75.43,4,2,"female",69.2
"3","001",78.5,67,75.43,4,3,"female",69
"4","001",78.5,67,75.43,4,4,"female",69
"5","002",75.5,66.5,73.66,4,1,"male",73.5
"6","002",75.5,66.5,73.66,4,2,"male",72.5
"7","002",75.5,66.5,73.66,4,3,"female",65.5
"8","002",75.5,66.5,73.66,4,4,"female",65.5
"9","003",75,64,72.06,2,1,"male",71
"10","003",75,64,72.06,2,2,"female",68
"11","004",75,64,72.06,5,1,"male",70.5
"12","004",75,64,72.06,5,2,"male",68.5
"13","004",75,64,72.06,5,3,"female",67
"14","004",75,64,72.06,5,4,"female",64.5
"15","004",75,64,72.06,5,5,"female",63
"16","005",75,58.5,69.09,6,1,"male",72
"17","005",75,58.5,69.09,6,2,"male",69
"18","005",75,58.5,69.09,6,3,"male",68
"19","005",75,58.5,69.09,6,4,"female",66.5
"20","005",75,58.5,69.09,6,5,"female",62.5
"21","005",75,58.5,69.09,6,6,"female",62.5
"22","006",74,68,73.72,1,1,"female",69.5
"23","007",74,68,73.72,6,1,"male",76.5
"24","007",74,68,73.72,6,2,"male",74
"25","007",74,68,73.72,6,3,"male",73
"26","007",74,68,73.72,6,4,"male",73
"27","007",74,68,73.72,6,5,"female",70.5
"28","007",74,68,73.72,6,6,"female",64
"29","008",74,66.5,72.91,3,1,"female",70.5
"30","008",74,66.5,72.91,3,2,"female",68
"31","008",74,66.5,72.91,3,3,"female",66
"32","009",74.5,66,72.89,1,1,"female",66
"33","010",74,65.5,72.37,1,1,"female",65.5
"34","011",74,62,70.48,8,1,"male",74
"35","011",74,62,70.48,8,2,"male",70
"36","011",74,62,70.48,8,3,"female",68
"37","011",74,62,70.48,8,4,"female",67
"38","011",74,62,70.48,8,5,"female",67
"39","011",74,62,70.48,8,6,"female",66
"40","011",74,62,70.48,8,7,"female",63.5
"41","011",74,62,70.48,8,8,"female",63
"42","012",74,61,69.94,1,1,"female",65
"43","013",73,67,72.68,2,1,"male",71
"44","013",73,67,72.68,2,2,"female",62
"45","014",73,67,72.68,2,1,"male",68
"46","014",73,67,72.68,2,2,"male",67
"47","015",73,66.5,72.41,3,1,"male",71
"48","015",73,66.5,72.41,3,2,"male",70.5
"49","015",73,66.5,72.41,3,3,"female",66.7
"50","016",73,65,71.6,9,1,"male",72
"51","016",73,65,71.6,9,2,"male",70.5
"52","016",73,65,71.6,9,3,"male",70.2
"53","016",73,65,71.6,9,4,"male",70.2
"54","016",73,65,71.6,9,5,"male",69.2
"55","016",73,65,71.6,9,6,"female",68.7
"56","016",73,65,71.6,9,7,"female",66.5
"57","016",73,65,71.6,9,8,"female",64.5
"58","016",73,65,71.6,9,9,"female",63.5
"59","017",73,64.5,71.33,6,1,"male",74
"60","017",73,64.5,71.33,6,2,"male",73
"61","017",73,64.5,71.33,6,3,"male",71.5
"62","017",73,64.5,71.33,6,4,"male",62.5
"63","017",73,64.5,71.33,6,5,"female",66.5
"64","017",73,64.5,71.33,6,6,"female",62.3
"65","018",73,64,71.06,3,1,"female",66
"66","018",73,64,71.06,3,2,"female",64.5
"67","018",73,64,71.06,3,3,"female",64
"68","019",73.2,63,70.62,1,1,"female",62.7
"69","020",72.7,69,73.61,8,1,"male",73.2
"70","020",72.7,69,73.61,8,2,"male",73
"71","020",72.7,69,73.61,8,3,"male",72.7
"72","020",72.7,69,73.61,8,4,"female",70
"73","020",72.7,69,73.61,8,5,"female",69
"74","020",72.7,69,73.61,8,6,"female",68.5
"75","020",72.7,69,73.61,8,7,"female",68
"76","020",72.7,69,73.61,8,8,"female",66
"77","021",72,68,72.72,3,1,"male",73
