"","sex","age","educ","country","y","v1","v2","v3","v4","v5","v6"
"109276",0,20,4,"Eurasia",1,4,3,3,5,3,4
"88178",1,25,4,"Oceana",2,3,3,5,5,5,5
"111063",1,56,2,"Eastasia",2,3,2,4,5,5,4
"161488",0,65,6,"Eastasia",2,3,3,5,5,5,5
"44532",1,50,5,"Oceana",1,5,3,5,5,3,5
"95503",0,20,5,"Eastasia",1,4,4,3,3,4,4
"26276",1,63,2,"Oceana",2,3,3,4,4,4,5
"26299",0,39,3,"Oceana",2,4,3,3,4,3,3
"89206",0,58,2,"Oceana",2,3,3,5,5,5,5
"24342",0,40,3,"Oceana",1,2,2,3,5,4,5
"109960",1,37,4,"Eurasia",1,4,4,3,5,1,3
"117509",1,22,5,"Eurasia",2,4,4,5,4,5,4
"11633",1,37,6,"Eastasia",3,5,1,4,5,4,5
"57867",0,46,1,"Oceana",1,5,5,5,5,5,5
"30513",0,49,5,"Oceana",1,3,4,4,4,5,5
"91576",1,28,3,"Oceana",2,4,3,4,3,3,3
"42161",0,59,4,"Oceana",1,5,2,5,5,3,5
"74317",0,26,3,"Oceana",1,2,1,4,5,3,5
"661",1,26,3,"Oceana",2,5,3,4,5,5,5
"41371",1,41,5,"Oceana",1,2,1,4,4,3,5
"60279",0,54,1,"Oceana",1,5,4,5,5,4,5
"110851",1,37,6,"Eurasia",2,5,1,5,5,5,5
"22764",0,51,4,"Oceana",1,3,1,3,4,4,5
"92556",0,30,5,"Oceana",1,2,1,4,5,4,5
"38858",0,22,5,"Eastasia",4,5,5,5,5,5,5
"71819",0,21,1,"Eastasia",4,5,3,5,5,5,5
"108399",0,24,6,"Eurasia",2,4,5,4,4,5,4
"27707",1,81,3,"Oceana",4,5,5,5,5,5,5
"166386",0,34,4,"Eastasia",1,4,2,4,5,2,5
"8524",1,32,1,"Eastasia",4,5,4,5,5,5,5
"25230",1,84,4,"Oceana",1,4,4,4,4,4,4
"106816",0,18,2,"Eastasia",1,2,1,5,5,4,5
"21996",1,60,3,"Oceana",1,2,1,4,4,4,5
"27273",0,71,3,"Oceana",1,5,5,5,5,5,5
"25441",0,42,7,"Oceana",2,4,4,4,4,4,5
"27977",0,82,3,"Oceana",1,4,4,4,4,4,5
"52125",1,52,5,"Eastasia",4,5,5,5,5,5,5
"108539",1,46,2,"Eurasia",1,5,5,5,5,5,5
"41496",0,54,4,"Oceana",1,5,2,3,4,4,5
"29648",0,55,4,"Oceana",3,4,3,5,5,5,5
"108418",0,27,6,"Eurasia",2,4,2,4,4,3,3
"30295",1,68,3,"Oceana",1,3,2,4,5,5,5
"74586",1,34,3,"Oceana",2,4,2,5,5,4,3
"31052",0,22,5,"Oceana",1,4,3,4,5,4,5
"76803",1,71,1,"Oceana",2,4,4,4,5,4,5
"23208",0,18,4,"Oceana",2,3,1,3,3,3,3
"119800",0,60,2,"Eurasia",2,4,3,3,5,5,4
"50886",1,64,6,"Eastasia",1,4,1,5,1,4,5
"60488",1,63,1,"Oceana",4,5,4,5,5,5,5
"109296",1,27,2,"Eurasia",2,4,3,5,5,5,5
"42602",1,61,3,"Oceana",1,2,2,4,4,4,5
"26072",1,70,2,"Oceana",1,5,5,5,5,5,5
"30418",1,53,3,"Oceana",3,5,5,5,5,5,5
"108736",0,43,2,"Eurasia",2,5,5,5,5,5,5
"116362",1,28,1,"Eurasia",3,4,4,5,4,4,4
"2792",1,37,2,"Oceana",3,5,1,4,3,3,5
"119468",0,27,4,"Eurasia",1,3,3,3,4,5,5
"43574",0,74,3,"Oceana",1,2,2,2,5,3,5
"60125",0,41,NA,"Oceana",1,5,2,4,5,5,5
"157865",1,60,1,"Eastasia",2,4,3,5,5,3,5
"30266",0,19,4,"Oceana",1,3,4,5,5,5,5
"4949",1,26,4,"Oceana",2,5,5,5,4,4,4
"30485",0,68,7,"Oceana",2,3,4,3,4,5,5
"90418",1,24,5,"Oceana",2,3,2,5,5,3,5
"41906",1,34,3,"Oceana",2,3,2,5,4,5,5
"26469",1,71,3,"Oceana",2,3,3,3,5,5,5
"31119",1,56,4,"Oceana",1,5,2,5,5,4,5
"73821",1,45,1,"Oceana",2,4,2,5,3,4,5
"120523",1,36,1,"Eurasia",2,3,3,4,4,4,5
"109579",1,20,6,"Eurasia",1,2,5,4,5,5,5
