"","ipip","wage1992","prtyid","ideol","gender"
"1",3,0.614226460456848,7,5,1
"2",4,NA,5,5,1
"3",4,0.267989993095398,7,6,1
"4",1,0.261489987373352,1,4,1
"5",3,NA,2,NA,1
"6",4,0.464700013399124,5,3,0
"7",3,0.673849999904633,3,5,1
"8",5,NA,4,2,1
"9",2,0.600469946861267,1,1,1
"10",4,0.785520017147064,2,3,1
"11",3,0.367390006780624,5,2,0
"12",3,0.387620002031326,7,4,0
"13",NA,0.394959986209869,NA,NA,1
"14",3,0.312420010566711,5,NA,1
"15",NA,1.13774001598358,4,4,0
"16",3,0.600469946861267,7,6,1
"17",3,0.461620002985001,6,4,0
"18",NA,0.785520017147064,1,NA,0
"19",3,0.408399999141693,5,3,1
"20",5,0.518409967422485,7,4,1
"21",NA,0.267989993095398,3,2,0
"22",3,0.265219986438751,3,NA,1
"23",4,0.614226460456848,3,5,1
"24",3,NA,4,3,0
"25",5,NA,7,6,1
"26",3,NA,3,6,1
"27",2,0.581430017948151,5,NA,1
"28",3,0.408399999141693,2,NA,1
"29",NA,0.261489987373352,4,NA,1
"30",3,NA,5,NA,1
"31",5,0.267989993095398,1,NA,1
"32",5,0.408399999141693,6,NA,0
"33",4,0.440597921609879,6,4,1
"34",3,0.394959986209869,2,4,1
"35",3,0.511519968509674,1,NA,0
"36",3,0.785520017147064,6,NA,0
"37",5,0.785520017147064,5,6,0
"38",3,0.614226460456848,4,NA,0
"39",3,0.673849999904633,5,6,0
"40",2,0.65021002292633,2,3,1
"41",3,0.592509984970093,5,5,0
"42",3,0.644749999046326,6,3,1
"43",4,0.267989993095398,6,5,0
"44",5,0.614226460456848,2,5,0
"45",3,NA,1,4,1
"46",3,0.701979994773865,2,3,1
"47",5,0.427269995212555,6,6,1
"48",3,0.189989998936653,6,4,1
"49",3,0.511519968509674,2,NA,0
"50",4,0.518409967422485,7,7,0
"51",5,0.335929989814758,5,4,1
"52",2,0.65021002292633,1,2,0
"53",3,0.592509984970093,7,4,0
"54",4,0.367390006780624,4,4,0
"55",NA,0.387620002031326,5,NA,0
"56",3,0.785520017147064,6,3,0
"57",3,0.320780009031296,1,6,1
"58",3,0.394959986209869,7,6,1
"59",5,0.785520017147064,7,6,1
"60",5,0.267989993095398,2,2,0
"61",3,0.414970010519028,7,6,0
"62",NA,0.309140026569366,4,3,0
"63",4,0.406390011310577,1,2,1
"64",3,0.673849999904633,7,6,1
"65",5,0.511519968509674,1,2,0
"66",3,0.614226460456848,2,2,0
"67",3,0.261489987373352,2,NA,1
"68",4,0.600469946861267,1,5,1
"69",5,0.785520017147064,7,7,0
"70",5,NA,1,5,1
"71",3,0.364969998598099,5,5,0
"72",3,0.320780009031296,NA,7,1
"73",3,0.336679995059967,2,NA,0
"74",NA,0.390350013971329,3,4,0
"75",3,0.785520017147064,7,4,0
"76",3,0.446730017662048,5,4,0
"77",3,NA,7,6,1
"78",1,0.309140026569366,7,4,0
"79",2,0.408399999141693,7,4,1
"80",3,0.592509984970093,7,2,0
"81",3,0.662460029125214,1,2,0
"82",NA,0.267989993095398,2,NA,1
"83",5,0.592509984970093,3,5,0
"84",3,0.903599977493286,2,2,0
"85",5,0.477019995450974,5,NA,0
"86",3,0.545379996299744,5,NA,0
"87",5,0.688880026340485,5,6,1
"88",5,0.309140026569366,2,NA,0
"89",NA,0.265219986438751,4,NA,0
"90",4,0.592509984970093,1,2,1
"91",3,0.701979994773865,7,6,1
"92",3,0.903599977493286,5,5,0
"93",3,0.408600002527237,1,NA,0
"94",3,0.785520017147064,1,2,1
"95",NA,0.529449999332428,1,4,0
"96",4,0.320780009031296,7,2,1
"97",5,0.364969998598099,5,3,1
"98",3,0.361250013113022,2,NA,1
"99",5,0.662460029125214,4,NA,0
"100",NA,0.673849999904633,4,5,1
"101",4,NA,5,4,1
"102",3,0.532429993152618,1,NA,0
"103",3,0.440597921609879,1,2,0
"104",4,0.367390006780624,4,NA,0
"105",3,0.785520017147064,5,5,0
"106",4,0.688880026340485,2,5,0
"107",4,0.385200023651123,4,NA,0
"108",4,NA,3,6,1
"109",5,0.701979994773865,6,4,0
"110",3,0.401980012655258,1,4,0
"111",3,NA,5,NA,1
"112",3,0.343410015106201,2,NA,1
"113",2,0.65021002292633,4,3,1
"114",NA,NA,7,6,0
"115",3,0.343410015106201,4,4,0
"116",3,0.785520017147064,6,5,0
"117",4,0.592509984970093,1,4,0
"118",NA,NA,1,6,0
"119",4,NA,4,4,1
"120",3,NA,2,NA,1
"121",3,0.673849999904633,3,NA,0
"122",1,0.688880026340485,2,4,1
"123",3,0.364969998598099,1,NA,1
"124",3,0.320780009031296,3,3,1
"125",3,NA,3,3,1
"126",5,0.609759986400604,6,2,1
"127",4,0.320780009031296,1,NA,1
"128",5,0.400240004062653,6,5,1
"129",3,0.600469946861267,3,4,1
"130",5,0.518409967422485,3,4,1
"131",3,0.600469946861267,2,4,1
"132",5,0.785520017147064,7,NA,0
"133",5,0.785520017147064,5,5,0
"134",5,NA,4,6,1
"135",5,NA,NA,NA,1
"136",3,0.644749999046326,1,6,0
"137",3,0.320780009031296,6,5,1
"138",NA,0.385200023651123,1,3,1
"139",3,NA,7,5,1
"140",3,0.315829992294312,2,NA,1
"141",4,0.785520017147064,3,3,0
"142",3,0.518409967422485,7,6,1
"143",5,0.614226460456848,7,6,0
"144",3,1.10091006755829,6,5,0
"145",4,0.600469946861267,6,5,1
"146",3,0.600469946861267,2,4,1
"147",3,0.785520017147064,5,NA,1
"148",5,0.414970010519028,7,4,0
"149",4,0.36285999417305,6,4,0
"150",3,0.65021002292633,4,4,0
"151",4,0.464899986982346,4,NA,1
"152",5,0.785520017147064,5,4,1
"153",3,0.785520017147064,2,2,0
"154",3,0.785520017147064,1,3,1
"155",4,0.785520017147064,7,5,0
"156",3,0.600469946861267,5,NA,0
"157",NA,0.511519968509674,4,NA,0
"158",5,NA,5,4,0
"159",4,0.673849999904633,5,6,0
"160",3,0.785520017147064,6,5,0
"161",4,0.673849999904633,6,5,0
"162",3,0.614226460456848,6,6,0
"163",3,NA,7,6,0
"164",2,0.793409943580627,5,6,0
"165",3,0.701979994773865,2,5,0
"166",5,0.320780009031296,1,NA,1
"167",3,0.487359970808029,3,3,0
"168",4,0.394959986209869,4,5,1
"169",NA,0.529449999332428,3,NA,0
"170",4,0.320780009031296,1,4,1
"171",5,0.785520017147064,2,6,0
"172",3,0.609759986400604,2,4,1
"173",3,0.614226460456848,3,2,0
"174",4,0.267989993095398,1,3,1
"175",4,0.394959986209869,4,4,1
"176",5,0.785520017147064,3,4,0
"177",3,0.614226460456848,5,6,0
