"","V1","V2","V3","V4","V5","V6"
"1",NA,-203.7,-84.1,18.5,NA,NA
"2",NA,-203,-97.8,25.8,134.7,NA
"3",NA,-249,-92.1,27.8,177.1,NA
"4",NA,-231.5,-97.5,27,150.3,NA
"5",NA,NA,-130.1,25.8,160,NA
"6",NA,-223.1,-70.7,62.1,197.5,NA
"7",NA,-164.8,-12.2,76.8,202.8,NA
"8",NA,-221.6,-81.9,27.5,144.5,NA
"9",NA,-153.7,-17,76.1,222.4,NA
"10",NA,-184.7,-47.3,74.4,208.9,NA
"11",NA,NA,-148.8,11.4,137.7,NA
"12",NA,-197.6,-6.4,137.1,NA,NA
"13",NA,-247.8,-35.4,80.9,229.5,NA
"14",NA,-227,-104.7,20.2,140.2,NA
"15",-233.6,-115.9,-10.5,70,202.6,NA
"16",NA,-232.4,-100.6,16.8,145.1,NA
"17",NA,-199.4,-58.2,29.1,184.4,NA
"18",NA,-195.7,-89.5,26.4,142.7,NA
"19",NA,-180.1,-65,27.3,171.1,NA
"20",NA,NA,-85.2,27.1,NA,NA
"21",NA,-217.3,-77.1,27.6,151.5,NA
"22",NA,-139.7,-15.8,83,215.5,NA
"23",-249.6,-132.8,-14.1,78.1,205.7,NA
"24",NA,-152.7,-36.9,29.7,149.8,NA
"25",NA,-224.1,-81.9,29.1,172.2,NA
"26",NA,NA,-235.8,6,144.4,NA
"27",NA,-202.8,-45.1,84,227.3,NA
"28",-240.9,-138.4,-21.5,73.4,210.6,NA
"29",-247.1,-128.2,-31.3,29.2,143.1,NA
"30",NA,-185.4,-80.3,23.9,115.8,222.7
"31",NA,-182.5,-75.8,27.5,165.2,NA
"32",NA,-202.2,-99.1,23.8,136.3,242.5
"33",NA,-193.3,-82.6,26.3,160.5,NA
"34",NA,-189.4,-63.3,27.6,136.8,NA
"35",NA,-149,-31,73.5,187.8,NA
"36",NA,-162.4,-26.5,72.6,NA,NA
"37",NA,-213.4,-107.2,24.7,158.5,NA
"38",NA,-183.1,-38.8,69.1,207.7,NA
"39",NA,-247.2,-115.2,14.3,141.1,NA
"40",NA,-233.6,-85.9,27.6,164,NA
"41",NA,-167.9,-33,72,236.9,NA
"42",NA,-186,-54.1,74,229.4,NA
"43",-247,-132.2,-18.8,28.2,81.4,237.9
"44",NA,-204.9,-87.4,27.2,165.8,NA
"45",NA,-166.6,-19.3,74,207.8,NA
"46",NA,-190.3,-54.2,84.2,210.9,NA
"47",NA,-191.4,-39.7,76,227,NA
"48",NA,-165.8,-21.6,73.7,224.7,NA
"49",NA,-118.4,-9.1,79.2,214.2,NA
"50",NA,-197.4,-63.9,64.6,190.6,NA
"51",NA,-230.4,-98.3,27.1,132.2,243
"52",NA,-202.8,-35,71.5,221.8,NA
"53",NA,-170.6,-51.7,29.1,140.5,NA
"54",NA,-226.5,-80.5,27.5,155.3,NA
"55",NA,-153.2,-40.3,70.2,186.3,NA
"56",NA,-198.8,-57.7,67.3,218.3,NA
"57",NA,-224.4,-106.4,19.2,125.4,NA
"58",NA,-170,-31,79.2,209.7,NA
"59",NA,-239.1,-97.1,27.4,169.6,NA
"60",NA,-236.5,-80,27.2,152.2,NA
"61",NA,-233.9,-83.4,30.1,190.9,NA
"62",NA,NA,-115.6,26.3,146.4,NA
"63",NA,-239.9,-115.9,26.6,175.8,NA
"64",NA,-210,-89.4,14.2,130.3,NA
"65",NA,-162,-47.6,28.2,149.6,NA
"66",NA,-156.2,-32.2,68.4,202.9,NA
"67",NA,-200.1,-71.5,29,172.7,NA
"68",NA,-238.1,-95.2,29.2,181.8,NA
"69",NA,-160.4,-32,73.8,209.8,NA
"70",NA,-217.5,-115,18.4,144.3,NA
"71",NA,-182.4,-74.5,27.4,144.7,NA
"72",-216.8,-121.8,-25.9,74.2,224.3,NA
"73",NA,-191.6,-81.5,26.1,132.2,NA
"74",NA,NA,-115.5,27.1,182.2,NA
"75",NA,-233.9,-95.9,26.1,150.8,NA
"76",NA,-197.4,-81.7,29.3,224.1,NA
"77",NA,-237.4,-106.8,25.7,141.5,NA
"78",NA,-177.3,-53.4,71.1,193.3,NA
"79",NA,-236,-108,20.8,116.7,234.7
"80",NA,-158.6,-35,70.9,192.8,NA
"81",NA,-232.2,-90.9,20.8,102.8,NA
"82",NA,NA,-125.9,82.7,210.6,NA
"83",NA,-226.1,-106,26.4,95.8,NA
"84",NA,-139.3,-4,85.1,NA,NA
"85",NA,NA,-112.1,24.8,96.2,NA
"86",NA,NA,-103.3,27.6,152.4,NA
"87",NA,-236.6,-90.8,29,NA,NA
"88",NA,-179.5,-16.8,78.1,NA,NA
"89",NA,-220.3,-108,26.3,138.4,NA
"90",NA,-231.3,-104.2,27.5,138.8,NA
"91",NA,NA,-87.9,29.7,165.6,NA
"92",NA,NA,-102.1,17.4,194.3,NA
"93",NA,-129.3,-19.2,79.3,NA,NA
"94",NA,-166.1,-29.7,75.9,NA,NA
"95",NA,-206.6,-75.6,28.2,195.3,NA
"96",NA,-168.1,-31.1,65.6,236.2,NA
"97",NA,-98.6,-6,119,NA,NA
"98",NA,-209.2,-40.2,82.1,NA,NA
"99",NA,-248.9,-122.7,10.3,122.7,NA
"100",NA,-161.4,-19.3,102.4,232.1,NA
"101",NA,-239,-30,72.9,224.2,NA
"102",NA,-244.1,-102.3,25.9,149.4,NA
"103",NA,-246.9,-120.9,5.8,130.8,NA
"104",NA,-200.2,-73.9,27.7,152.4,NA
"105",NA,-232,-68.6,51.2,177.7,NA
"106",NA,-193.1,-70.7,52.3,204.5,NA
"107",NA,-200.8,-55.1,71.8,213.8,NA
"108",NA,-223.2,-61.3,69.8,204.8,NA
