"","time","wool"
"1",1,0.1585
"2",2,0.1668
"3",3,0.1745
"4",4,0.1553
"5",5,0.1477
"6",6,0.1552
"7",7,0.1448
"8",8,0.1353
"9",9,0.1352
"10",10,0.1123
"11",11,0.1053
"12",12,0.0934
"13",13,0.0924
"14",14,0.0956
"15",15,0.0953
"16",16,0.0875
"17",17,0.075
"18",18,0.081
"19",19,0.0865
"20",20,0.102
"21",21,0.1087
"22",22,0.1026
"23",23,0.1087
"24",24,0.122
"25",25,0.1283
"26",26,0.122
"27",27,0.122
"28",28,0.1251
"29",29,0.1255
"30",30,0.1231
"31",31,0.1263
"32",32,0.1425
"33",33,0.149
"34",34,0.149
"35",35,0.1689
"36",36,0.1756
"37",37,0.1655
"38",38,0.1655
"39",39,0.1589
"40",40,0.1655
"41",41,0.1749
"42",42,0.1749
"43",43,0.1691
"44",44,0.1589
"45",45,0.1623
"46",46,0.1556
"47",47,0.1522
"48",48,0.146
"49",49,0.1422
"50",50,0.1319
"51",51,0.1254
"52",52,0.1228
"53",53,0.1298
"54",54,0.1265
"55",55,0.1298
"56",56,0.1397
"57",57,0.1431
"58",58,0.1498
"59",59,0.1498
"60",60,0.1498
"61",61,0.1464
"62",62,0.1431
"63",63,0.1356
"64",64,0.1352
"65",65,0.1381
"66",66,0.1343
"67",67,0.1254
"68",68,0.1323
"69",69,0.1376
"70",70,0.1397
"71",71,0.1425
"72",72,0.1453
"73",73,0.142
"74",74,0.142
"75",75,0.1388
"76",76,0.1291
"77",77,0.1279
"78",78,0.1311
"79",79,0.1355
"80",80,0.1192
"81",81,0.1255
"82",82,0.1192
"83",83,0.1255
"84",84,0.1255
"85",85,0.122
"86",86,0.122
"87",87,0.1192
"88",88,0.1216
"89",89,0.1216
"90",90,0.1248
"91",91,0.1307
"92",92,0.1307
"93",93,0.1279
"94",94,0.1251
"95",95,0.122
"96",96,0.124
"97",97,0.124
"98",98,0.1184
"99",99,0.1181
"100",100,0.1292
"101",101,0.1261
"102",102,0.1416
"103",103,0.1384
"104",104,0.1538
"105",105,0.1346
"106",106,0.1461
"107",107,0.1542
"108",108,0.1596
"109",109,0.1568
"110",110,0.194
"111",111,0.2076
"112",112,0.2562
"113",113,0.259
"114",114,0.2534
"115",115,0.2617
"116",116,0.2645
"117",117,0.244
"118",118,0.2412
"119",119,0.2467
"120",120,0.2384
"121",121,0.2291
"122",122,0.24
"123",123,0.2373
"124",124,0.2425
"125",125,0.2371
"126",126,0.249
"127",127,0.2445
"128",128,0.2582
"129",129,0.2926
"130",130,0.2746
"131",131,0.2795
"132",132,0.2755
"133",133,0.2757
"134",134,0.287
"135",135,0.2949
"136",136,0.2963
"137",137,0.2744
"138",138,0.2864
"139",139,0.2851
"140",140,0.2766
"141",141,0.2645
"142",142,0.2802
"143",143,0.3173
"144",144,0.3127
"145",145,0.3145
"146",146,0.3489
"147",147,0.3677
"148",148,0.3537
"149",149,0.3554
"150",150,0.347
"151",151,0.3662
"152",152,0.3579
"153",153,0.3607
"154",154,0.3631
"155",155,0.3656
"156",156,0.3747
"157",157,0.3468
"158",158,0.3462
"159",159,0.3285
"160",160,0.3337
"161",161,0.3238
"162",162,0.3411
"163",163,0.3198
"164",164,0.311
"165",165,0.3215
"166",166,0.3002
"167",167,0.2926
"168",168,0.2927
"169",169,0.2664
"170",170,0.2706
"171",171,0.2582
"172",172,0.2394
"173",173,0.2408
"174",174,0.2208
"175",175,0.2236
"176",176,0.2109
"177",177,0.2208
"178",178,0.2231
"179",179,0.2236
"180",180,0.2265
"181",181,0.2333
"182",182,0.2455
"183",183,0.2623
"184",184,0.2779
"185",185,0.273
"186",186,0.2737
"187",187,0.2688
"188",188,0.2647
"189",189,0.246
"190",190,0.2447
"191",191,0.2376
"192",192,0.2306
"193",193,0.2403
"194",194,0.2403
"195",195,0.245
"196",196,0.2026
"197",197,0.2069
"198",198,0.2069
"199",199,0.2116
"200",200,0.2151
"201",201,0.217
"202",202,0.2183
"203",203,0.2151
"204",204,0.2135
"205",205,0.2165
"206",206,0.2099
"207",207,0.2075
"208",208,0.2103
"209",209,0.2127
"210",210,0.2165
"211",211,0.2141
"212",212,0.2255
"213",213,0.2255
"214",214,0.2232
"215",215,0.219
"216",216,0.2209
"217",217,0.2231
"218",218,0.2191
"219",219,0.2294
"220",220,0.2677
"221",221,0.2632
"222",222,0.2707
"223",223,0.2713
"224",224,0.2667
"225",225,0.2712
"226",226,0.2735
"227",227,0.2627
"228",228,0.2565
"229",229,0.2543
"230",230,0.2632
"231",231,0.2677
"232",232,0.2814
"233",233,0.2768
"234",234,0.2784
"235",235,0.283
"236",236,0.2853
"237",237,0.2762
"238",238,0.2808
"239",239,0.259
"240",240,0.2613
"241",241,0.247
"242",242,0.2583
"243",243,0.247
"244",244,0.236
"245",245,0.2631
"246",246,0.2684
"247",247,0.2713
"248",248,0.2549
"249",249,0.2537
"250",250,0.2537
"251",251,0.2593
"252",252,0.2649
"253",253,0.286
"254",254,0.2808
"255",255,0.2843
"256",256,0.2802
"257",257,0.2843
"258",258,0.2808
"259",259,0.2845
"260",260,0.2876
"261",261,0.3188
"262",262,0.2882
"263",263,0.3072
"264",264,0.3134
