"","Site","Al","Fe","Mg","Ca","Na"
"1","Llanedyrn",14.4,7,4.3,0.15,0.51
"2","Llanedyrn",13.8,7.08,3.43,0.12,0.17
"3","Llanedyrn",14.6,7.09,3.88,0.13,0.2
"4","Llanedyrn",11.5,6.37,5.64,0.16,0.14
"5","Llanedyrn",13.8,7.06,5.34,0.2,0.2
"6","Llanedyrn",10.9,6.26,3.47,0.17,0.22
"7","Llanedyrn",10.1,4.26,4.26,0.2,0.18
"8","Llanedyrn",11.6,5.78,5.91,0.18,0.16
"9","Llanedyrn",11.1,5.49,4.52,0.29,0.3
"10","Llanedyrn",13.4,6.92,7.23,0.28,0.2
"11","Llanedyrn",12.4,6.13,5.69,0.22,0.54
"12","Llanedyrn",13.1,6.64,5.51,0.31,0.24
"13","Llanedyrn",12.7,6.69,4.45,0.2,0.22
"14","Llanedyrn",12.5,6.44,3.94,0.22,0.23
"15","Caldicot",11.8,5.44,3.94,0.3,0.04
"16","Caldicot",11.6,5.39,3.77,0.29,0.06
"17","IsleThorns",18.3,1.28,0.67,0.03,0.03
"18","IsleThorns",15.8,2.39,0.63,0.01,0.04
"19","IsleThorns",18,1.5,0.67,0.01,0.06
"20","IsleThorns",18,1.88,0.68,0.01,0.04
"21","IsleThorns",20.8,1.51,0.72,0.07,0.1
"22","AshleyRails",17.7,1.12,0.56,0.06,0.06
"23","AshleyRails",18.3,1.14,0.67,0.06,0.05
"24","AshleyRails",16.7,0.92,0.53,0.01,0.05
"25","AshleyRails",14.8,2.74,0.67,0.03,0.05
"26","AshleyRails",19.1,1.64,0.6,0.1,0.03
