"","district","D","R","Other","IncParty","IncName","open","contested","Bush2004","Kerry2004","Other2004","Bush2000","Gore2000"
"1",1,111650,49663,7850,"D","Thompson",FALSE,TRUE,111754,173926,5508,98506,131376
"2",2,54829,108002,5613,"R","Herger",FALSE,TRUE,173528,102254,3980,150196,81861
"3",3,72815,114155,5193,"R","Lungren",FALSE,TRUE,176512,123671,2936,142946,107690
"4",4,97705,105525,10754,"R","Doolittle",FALSE,TRUE,216838,132267,4119,172169,104437
"5",5,89119,29824,7110,"D","Matsui",FALSE,TRUE,77788,125378,2172,66011,113987
"6",6,127777,50061,6802,"D","Woolsey",FALSE,TRUE,90432,226051,4574,87082,178746
"7",7,106955,NA,21021,"D","Miller",FALSE,FALSE,72994,153988,2300,64477,139421
"8",8,119616,15859,13364,"D","Pelosi",FALSE,TRUE,40558,244009,4024,37737,196878
"9",9,148876,18810,4969,"D","Lee",FALSE,TRUE,33450,228642,4082,31464,184030
"10",10,113663,58285,NA,"D","Tauscher",FALSE,TRUE,117037,169373,3098,109149,145996
"11",11,92571,80112,NA,"R","Pombo",FALSE,TRUE,151397,127102,2306,125876,106354
"12",12,109187,34966,NA,"D","Lantos",FALSE,TRUE,73740,193689,2646,70468,164490
"13",13,100175,33828,NA,"D","Stark",FALSE,TRUE,60559,153598,2378,55803,126477
"14",14,123280,42451,8084,"D","Eshoo",FALSE,TRUE,83326,188864,3981,84637,155165
"15",15,110502,42547,NA,"D","Honda",FALSE,TRUE,82742,145007,2903,74974,124880
"16",16,94145,35606,NA,"D","Lofgren",FALSE,TRUE,70190,125415,2089,57160,109632
"17",17,86617,26013,NA,"D","Farr",FALSE,TRUE,75005,149029,3144,68717,124580
"18",18,63008,33242,NA,"D","Cardoza",FALSE,TRUE,80157,79764,1677,65105,77908
"19",19,61610,93486,NA,"R","Radanovich",FALSE,TRUE,151603,93918,2308,125465,84559
"20",20,56317,NA,NA,"D","Costa",FALSE,FALSE,56045,58534,1023,46058,57790
"21",21,37374,82258,4033,"R","Nunes",FALSE,TRUE,133004,68501,1646,107645,65268
"22",22,53610,130298,NA,"R",NA,TRUE,TRUE,180584,82356,2747,141156,73338
"23",23,92158,50241,NA,"D","Capps",FALSE,TRUE,101817,147361,3464,90550,119795
"24",24,61359,98169,NA,"R","Gallegly",FALSE,TRUE,165430,127875,3473,140755,112436
"25",25,52555,89132,6426,"R","McKeon",FALSE,TRUE,142052,96355,3057,108627,81893
"26",26,64133,96728,8621,"R","Dreier",FALSE,TRUE,148352,117532,3202,127468,105023
"27",27,88109,40160,NA,"D","Sherman",FALSE,TRUE,86397,130567,3034,70557,117120
"28",28,75532,19606,7005,"D","Berman",FALSE,TRUE,49220,125351,2011,36762,112332
"29",29,86454,37448,12159,"D","Schiff",FALSE,TRUE,83448,136796,3097,79210,119396
"30",30,141791,52968,4186,"D","Waxman",FALSE,TRUE,109014,220181,3660,81336,199282
"31",31,60452,NA,NA,"D","Becerra",FALSE,FALSE,26054,92894,1815,19400,79560
"32",32,72685,NA,15024,"D","Solis",FALSE,FALSE,58341,99286,1756,45018,96217
"33",33,105133,NA,NA,"D","Watson",FALSE,FALSE,33132,172382,2631,24214,148978
"34",34,53911,16532,NA,"D","Roybal-Allard",FALSE,TRUE,35926,82942,1654,27384,76876
"35",35,77086,NA,15262,"D","Waters",FALSE,FALSE,33110,130764,1726,24495,118450
"36",36,100296,50758,7280,"D","Harman",FALSE,TRUE,103425,154010,3558,88619,130752
"37",37,75580,NA,16282,"D","Millender-McDonald",FALSE,FALSE,43160,126068,2281,31832,112235
"38",38,71028,23422,NA,"D","Napolitano",FALSE,TRUE,54869,106652,1846,41706,104612
"39",39,69012,36004,NA,"D","Sanchez",FALSE,TRUE,70635,102660,2110,56067,98478
"40",40,44440,97588,3701,"R","Royce",FALSE,TRUE,138766,88631,2740,119443,86460
"41",41,46443,95282,NA,"R","Lewis",FALSE,TRUE,149673,89424,2729,114498,83584
"42",42,NA,124140,NA,"R","Miller",FALSE,FALSE,164998,98108,2578,139655,92169
"43",43,49101,27286,NA,"D","Baca",FALSE,TRUE,55952,79946,1497,41272,76710
"44",44,43551,69712,3454,"R","Calvert",FALSE,TRUE,139476,94374,2562,101897,84048
"45",45,42384,62007,NA,"R","Bono",FALSE,TRUE,132288,101679,2102,93802,85427
"46",46,68621,111648,6969,"R","Rohrbacher",FALSE,TRUE,168158,122991,3734,145729,110984
"47",47,42822,26507,NA,"D","Sanchez",FALSE,TRUE,56226,54623,1393,43752,59515
"48",48,71175,114686,5456,"R","Campbell",FALSE,TRUE,178739,123664,3364,156340,106809
"49",49,44608,83269,4145,"R","Issa",FALSE,TRUE,149283,86998,2389,114193,75561
"50",50,91793,112209,7047,"R",NA,TRUE,TRUE,169935,135007,2891,136311,107436
"51",51,68514,30803,2407,"D","Filner",FALSE,TRUE,85762,100062,1731,61008,85561
"52",52,56309,114712,5942,"R","Hunter",FALSE,TRUE,177055,108806,2509,143081,98633
"53",53,92187,40918,3305,"D","Davis",FALSE,TRUE,89890,146160,2953,74526,114435
