"","y","state.abb","name","rep","state.name","gorevote"
"1",1,"AL","SESSIONS (R AL)",TRUE,"Alabama",41.59
"2",1,"AL","SHELBY (R AL)",TRUE,"Alabama",41.59
"3",1,"AK","MURKOWSKI (R AK)",TRUE,"Alaska",27.67
"4",1,"AK","STEVENS (R AK)",TRUE,"Alaska",27.67
"5",1,"AZ","KYL (R AZ)",TRUE,"Arizona",44.67
"6",1,"AZ","MCCAIN (R AZ)",TRUE,"Arizona",44.67
"7",1,"AR","HUTCHINSON (R AR)",TRUE,"Arkansas",45.86
"8",1,"AR","LINCOLN (D AR)",FALSE,"Arkansas",45.86
"9",0,"CA","BOXER (D CA)",FALSE,"California",53.45
"10",1,"CA","FEINSTEIN (D CA)",FALSE,"California",53.45
"11",1,"CO","ALLARD (R CO)",TRUE,"Colorado",42.39
"12",1,"CO","CAMPBELL (R CO)",TRUE,"Colorado",42.39
"13",1,"CT","DODD (D CT)",FALSE,"Connecticut",55.91
"14",1,"CT","LIEBERMAN (D CT)",FALSE,"Connecticut",55.91
"15",1,"DE","BIDEN (D DE)",FALSE,"Delaware",54.96
"16",1,"DE","CARPER (D DE)",FALSE,"Delaware",54.96
"17",0,"FL","GRAHAM (D FL)",FALSE,"Florida",48.84
"18",1,"FL","NELSON (D FL)",FALSE,"Florida",48.84
"19",1,"GA","CLELAND (D GA)",FALSE,"Georgia",42.98
"20",1,"GA","MILLER (D GA)",FALSE,"Georgia",42.98
"21",0,"HI","AKAKA (D HI)",FALSE,"Hawaii",55.79
"22",0,"HI","INOUYE (D HI)",FALSE,"Hawaii",55.79
"23",1,"ID","CRAIG (R ID)",TRUE,"Idaho",27.64
"24",1,"ID","CRAPO (R ID)",TRUE,"Idaho",27.64
"25",0,"IL","DURBIN (D IL)",FALSE,"Illinois",54.6
"26",1,"IL","FITZGERALD (R IL)",TRUE,"Illinois",54.6
"27",1,"IN","BAYH (D IN)",FALSE,"Indiana",41.01
"28",1,"IN","LUGAR (R IN)",TRUE,"Indiana",41.01
"29",1,"IA","GRASSLEY (R IA)",TRUE,"Iowa",48.54
"30",1,"IA","HARKIN (D IA)",FALSE,"Iowa",48.54
"31",1,"KS","BROWNBACK (R KS)",TRUE,"Kansas",37.24
"32",1,"KS","ROBERTS (R KS)",TRUE,"Kansas",37.24
"33",1,"KY","BUNNING (R KY)",TRUE,"Kentucky",41.37
"34",1,"KY","MCCONNELL (R KY)",TRUE,"Kentucky",41.37
"35",1,"LA","BREAUX (D LA)",FALSE,"Louisiana",44.88
"36",1,"LA","LANDRIEU (D LA)",FALSE,"Louisiana",44.88
"37",1,"ME","COLLINS (R ME)",TRUE,"Maine",49.09
"38",1,"ME","SNOWE (R ME)",TRUE,"Maine",49.09
"39",0,"MD","MIKULSKI (D MD)",FALSE,"Maryland",56.57
"40",0,"MD","SARBANES (D MD)",FALSE,"Maryland",56.57
"41",0,"MA","KENNEDY (D MA)",FALSE,"Massachusetts",59.8
"42",1,"MA","KERRY (D MA)",FALSE,"Massachusetts",59.8
"43",0,"MI","STABENOW (D MI)",FALSE,"Michigan",51.28
"44",0,"MI","LEVIN (D MI)",FALSE,"Michigan",51.28
"45",0,"MN","DAYTON (D MN)",FALSE,"Minnesota",47.91
"46",0,"MN","WELLSTONE (D MN)",FALSE,"Minnesota",47.91
"48",1,"MS","COCHRAN (R MS)",TRUE,"Mississippi",40.7
"49",1,"MS","LOTT (R MS)",TRUE,"Mississippi",40.7
"50",1,"MO","CARNAHAN (D MO)",FALSE,"Missouri",47.08
"51",1,"MO","BOND (R MO)",TRUE,"Missouri",47.08
"52",1,"MT","BAUCUS (D MT)",FALSE,"Montana",33.36
"53",1,"MT","BURNS (R MT)",TRUE,"Montana",33.36
"54",1,"NE","HAGEL (R NE)",TRUE,"Nebraska",33.25
"55",1,"NE","NELSON (D NE)",FALSE,"Nebraska",33.25
"56",1,"NV","ENSIGN (R NV)",TRUE,"Nevada",45.98
"57",1,"NV","REID (D NV)",FALSE,"Nevada",45.98
"58",1,"NH","GREGG (R NH)",TRUE,"New Hampshire",46.8
"59",1,"NH","SMITH (R NH)",TRUE,"New Hampshire",46.8
"60",0,"NJ","CORZINE (D NJ)",FALSE,"New Jersey",56.13
"61",1,"NJ","TORRICELLI (D NJ)",FALSE,"New Jersey",56.13
"62",0,"NM","BINGAMAN (D NM)",FALSE,"New Mexico",47.91
"63",1,"NM","DOMENICI (R NM)",TRUE,"New Mexico",47.91
"64",1,"NY","CLINTON (D NY)",FALSE,"New York",60.21
"65",1,"NY","SCHUMER (D NY)",FALSE,"New York",60.21
"66",1,"NC","EDWARDS (D NC)",FALSE,"North Carolina",43.2
"67",1,"NC","HELMS (R NC)",TRUE,"North Carolina",43.2
"68",0,"ND","CONRAD (D ND)",FALSE,"North Dakota",33.05
"69",1,"ND","DORGAN (D ND)",FALSE,"North Dakota",33.05
"70",1,"OH","DEWINE (R OH)",TRUE,"Ohio",46.46
"71",1,"OH","VOINOVICH (R OH)",TRUE,"Ohio",46.46
"72",1,"OK","INHOFE (R OK)",TRUE,"Oklahoma",38.43
"73",1,"OK","NICKLES (R OK)",TRUE,"Oklahoma",38.43
"74",1,"OR","SMITH (R OR)",TRUE,"Oregon",46.96
"75",0,"OR","WYDEN (D OR)",FALSE,"Oregon",46.96
"76",1,"PA","SANTORUM (R PA)",TRUE,"Pennsylvania",50.6
"77",1,"PA","SPECTER (R PA)",TRUE,"Pennsylvania",50.6
"78",0,"RI","CHAFEE (R RI)",TRUE,"Rhode Island",60.99
"79",0,"RI","REED (D RI)",FALSE,"Rhode Island",60.99
"80",1,"SC","HOLLINGS (D SC)",FALSE,"South Carolina",40.91
"81",1,"SC","THURMOND (R SC)",TRUE,"South Carolina",40.91
"82",1,"SD","DASCHLE (D SD)",FALSE,"South Dakota",37.56
"83",1,"SD","JOHNSON (D SD)",FALSE,"South Dakota",37.56
"84",1,"TN","FRIST (R TN)",TRUE,"Tennessee",47.28
