"","Study","Film","ext","neur","imp","soc","lie","traitanx","state1","EA1","TA1","PA1","NA1","EA2","TA2","PA2","NA2","state2","MEQ","BDI"
"1","maps",3,18,9,7,10,3,24,22,24,14,26,2,6,5,7,4,NA,NA,24
"2","maps",3,16,12,5,8,1,41,40,9,13,10,4,4,14,5,5,NA,NA,9
"3","maps",3,6,5,3,1,2,37,44,1,14,4,2,2,15,3,1,NA,NA,1
"4","maps",3,12,15,4,6,3,54,40,5,15,1,0,4,15,0,2,NA,NA,5
"5","maps",3,14,2,5,6,3,39,67,12,20,7,13,14,15,16,13,NA,NA,12
"6","maps",1,6,15,2,4,5,51,38,9,14,5,1,7,12,2,2,NA,NA,9
"7","maps",1,15,12,4,9,3,40,32,1,5,7,0,13,14,8,8,NA,NA,1
"8","maps",2,18,10,7,9,2,32,41,17,11,10,1,19,15,16,0,NA,NA,17
"9","maps",2,15,1,3,11,3,22,26,19,5,14,0,19,6,14,0,NA,NA,19
"10","maps",2,8,10,2,5,2,35,31,15,8,7,0,28,19,11,2,NA,NA,15
"11","maps",1,13,9,3,9,3,43,39,14,13,10,2,9,21,3,7,NA,NA,14
"12","maps",4,14,1,3,12,6,33,25,24,15,23,2,27,11,29,0,NA,NA,24
"13","maps",4,15,2,4,10,5,23,32,7,14,1,0,11,17,4,0,NA,NA,7
"14","maps",4,19,3,7,11,0,23,23,21,13,20,1,23,18,21,2,NA,NA,21
"15","maps",1,15,7,4,10,2,27,28,22,15,16,1,16,18,12,4,NA,NA,22
"16","maps",1,11,13,6,5,7,45,28,2,0,5,0,23,26,21,9,NA,NA,2
"17","maps",1,16,18,5,10,0,58,56,3,11,3,7,8,17,4,18,NA,NA,3
"18","maps",1,17,11,6,11,4,39,44,19,18,23,1,21,20,21,6,NA,NA,19
"19","maps",1,7,10,2,4,1,43,56,14,21,17,8,18,22,12,12,NA,NA,14
"20","maps",1,13,12,4,8,4,38,35,9,6,1,0,11,10,8,1,NA,NA,9
"21","maps",2,14,3,5,7,3,35,28,18,8,12,0,16,17,7,2,NA,NA,18
"22","maps",2,11,10,3,7,1,37,47,11,12,5,1,16,22,12,4,NA,NA,11
"23","maps",2,20,10,7,10,2,43,43,5,10,2,1,10,25,2,6,NA,NA,5
"24","maps",2,12,8,1,10,2,36,42,4,15,3,0,11,19,7,1,NA,NA,4
"25","maps",2,13,9,4,7,1,40,32,14,13,12,1,13,15,15,3,NA,NA,14
"26","maps",2,10,9,3,7,1,43,38,6,7,4,0,15,17,10,6,NA,NA,6
"27","maps",4,18,2,6,10,3,30,36,7,10,15,0,10,9,10,0,NA,NA,7
"28","maps",4,14,12,5,7,4,29,41,12,10,11,1,21,13,16,0,NA,NA,12
"29","maps",3,13,7,4,7,3,42,42,12,11,7,2,15,14,5,0,NA,NA,12
"30","maps",4,16,19,6,9,5,35,37,6,13,16,2,19,11,24,0,NA,NA,6
"31","maps",4,11,14,5,4,2,23,51,13,18,16,10,13,19,15,10,NA,NA,13
"32","maps",4,8,17,3,5,1,64,61,9,23,9,11,15,13,14,5,NA,NA,9
"33","maps",4,10,15,5,3,1,40,28,3,12,7,2,20,17,15,1,NA,NA,3
"34","maps",3,13,14,5,8,2,42,35,24,16,22,4,22,13,22,1,NA,NA,24
"35","maps",3,11,10,4,5,2,39,32,20,9,12,0,21,23,13,11,NA,NA,20
"36","maps",2,5,9,1,3,3,46,50,7,12,3,2,19,20,8,4,NA,NA,7
"37","maps",3,13,10,5,8,2,39,38,0,8,1,3,0,8,0,1,NA,NA,0
"38","maps",2,7,5,1,3,2,36,34,1,10,0,0,0,10,2,0,NA,NA,1
"39","maps",3,12,10,4,7,2,38,27,24,18,28,2,18,13,21,0,NA,NA,24
"40","maps",2,10,13,5,4,0,54,41,6,10,1,6,7,11,2,1,NA,NA,6
"41","maps",2,14,14,3,10,0,37,45,13,15,17,9,12,22,10,14,NA,NA,13
"42","maps",2,11,8,3,7,4,29,29,19,9,18,0,16,16,11,1,NA,NA,19
"43","maps",1,15,2,5,9,5,24,24,23,11,27,2,15,19,15,20,NA,NA,23
"44","maps",1,14,18,5,7,1,61,28,11,4,10,0,14,9,12,10,NA,NA,11
"45","maps",4,19,11,7,9,1,34,42,18,19,13,7,23,17,24,0,NA,NA,18
"46","maps",1,14,13,5,8,3,44,50,5,14,6,6,3,12,1,6,NA,NA,5
"47","maps",1,11,17,3,8,0,60,62,4,16,6,15,5,24,5,15,NA,NA,4
"48","maps",1,16,13,5,9,3,45,54,6,12,8,9,5,16,7,11,NA,NA,6
"49","maps",1,19,13,6,11,2,47,53,6,24,17,11,3,25,14,16,NA,NA,6
"50","maps",1,20,7,8,10,0,34,31,19,13,15,0,12,16,8,6,NA,NA,19
"51","maps",4,7,16,0,5,1,46,32,11,12,12,0,21,18,15,1,NA,NA,11
"52","maps",1,10,18,5,3,2,54,36,15,12,6,1,12,21,4,7,NA,NA,15
"53","maps",1,9,13,2,6,2,44,33,13,9,15,3,14,19,6,6,NA,NA,13
"54","maps",1,12,13,4,6,4,48,52,10,16,2,4,9,9,0,0,NA,NA,10
"55","maps",3,14,12,5,8,1,32,27,19,5,16,0,15,9,9,2,NA,NA,19
"56","maps",3,20,6,7,12,3,29,25,7,8,8,1,10,9,15,0,NA,NA,7
"57","maps",3,11,8,3,7,5,38,30,23,17,19,1,18,16,13,4,NA,NA,23
"58","maps",4,10,10,4,5,2,32,27,2,5,10,0,6,8,8,0,NA,NA,2
"59","maps",4,14,10,5,8,2,37,29,16,7,14,0,23,13,18,0,NA,NA,16
"60","maps",3,12,10,4,7,3,36,42,5,12,14,4,4,16,10,5,NA,NA,5
"61","maps",3,15,3,3,11,2,23,40,8,7,8,0,9,10,11,0,NA,NA,8
"62","maps",3,12,7,2,9,2,27,24,16,8,21,0,20,14,23,0,NA,NA,16
"63","maps",2,5,15,3,1,2,57,53,11,11,4,9,12,22,6,5,NA,NA,11
"64","maps",4,13,6,4,7,3,36,39,21,14,18,2,19,18,11,3,NA,NA,21
"65","maps",4,10,6,1,9,5,33,31,14,7,9,0,19,10,16,0,NA,NA,14
"66","maps",4,5,19,3,2,3,51,55,8,16,7,17,16,13,14,0,NA,NA,8
