"","weight","speed","hoppers","specials"
"1",6000,35,FALSE,FALSE
"2",4000,26,FALSE,FALSE
"3",3000,25,FALSE,FALSE
"4",1400,45,FALSE,FALSE
"5",400,70,FALSE,FALSE
"6",350,70,FALSE,FALSE
"7",300,64,FALSE,FALSE
"8",260,70,FALSE,FALSE
"9",250,40,FALSE,FALSE
"10",3800,25,FALSE,TRUE
"11",1000,60,FALSE,FALSE
"12",900,70,FALSE,FALSE
"13",900,56,FALSE,FALSE
"14",800,29,FALSE,FALSE
"15",750,57,FALSE,FALSE
"16",500,32,FALSE,FALSE
"17",450,56,FALSE,FALSE
"18",300,72,FALSE,FALSE
"19",300,90,FALSE,FALSE
"20",250,80,FALSE,FALSE
"21",250,56,FALSE,FALSE
"22",170,80,FALSE,FALSE
"23",150,48,FALSE,FALSE
"24",130,70,FALSE,FALSE
"25",120,80,FALSE,FALSE
"26",120,61,FALSE,FALSE
"27",110,33,FALSE,FALSE
"28",100,64,FALSE,FALSE
"29",85,55,FALSE,FALSE
"30",80,65,FALSE,FALSE
"31",72,56,FALSE,FALSE
"32",70,45,FALSE,FALSE
"33",65,60,FALSE,FALSE
"34",62,81,FALSE,FALSE
"35",50,100,FALSE,FALSE
"36",50,60,FALSE,FALSE
"37",50,40,FALSE,FALSE
"38",50,47,FALSE,FALSE
"39",37,105,FALSE,FALSE
"40",35,80,FALSE,FALSE
"41",34,97,FALSE,FALSE
"42",30,97,FALSE,FALSE
"43",30,80,FALSE,FALSE
"44",30,45,FALSE,FALSE
"45",20,81,FALSE,FALSE
"46",400,40,FALSE,FALSE
"47",300,48,FALSE,FALSE
"48",230,56,FALSE,FALSE
"49",150,59,FALSE,FALSE
"50",135,48,FALSE,FALSE
"51",65,65,FALSE,FALSE
"52",60,60,FALSE,FALSE
"53",55,110,FALSE,FALSE
"54",45,50,FALSE,FALSE
"55",40,64,FALSE,FALSE
"56",25,67,FALSE,FALSE
"57",20,70,FALSE,FALSE
"58",16,65,FALSE,FALSE
"59",12,24,FALSE,TRUE
"60",11,30,FALSE,TRUE
"61",10,56,FALSE,FALSE
"62",7,60,FALSE,FALSE
"63",6,72,FALSE,FALSE
"64",5,64,FALSE,FALSE
"65",5,27,FALSE,TRUE
"66",3,16,FALSE,TRUE
"67",127,32,FALSE,FALSE
"68",70,40,FALSE,TRUE
"69",13,37,FALSE,TRUE
"70",9,3.2,FALSE,TRUE
"71",4,16,FALSE,FALSE
"72",0.6,36,FALSE,FALSE
"73",0.6,20,FALSE,FALSE
"74",0.55,27,FALSE,FALSE
"75",0.5,18,FALSE,FALSE
"76",0.4,20,FALSE,FALSE
"77",0.3,13,FALSE,FALSE
"78",0.25,9.7,FALSE,FALSE
"79",0.22,15,FALSE,FALSE
"80",0.11,9,FALSE,FALSE
"81",0.1,17,FALSE,FALSE
"82",0.056,21,TRUE,FALSE
"83",0.05,11,FALSE,FALSE
"84",0.045,16,FALSE,FALSE
"85",0.035,32,TRUE,FALSE
"86",0.035,14,TRUE,FALSE
"87",0.03,6.8,FALSE,FALSE
"88",0.03,9.1,FALSE,FALSE
"89",0.025,11,FALSE,FALSE
"90",0.025,8.6,FALSE,FALSE
"91",0.018,8.9,FALSE,FALSE
"92",0.016,13,FALSE,FALSE
"93",0.1,4,FALSE,FALSE
"94",0.1,2.4,FALSE,FALSE
"95",0.016,3.6,FALSE,FALSE
"96",4.6,64,TRUE,FALSE
"97",4.4,72,TRUE,FALSE
"98",4,72,TRUE,FALSE
"99",3.5,56,TRUE,FALSE
"100",2,64,TRUE,FALSE
"101",1.9,56,TRUE,FALSE
"102",1.5,50,TRUE,FALSE
"103",1.5,40,TRUE,FALSE
"104",50,65,FALSE,FALSE
"105",5,7.4,FALSE,TRUE
"106",0.024,13,FALSE,FALSE
"107",4,1.6,FALSE,TRUE
