"","X1","X2","X3","Y"
"1",190,7.4,67,41
"2",118,8,72,36
"3",149,12.6,74,12
"4",313,11.5,62,18
"5",NA,14.3,56,NA
"6",NA,14.9,66,28
"7",299,8.6,65,23
"8",99,13.8,59,19
"9",19,20.1,61,8
"10",194,8.6,69,NA
"11",NA,6.9,74,7
"12",256,9.7,69,16
"13",290,9.2,66,11
"14",274,10.9,68,14
"15",65,13.2,58,18
"16",334,11.5,64,14
"17",307,12,66,34
"18",78,18.4,57,6
"19",322,11.5,68,30
"20",44,9.7,62,11
"21",8,9.7,59,1
"22",320,16.6,73,11
"23",25,9.7,61,4
"24",92,12,61,32
"25",66,16.6,57,NA
"26",266,14.9,58,NA
"27",NA,8,57,NA
"28",13,12,67,23
"29",252,14.9,81,45
"30",223,5.7,79,115
"31",279,7.4,76,37
