"","Price","Country","Reliability","Mileage","Type"
"Acura Integra 4",11950,"Japan","Much better",NA,"Small"
"Dodge Colt 4",6851,"Japan",NA,NA,"Small"
"Dodge Omni 4",6995,"USA","Much worse",NA,"Small"
"Eagle Summit 4",8895,"USA","better",33,"Small"
"Ford Escort   4",7402,"USA","worse",33,"Small"
"Ford Festiva 4",6319,"Korea","better",37,"Small"
"GEO Metro  3",6695,"Japan",NA,NA,"Small"
"GEO Prizm  4",10125,"Japan/USA","Much better",NA,"Small"
"Honda Civic 4",6635,"Japan/USA","Much better",32,"Small"
"Hyundai Excel 4",5899,"Korea","worse",NA,"Small"
"Mazda Protege 4",6599,"Japan","Much better",32,"Small"
"Mercury Tracer 4",8672,"Mexico","better",26,"Small"
"Mitsubishi Precis 4",5899,"Korea","worse",NA,"Small"
"Nissan Sentra 4",7399,"Japan/USA","Much better",33,"Small"
"Pontiac LeMans 4",7254,"Korea","Much worse",28,"Small"
"Subaru Loyale 4",9599,"Japan","Much better",25,"Small"
"Subaru Justy 3",5866,"Japan",NA,34,"Small"
"Toyota Corolla 4",8748,"Japan/USA","Much better",29,"Small"
"Toyota Tercel 4",6488,"Japan","Much better",35,"Small"
"Volkswagen Fox 4",7225,"Brazil",NA,NA,"Small"
"Volkswagen Golf 4",8695,"Mexico","average",NA,"Small"
"Volkswagen Jetta 4",9995,"Germany","average",26,"Small"
"Chevrolet Camaro V6",10995,"USA","Much worse",NA,"Sporty"
"Chevrolet Camaro V8",11545,"USA","Much worse",20,"Sporty"
"Chevrolet Corvette V8",31979,"USA","Much worse",NA,"Sporty"
"Dodge Daytona",9745,"USA","Much worse",27,"Sporty"
"Dodge Daytona Turbo 4",12895,"USA","Much worse",NA,"Sporty"
"Eagle Talon 4",12995,"USA",NA,NA,"Sporty"
"Ford Mustang 4",9456,"USA","Much worse",NA,"Sporty"
"Ford Mustang V8",12164,"USA","Much worse",19,"Sporty"
"Ford Probe",11470,"USA","average",30,"Sporty"
"Ford Probe GT 4",14726,"USA","average",NA,"Sporty"
"GEO Storm 4",10390,"Japan",NA,NA,"Sporty"
"Honda Civic CRX Si 4",9410,"Japan","Much better",33,"Sporty"
"Honda Prelude Si 4WS 4",13945,"Japan","Much better",27,"Sporty"
"Mazda MX-5 Miata",13800,"Japan",NA,NA,"Sporty"
"Mazda MX-6 4",12279,"Japan/USA","Much better",NA,"Sporty"
"Mazda RX-7",17880,"Japan","Much better",NA,"Sporty"
"Nissan 240SX 4",13249,"Japan","average",24,"Sporty"
"Nissan 300ZX V6",27900,"Japan",NA,NA,"Sporty"
"Nissan Pulsar NX XE 4",12249,"Japan","average",NA,"Sporty"
"Plymouth Laser",10855,"USA",NA,26,"Sporty"
"Porsche 944",41990,"Germany",NA,NA,"Sporty"
"Subaru XT 4",13071,"Japan",NA,28,"Sporty"
"Toyota Celica GT-S 4",12268,"Japan",NA,NA,"Sporty"
"Toyota Supra 6",22860,"Japan","better",NA,"Sporty"
"Volkswagen Corrado 4",17900,"Germany",NA,NA,"Sporty"
"Volkswagen GTI 4",9995,"Mexico",NA,NA,"Sporty"
"Audi 80 4",18900,"Germany",NA,27,"Compact"
