country,count,latitude,longitude
Iran,343,32.427908,53.688046
Gaza,6000,31.354676,34.308825
Peru,860000,-9.189967,-75.015152
Mexico,53700,23.634501,-102.552784
Uruguay,510000,-32.522779,-55.765835
United States,95100,37.09024,-95.712891
Rwanda,110000,-1.940278,29.873888
Haiti,15000,18.971187,-72.285215
Afghanistan,5000,33.93911,67.709953
Mongolia,14500,46.862496,103.846656
Nepal,6000,28.394857,84.124008
Ethiopia,6000,9.145,40.489673
Solomon Islands,300,-9.64571,160.156194
Cambodia,1000,12.565679,104.990963
Colombia,22300,4.570868,-74.297333
Brazil,2600,-14.235004,-51.92528
Lebanon,450,33.854721,35.862285
Thailand,500,15.870032,100.992541
India,1000,20.593684,78.96288
Mozambique,200,-18.665695,35.529562
South Africa,500,-30.559482,22.937506
Iraq,9150,33.223191,43.679291
Ghana,1000,7.946527,-1.023194
Mali,300,17.570692,-3.996166
Malaysia,100,4.210484,101.975766
Paraguay,4000,-23.442503,-58.443832
West Bank,4000,31.952162,35.233154
Nigeria,6100,9.081999,8.675277
Italy,600,41.87194,12.56738
Cameroon,1600,7.369722,12.354722
Nicaragua,25000,12.865416,-85.207229
Australia,4400,-25.274398,133.775136
Papua New Guinea,2350,-6.314993,143.95555
Guatemala,3000,15.783471,-90.230759
Argentina,60000,-38.416097,-63.616672
China,1000,35.86166,104.195397
Sri Lanka,1350,7.873054,80.771797
Pakistan,500,30.375321,69.345116
Kenya,500,-0.023559,37.906193
Uganda,300,1.373333,32.290275
Federated States of Micronesia,800,7.425554,150.550812
Philippines,750,12.879721,121.774017
Costa Rica,1500,9.748917,-83.753428
Nagorno-Karabakh,5000,39.9014,46.7869
