date,latitude,longitude,depth,magnitude
1900-01-20T14:33:00.000Z,20,-105,0,7.3
1900-02-01T03:22:00.000Z,48,146,450,7.5
1900-06-22T03:52:00.000Z,10,-85.5,0,7.2
1900-07-29T13:59:00.000Z,-10,165,0,7.6
1900-09-18T04:45:00.000Z,-5,148,0,7.1
1900-10-09T19:28:00.000Z,57.09,-153.48,0,7.7
1900-10-29T16:11:00.000Z,11,-66,0,7.7
1900-12-25T13:09:00.000Z,43,146,35,7.1
1901-01-07T08:29:00.000Z,-2,-82,0,7.2
1901-01-18T12:39:00.000Z,60,-135,0,7.1
1901-04-06T06:30:00.000Z,44.5,149,35,7.3
1901-05-25T07:32:00.000Z,-10,160,0,7.2
1901-06-24T14:02:00.000Z,28,130,35,7.2
1901-08-09T16:23:00.000Z,40.5,142.5,35,7.2
1901-08-09T20:01:00.000Z,-22,170,0,7.9
1901-08-10T01:33:00.000Z,40.6,142.3,35,7.5
1901-10-08T09:14:00.000Z,13,-87,0,7.1
1901-12-09T10:17:00.000Z,26,-110,0,7.1
1901-12-31T17:02:00.000Z,52,-177,0,7.1
1902-01-25T07:27:00.000Z,-8,150,0,7.2
1902-04-19T09:23:00.000Z,14,-91,0,7.5
1902-08-22T10:00:00.000Z,40,77,0,7.7
1902-09-22T08:46:00.000Z,18,146,0,7.5
1902-09-24T03:18:00.000Z,16,-93,0,7.8
1902-10-06T16:15:00.000Z,36.5,70.5,200,7.2
1902-12-13T07:10:00.000Z,29,-114,0,7.1
1903-01-04T13:07:00.000Z,-20,-175,400,7.8
1903-01-14T09:47:00.000Z,15,-98,0,7.4
1903-02-01T17:34:00.000Z,48,98,0,7.1
1903-02-27T08:43:00.000Z,-8,106,0,7.3
1903-04-29T10:59:00.000Z,-20,-175,0,7.1
1903-08-11T11:32:00.000Z,36.36,22.97,80,8.1
1903-12-28T10:56:00.000Z,7,127,0,7.1
1904-01-20T22:52:00.000Z,7,-79,0,7.2
1904-04-04T17:26:00.000Z,41.75,23.25,0,7.1
1904-06-07T15:17:00.000Z,39,135,350,7.4
1904-06-25T21:45:00.000Z,52,159,0,7.5
1904-06-26T04:00:00.000Z,52,159,0,7.6
1904-06-27T07:09:00.000Z,52,159,0,7.2
1904-08-25T03:59:00.000Z,30,131,35,7.1
1904-08-28T04:56:00.000Z,64,-151,0,7.2
1904-12-20T13:44:00.000Z,8.5,-83,0,7.2
1905-01-22T10:43:00.000Z,1,123,90,7.8
1905-02-14T16:46:00.000Z,53,-178,0,7.2
1905-03-18T07:58:00.000Z,-27.5,-173,60,7.3
1905-03-19T06:56:00.000Z,-10,168,0,7.2
1905-04-04T07:50:00.000Z,33,76,0,7.8
