pincode,lat,lon,place
110001,-0.08738613,0.49880028,"Connaught Place, New Delhi "
110001,-0.08738613,0.49880028,"Constitution House, New Delhi "
110001,-0.08738613,0.49880028,"Eastern Court, New Delhi"
110001,-0.08738613,0.49880028,"Election Commission, New Delhi"
110001,-0.08738613,0.49880028,"Janpath, New Delhi"
110001,-0.08738613,0.49880028,"Krishi Bhawan, New Delhi"
110001,-0.08738613,0.49880028,"Lady Harding Medical College, New Delhi"
110001,-0.08738613,0.49880028,"Laxminarain Mandir, New Delhi"
110001,-0.08738613,0.49880028,"New Delhi G P O, New Delhi"
110001,-0.08738613,0.49880028,"North Avenue, New Delhi"
110001,-0.08738613,0.49880028,"Parliament House, New Delhi"
110001,-0.08738613,0.49880028,"Parliament Street, New Delhi"
110001,-0.08738613,0.49880028,"Patiala House, New Delhi"
110001,-0.08738613,0.49880028,"Pragati Maidan, New Delhi"
110001,-0.08738613,0.49880028,"Rail Bhawan, New Delhi"
110001,-0.08738613,0.49880028,"Sansadiya Soudha, New Delhi"
110001,-0.08738613,0.49880028,"Sectt North, New Delhi"
110001,-0.08738613,0.49880028,"Shastri Bhawan, New Delhi"
110001,-0.08738613,0.49880028,"Supreme Court, New Delhi"
110002,-0.08697463,0.49900174,"A G C R, New Delhi"
110002,-0.08697463,0.49900174,"Ajmeri Gate Extension, New Delhi"
110002,-0.08697463,0.49900174,"Ansari Road, New Delhi"
110002,-0.08697463,0.49900174,"Darya Ganj, New Delhi"
110002,-0.08697463,0.49900174,"Gandhi Samarak, New Delhi"
110002,-0.08697463,0.49900174,"Indian Agriculture, New Delhi"
110002,-0.08697463,0.49900174,"Indraprastha, New Delhi"
110002,-0.08697463,0.49900174,"Indraprastha Estate, New Delhi"
110002,-0.08697463,0.49900174,"Minto Road, New Delhi"
110002,-0.08697463,0.49900174,"Rajghat Power House, New Delhi"
110003,-0.087283015,0.49824262,"Aliganj, New Delhi"
110003,-0.087283015,0.49824262,"Delhi High Court, New Delhi"
110003,-0.087283015,0.49824262,"Golf Links, New Delhi"
110003,-0.087283015,0.49824262,"Jawahar Lal Nehru Stadium, New Delhi"
