ODA aid per person (constant 2007 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Australia,51.65564202,60.14557564,61.21962617,75.61411549,75.32014388,85.27513228,89.89655172,104.0652542,98.07993339,106.9967374,113.5355715,102.0030604,115.4699248,90.76757957,107.7354227,130.2231821,83.84960798,88.3516561,114.9373259,113.6900826,106.5,91.98391421,124.3906456,108.5263158,107.0872914,121.6535782,118.5468165,86.0301353,122.0193587,102.2242713,91.10134739,96.77430556,96.66514286,95.95415959,100.131019,105.1267294,86.43910431,87.72948164,92.56486919,90.46944152,95.93447738,90.31503335,94.13381001,93.09909457,93.39035306,98.62272504,119.0941004,126.9514748
Austria,0.1914893617,5.244005642,3.967741935,6.951253482,10.52631579,16.32599725,18.10245902,20.85230352,21.91374663,18.45564516,12.854083,13.43733333,16.68700265,29.41897233,37.98815789,44.23614776,27.16116248,51.48348745,60.87169312,46.19337748,57.64900662,82.16798942,89.42536328,60.97086093,74.54304636,102.4497354,58.49405548,48.18997361,69.25131579,67.22178478,32.78367876,55.92327366,35.02030457,35.84981227,53.61643836,88.86832298,78.34739454,84.9913259,79.81188119,89.06922126,90.4784217,131.5830258,102.6488169,81.80993789,97.21253071,219.3171324,201.6630435,217.886747
Belgium,111.0918033,99.916122,74.03036876,81.58988159,68.91257996,92.3192389,66.19097587,74.21398747,71.74948025,91.04974093,88.74507772,100.2409514,112.3800206,112.5780287,115.2794268,134.6183673,118.1559633,111.2046843,135.1119023,144.101626,127.7269036,148.9756345,147.9077079,150.4330629,150.0811359,145.6125761,132.2119675,136.4832827,114.4102823,136.6750503,142.1614845,131.4545455,124.7154229,119.6785714,101.5296443,125.1820866,115.4267453,110.1188605,126.3382353,112.7781036,137.8058537,146.6060311,168.3614341,237.8341369,166.3721154,217.096836,209.5426945,184.5775047
Canada,24.6161164,23.41885965,16.4510226,24.77390386,28.49196475,33.43329939,62.36513487,59.2875368,55.84347826,58.18047619,83.36103286,86.30054645,94.92079208,94.92129835,110.4243753,125.7238548,110.6946695,123.5406658,131.6314691,121.1719008,110.4820555,111.678888,105.3554936,118.0890816,135.3069114,137.6969814,139.8819923,140.0775047,152.8880597,136.5807988,136.8245487,135.965751,135.0426357,134.0404181,129.982438,116.0991482,97.56555443,110.2987663,98.18644628,95.82065574,93.1800455,83.61550837,108.2321372,94.02585935,107.269975,138.2192712,,123.2907223
Denmark,16.25545852,23.70715835,20.39139785,22.17910448,24.5,29.17016807,43.84166667,51.88016529,57.9301848,102.2760736,101.1359026,116.4193548,127.8316633,135.9462151,154.0356436,156.256917,156.7475345,171.1709234,216.3078431,228.3457031,235.5,226.0527344,247.2421875,240.9354207,292.4794521,280.9921722,329.7890625,328.2631579,333.4210526,350.82846,359.6964981,370.2718447,397.2843327,406.3603083,422.1516315,410.623327,452.3574144,464.7121212,483.0811321,501.7706767,539.9588015,530.2929104,491.9776952,427.9185185,442.8558226,443.8526703,455.4201835,467.560219
Finland,,4.105381166,4.541202673,5.493362832,4.727472527,3.453947368,5.582969432,6.637744035,8.120950324,22.74891775,11.15184382,20.2537961,28.17456897,30.88008565,33.48614072,36.43099788,35.50951374,32.38396624,34.34947368,48.96855346,52.38493724,65.90416667,72.04140787,81.10082305,93.14344262,107.7489796,124.2825203,141.8884381,175.1171717,196.3205645,198.1222445,223.944334,169.656746,116.8323471,85.76424361,90.98434442,100.3099415,103.2684825,107.2116505,116.2147002,116.3841699,121.6019231,135.2667946,136.8790787,149.4179389,197.1064639,177.8250951,185.1584906
France,175.7412434,184.5762565,181.093617,145.0869929,139.3084248,122.0258409,116.7701383,124.6139253,123.4623397,135.0445151,103.6742171,105.745561,107.0373308,95.72179586,101.1565002,100.9136622,96.7045927,93.63085607,96.35537655,109.3006902,114.9682628,135.3405316,149.6272026,150.3337594,166.375795,167.0745297,157.0781278,171.3425296,170.6088738,186.8280752,190.7541417,197.5357518,202.1580966,202.8281006,208.9614853,184.123839,163.22679,155.4434397,142.2525685,145.2055612,119.9188317,123.1209664,148.7139973,160.0717751,161.3629032,190.9626276,186.8433754,160.1878444
Germany,47.05180788,70.19401922,73.50351865,67.60498345,76.41831982,72.75230297,64.1739645,76.24405465,81.39546218,79.17479607,69.92728772,75.48352365,71.88097941,76.59583737,89.83142627,95.7989649,89.57419145,86.05260586,97.80303277,124.404987,123.3292188,130.9356355,133.0652174,137.1585803,131.771494,141.4352671,131.5118716,122.5116241,126.3038242,136.8200129,142.7783399,124.0037509,121.5039702,112.8885193,105.7999263,100.8952976,106.1837607,93.84680073,90.25210289,92.67267633,98.23342659,98.95371158,98.71284848,103.6924848,103.7422718,137.827373,140.6145075,149.4128373
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.39159503,25.29428571,26.9961941,29.27419355,38.03937729,34.26094891,43.05753425,45.23865699,35.17481884,40.59332732,42.81818182,44.7960644
Ireland,,,,,,,,,,,,,,,12.0224359,13.05660377,14.49845201,13.17431193,31.99093656,29.95548961,26.43235294,26.38953488,42.57758621,30.7037037,34.74787535,38.29378531,45.12429379,32.71751412,34.11299435,30.05681818,30.68857143,38.96306818,34.52676056,43.87359551,56.4273743,71.51388889,80.87327824,85.5136612,89.36118598,110.4613333,113.5540897,133.8828125,167.1520619,167.0325,179.5475,207.5875,266.3891509,274.6889401
Italy,20.13457219,15.18816111,19.13034705,15.38245895,9.728786677,11.6843037,14.80909623,28.17034456,25.9300538,22.10557465,23.32082623,26.5096009,13.05794393,21.57906459,22.3963964,16.16051863,21.57653895,16.81346119,26.98683499,16.47841727,34.99227452,38.04984759,46.74160714,46.69891517,66.13063543,63.63309735,101.0510781,90.10077656,103.3299859,115.8719212,87.90447656,83.40063425,97.51881815,89.05598866,78.17484988,45.03136564,60.49621679,34.04250088,60.78295933,49.50035039,42.71725826,50.33060157,65.74084945,55.90170494,50.05421373,99.67469674,69.12255319,67.43580163
Japan,14.50222694,13.82288684,10.36079008,15.75509567,12.41660665,24.28071767,27.08743059,34.25528731,29.46464846,33.70004871,32.49316901,33.07492687,32.66328147,41.72753197,40.84961381,38.84080758,34.23335397,37.09093298,42.83094556,52.19891501,63.43123185,55.50475059,58.10818098,66.8824071,73.98394877,63.41404378,65.03410865,72.1624407,78.59651409,80.91457083,83.63004611,90.82142857,85.42764162,75.11662392,81.49956011,82.19096918,62.11957731,67.91511453,83.30128864,83.80408872,89.47364689,74.26365852,73.14344005,65.7276289,62.22103038,94.46414858,85.46970409,60.10919765
Luxembourg,,,,,,,,,,,,,,,,,,,,,31.83783784,37.7027027,33.51351351,35.08108108,70.24324324,79.56756757,79.83783784,84.54054054,102.7631579,103.5526316,120.2368421,192.7179487,154.075,206.1,225.4634146,213.8536585,267.8095238,360.7857143,421.3255814,445.6511628,515.4772727,592.9545455,586.5681818,596.9333333,641.8,670.9111111,701.2391304,816.3695652
Netherlands,45.17754569,66.40378007,72.98052498,39.96324144,47.23495466,62.18617886,78.69341894,90.04285714,93.55538099,100.1630435,127.6219325,124.191812,146.3525881,121.765625,144.0856089,170.1616679,194.0508351,209.02886,205.7977044,249.5826211,257.5349823,282.1073684,278.0104822,235.3319415,275.8300971,250.1394065,280.7487989,279.4253579,285.0880759,281.4989899,286.5324415,280.6788321,279.6785244,264.795291,251.8517555,277.5931436,288.5173969,293.5246637,300.4850414,315.0474383,347.2592593,342.8136335,327.0731103,315.5809231,300.7734807,356.0428397,368.9309291,379.5280488
