Education aid (% of total aid),1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Australia,,,,,4.74952741,33.22766805,19.6647333,23.65921337,26.25845046,30.22793054,10.55830707,11.58003354,11.26888394,19.60277999,23.7100235,24.64450965,20.72017397,48.78838653,50.25001543,45.27534061,41.41635099,38.75825856,33.57357451,46.93301435,39.24328338,23.17841313,38.94034828,21.37919148,29.09539201,29.43205797,27.96725172,28.31658291,27.47472281,23.19578209,14.42740363,11.1661384,10.28086054,9.742275356,8.052690444,12.49893807,12.08706465,
Austria,,,,,24.6677571,42.33638283,13.45797853,2.522617099,15.94375596,4.850858692,19.09873488,16.96839816,45.0572415,17.63867612,7.564749364,0.6970375902,15.38544173,31.79368381,44.36230353,29.74957862,32.12027304,16.35923201,12.2341608,31.86419789,31.06962873,31.57162433,24.02296235,28.60962567,30.51662321,44.99371441,35.41128373,48.953626,36.28747449,29.39121128,42.66666667,33.23793576,39.50592569,40.77517405,38.8610073,39.48975804,40.72941569,
Belgium,,,,,84.5310623,83.66465684,11.04214309,11.37271689,15.91657519,18.90826682,26.87733605,21.81930778,20.25980912,19.78678276,6.780937462,4.47792697,15.51677269,36.97296262,37.30910308,34.13208567,27.51585097,24.48950852,29.92720971,22.12974543,17.64101479,18.52259515,17.71990781,17.12998423,21.77271567,13.62543067,14.68512608,20.3819052,20.83371174,19.68391059,19.19297653,21.63493642,20.41060211,25.64226552,18.90893343,20.62653149,25.28613701,
Canada,,,,,33.69682112,38.57370699,17.97379844,25.28254092,8.414762974,5.136956811,8.449133745,3.281179791,3.351050747,0.9856400735,7.220165283,9.66942091,9.352648622,7.135824589,16.21817146,10.05785104,18.87592846,12.29377972,28.10552234,25.08756567,14.35429143,11.19495239,9.291121817,21.67385592,17.32681313,13.97804248,25.18530927,15.65619841,19.10196709,18.60720279,20.24856443,25.99188996,25.76379035,15.83615401,15.83415058,19.3999217,11.03434912,
Denmark,,,,,100,100,13.69347625,18.98144364,5.598693904,15.34833405,3.827200567,13.84206246,8.244105838,9.501631481,13.51940382,0.5298592713,5.760894957,10.2335008,3.696487641,3.318264782,3.715345853,4.599863201,1.484810316,1.933415071,13.52240655,10.7120251,13.01240301,4.192849273,7.936718958,4.302954839,11.42030583,7.581187749,1.578784219,10.69219029,4.854829664,13.16957296,5.523147152,9.205727408,9.600335017,2.128951555,5.606755586,
Finland,,,,,,,29.64090079,13.50734095,14.06624102,20.18481086,15.14450867,1.536808168,8.612898809,3.657749077,3.003499841,4.802249155,4.96765145,4.470274142,3.52514476,7.857049295,,6.175792507,5.657242873,2.050521672,6.763090334,3.641963634,5.846222988,5.250161048,10.40432206,5.289404382,11.09292429,9.562914924,13.9643908,13.43290358,11.97673024,14.33856502,14.58973295,24.25778421,10.25562501,8.439228078,7.610016377,
France,,,,,62.88735371,63.66571528,46.83566576,33.3969983,38.16512875,38.35207464,40.49954742,38.52395364,41.6142283,44.64595336,30.11854964,33.28299424,38.24639878,34.67883576,33.6260241,25.68708431,30.00752644,27.88526338,31.87074225,34.17958075,35.95185839,36.05736088,38.77908913,40.18036538,32.67917345,39.25724134,43.15274676,43.90319324,47.31842229,36.061391,37.22876619,41.17116147,42.20538648,41.45565181,39.55074011,38.04824332,36.78546436,
Germany,,,,,54.61067494,54.81712462,21.7360376,18.82900026,23.57410642,18.74485399,18.72339415,19.82133187,16.57344129,19.32690263,17.40166194,19.84667371,20.36168919,20.81317106,24.30037982,26.44201409,22.20043133,19.13269587,20.49205682,21.96261769,20.58059306,23.48052178,21.077265,24.73965843,25.2079346,20.65510903,20.24273366,24.82066727,22.23201623,23.82214473,21.20307254,25.07405715,26.42140896,23.57481883,8.856805019,24.07697454,24.49104562,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.32739421,57.34008283,39.7143573,20.35297467,8.18538398,7.832178255,10.68220101,8.563552466,39.93940924,17.27060394,25.92808439,16.64239124,29.43283004,
Ireland,,,,,,,,,,,,,,,,,,,29.33513028,34.30216616,31.44246353,26.41566265,28.24307305,,41.44486692,33.49814586,,23.31680585,28.47187656,28.47339885,,28.43933243,29.84985434,28.97763578,27.46846366,24.77546228,19.08982444,17.54115667,18.82077203,15.0992161,18.73004545,
