Government and civil society aid (% of total aid),1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Australia,,,,,,0.6665041047,19.00883565,27.01980532,14.42050484,1.998914616,0.8849097773,3.704372501,1.967443495,4.716644233,5.698886278,9.81548358,7.28265817,8.265161009,3.313476141,7.15250761,9.703178075,11.79712068,6.716894195,10.28229665,6.239030647,15.31791908,4.095343955,5.550661637,7.088314126,6.897475689,8.058094544,7.578894472,18.0908092,21.5574115,24.17410379,21.84363444,20.45846353,30.10926248,30.78745702,36.12975391,38.86404668,
Austria,,,,,,,0.3146982599,0.04631487943,2.311725453,,,,,,0.06745457356,0.03799640999,0.05586112066,0.2789334342,0.2547058458,0.25282928,0.3098957243,0.008971828459,0.244535013,0.4196132516,0.264245673,0.6956888374,1.289882213,1.1942959,4.476314646,7.121200917,10.80294358,5.917796428,8.061921205,19.0254344,29.10675381,17.93880347,20.05925689,14.46765155,17.17387435,21.43218709,18.55506755,
Belgium,,,,,1.053286425,2.371997692,7.938582163,11.07305936,3.029637761,2.049463001,0.4757050629,0.4403770729,1.251325557,1.959142666,0.2349680684,0.2045753438,0.233784592,1.854460415,2.755889039,4.128388179,4.965448458,6.609824481,8.001733102,5.676542039,4.557199196,4.32214557,3.489972135,2.529849065,5.381706836,6.205984962,8.392142761,8.710709218,13.42067024,14.63993062,17.7849063,17.75608019,15.66569634,13.36785787,16.56494025,19.43496853,15.93294623,
Canada,,,,,,3.784352657,0.6540569206,,2.11772085,7.336720395,3.749175709,6.049911899,1.825485749,2.318920734,2.71412942,2.163815803,1.595428087,1.874650748,1.876388493,1.365158002,1.106142747,0.9312553256,4.832922969,3.651812934,1.046080716,9.883478985,3.040643879,1.890029253,11.36702764,16.38557164,9.115750241,20.68233629,27.60254771,22.43852459,19.64421957,21.03695779,18.95397304,24.48381637,28.63565966,29.85680219,33.7517798,
Denmark,,,,,,,9.420032654,4.025995259,2.421056823,2.340977932,1.944583788,0.4000087914,3.932873469,1.307973339,0.08084926884,,0.2790250993,0.5937428637,0.4935073277,,15.40094301,0.1732786138,0.3298392434,0.2452136188,0.528670751,5.595733506,3.726567367,6.347995593,9.964843865,6.176268697,10.44614567,10.29660737,11.22358449,5.308761508,34.45117129,17.40970685,20.25758073,14.53870053,18.3421886,16.37215968,25.7625399,
Finland,,,,,,,15.96672753,6.492659054,2.494014366,2.685532775,2.774566474,0.773777539,1.28714227,0.7011070111,0.8081450843,0.1177766802,0.5700583631,0.4590740379,2.878231913,0.2008470506,,2.46685879,1.760657391,1.229589715,3.683802018,3.447437387,0.8763716715,2.893493665,2.021610317,5.575166695,16.05013328,13.84166699,16.04907486,24.20555656,21.02974691,21.33408072,23.54227204,27.24981897,24.00605285,21.90497686,25.30772888,
France,,,,,5.129828907,7.365861762,7.569431286,5.290532129,4.439491888,0.7519119454,1.118222156,0.7701969127,1.033484137,0.2785085528,3.052953021,5.967050961,4.625968789,7.968305862,6.605005253,10.98524102,6.476697065,1.436602051,7.509932472,6.758510316,3.846508861,3.243442472,1.917246021,5.849306413,5.223316343,3.772067641,1.119316277,1.665649202,1.775077262,4.268194601,1.43985676,1.825247649,2.144202809,3.457799712,2.884120252,2.945455721,1.997143669,
Germany,,,,,4.487726155,3.84119896,5.391109103,2.616050472,0.9823007865,1.465168166,2.89843178,2.388373756,3.047201537,3.369423993,2.909804098,4.882498297,3.4046643,4.010853983,5.014585924,5.273358953,3.586067039,3.101884921,3.031812378,4.378167072,3.876276436,3.268142969,4.481631586,4.068008191,4.530057988,3.333861562,3.351072012,4.986378673,3.916828486,7.035343035,7.217710807,8.826238607,9.819266957,8.992870093,10.9343176,11.92173188,16.46087643,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.437233776,35.35439795,71.40792733,67.5683732,64.03705783,65.88362198,40.27842897,38.33833834,26.27775511,32.9048192,29.26345335,
Ireland,,,,,,,,,,,,,,,,,,,1.774483378,2.111324376,8.15003473,8.28313253,11.49244332,15.19047619,9.81679917,,,7.502609603,2.853824457,2.854964419,,12.65975041,16.87457982,22.28966986,,20.57528618,19.90227828,22.43715941,24.22556688,19.6403016,24.30417308,
