Health aid (% of total aid),1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Australia,,,,,0.9451795841,1.202958628,5.416576323,4.934447169,10.93332036,9.388567294,0.8260312403,3.50831936,5.343131514,2.829437134,1.003882702,2.149870218,5.975319881,2.355641289,1.682202605,2.399361906,1.538352096,4.017483627,1.08809016,1.669856459,0.924800864,5.313771741,7.10633568,7.957831441,7.099967493,6.372740569,6.858072113,6.31959799,9.777915894,10.97699154,12.35375731,12.28869519,10.88065223,10.0109972,8.71546332,11.09010846,8.546850154,
Austria,,,,,,,1.647537949,0.1358569797,9.675881792,0.632720699,0.03833687659,0.0383828045,0.1181173905,0.08550358046,0.04778032294,0.4480955937,0.2062564455,0.1607413011,2.652668199,0.9872381411,3.932325474,2.537233088,0.7602815858,11.85480795,0.7776372662,1.547380626,6.218387385,5.650623886,4.104193829,4.056052651,22.60343418,4.217774909,24.5663946,14.77587509,2.562091503,4.298980058,6.590326714,11.12243165,11.44331732,6.73573381,7.694445989,
Belgium,,,,,2.932469538,2.889379739,13.42698465,19.89155251,15.83973655,11.25234013,15.95310907,17.07837336,16.30434783,14.73543202,3.926677913,3.433943271,14.11950198,13.69100532,11.15605082,10.65445547,11.18045166,9.979388306,11.99480069,10.65735191,8.42235687,8.574529106,10.37015377,10.65330029,13.14110743,15.40878459,19.00480964,20.71619249,20.64753428,18.29991328,16.07462435,12.74947693,14.14738777,11.53348204,13.19917175,12.56666507,13.90346714,
Canada,,,,,0.8383732091,1.158741008,2.152691847,2.531354071,3.141918658,1.968827549,1.990887836,2.574860276,0.8314431722,3.183084125,0.08220888474,2.726072653,2.554299031,1.9416184,5.639988607,1.843952548,2.67277811,3.317116077,4.929300035,4.962054874,3.437680797,2.116839245,3.915271087,9.748624126,7.48518918,2.990106882,2.56606223,5.726751042,3.825085334,3.779688912,8.774043288,7.96764657,13.08198829,7.890310979,18.60634609,13.03550879,22.46088649,
Denmark,,,,,,,20.09654291,5.141829478,8.17504878,11.6270013,17.07633745,2.652805556,15.49984557,20.45904565,29.11276715,3.959361252,3.539076492,5.123886732,0.8992324409,,7.036959023,0.6133150935,10.18872355,8.002452136,17.12122255,23.74988216,13.16305148,7.806957006,15.64004845,25.72833357,4.288272686,2.10637409,17.93208128,3.383822636,7.132688132,8.759920099,11.96946184,10.75374848,7.252597692,14.18005611,8.194001141,
Finland,,,,,,,5.741529722,11.09298532,14.20590583,1.905861969,1.664739884,1.182160129,1.38299329,2.850553506,5.453388482,8.426731507,3.700855088,10.07358208,11.15659533,16.36903462,,8.008645533,12.40766561,7.607182251,1.632933309,3.315051468,2.254597206,12.49194761,6.146160102,7.810836555,3.675817238,13.64211981,12.07421076,7.563101507,6.92095478,15.73991031,11.11387851,5.871107893,5.757417449,12.22661099,5.425537535,
France,,,,,0.931817012,0.7458584394,4.868649,9.008728306,10.57794806,12.92887342,12.40801039,14.3212429,12.15174298,10.51772176,11.57687258,11.97450788,12.25319344,9.968669119,5.638172663,3.453474378,6.810134623,6.77165152,4.896641687,4.356609479,5.03603271,4.045771307,3.687745445,5.341921177,6.233110061,5.039224473,4.470701763,6.084637084,5.311193756,5.241365157,7.307597724,8.504389923,6.199828,8.161106422,7.551329944,5.743895411,3.315098322,
Germany,,,,,0.448198982,,3.465399942,2.081394907,2.482450968,1.243873488,1.842728759,1.730873374,1.322428851,3.415410056,1.828923174,3.822051352,2.55889218,1.108510576,1.961713939,2.482051626,1.868683578,2.531047807,1.958233862,1.780867789,2.150034243,1.826129577,3.261562597,3.541119916,3.57595789,2.52202713,3.370543668,2.981876559,3.688390461,2.109047012,2.689266253,5.500001184,3.820926467,2.669525909,2.704067071,4.356965533,4.192432273,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65033408,12.65531523,25.25682786,16.68089952,5.594549959,5.440047694,7.12380685,3.38586924,10.43747971,16.81681682,21.58633953,16.98435818,13.62272551,
Ireland,,,,,,,,,,,,,,,,,,,19.15992812,7.513024404,14.51724936,12.53012048,10.39042821,14.9047619,12.0290356,10.58096415,,12.4217119,22.56512361,22.56862081,,20.44805292,18.95122133,21.52822151,20.89411185,32.06926915,30.16874041,31.15352792,31.49973174,18.00627977,23.35950118,
