Other social services aid (% of total aid),1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Australia,14.57415438,27.17567736,17.00407833,11.20346494,,,2.027320035,1.133410656,1.716842566,8.267004342,4.235791224,3.681155682,3.413748683,7.158750652,2.148257893,2.426362713,15.98391746,2.561214289,2.693067473,3.623459704,1.547244305,1.181443121,0.3019878271,2.414673046,1.237005535,8.709401488,4.924045943,9.22269672,9.016026447,5.29312597,7.653227163,11.68944724,5.321805529,6.712476471,5.825333733,6.564598898,12.25712028,6.741991557,9.88857131,7.776881035,2.369707911,
Austria,,,,,,,,0.2531880075,,2.621271467,,,,,,0.1808105027,0.1632863527,0.2931164902,2.112194819,1.296251706,1.172578416,3.694598959,0.400148203,3.186713225,3.523904796,0.6619584695,3.990409017,2.473262032,1.18426771,2.828514383,5.76941946,0.7746933505,0.6494270915,2.921178544,2.413943355,3.260770285,4.043882127,2.890983189,3.310197544,2.939290656,3.141157503,
Belgium,29.93796931,41.00832417,38.75483724,40.74118638,,,7.328759665,4.138127854,9.58287596,5.340427628,2.752293578,6.440514691,7.953340403,12.80977897,3.292565369,1.920735172,10.83564399,4.834452483,5.02921856,4.606217469,3.423808506,4.670276914,,,0.9383357761,0.1658786141,0.294127765,0.5564316287,8.916931499,7.464950486,8.482042523,8.859815781,9.862864408,7.884537104,5.512409252,4.893828553,5.864869006,9.410535182,12.82700194,9.572142411,6.690022891,
Canada,32.86690844,29.67649361,16.21839129,20.96274857,,,0.5833480643,4.215085382,2.191997887,2.383729578,1.939332174,2.145212022,4.220069412,2.695202165,0.8474314359,3.143749171,3.868269997,4.195456844,3.071489604,2.322747094,2.639161615,3.302822902,7.365459022,3.882889019,5.190530546,1.089324619,6.809665825,3.143437949,6.960716238,7.664490283,9.646551363,11.18426224,8.05484851,2.007228605,3.088985263,4.221992526,2.877793544,6.085783795,3.619448776,5.889261944,1.779801673,
Denmark,,,,,,,1.284872578,,6.180066101,0.9606231069,2.573106318,2.446207609,0.653762998,5.346236439,5.385264342,,1.541775897,0.1612811144,1.143309818,4.890912178,,,0.7952434833,12.39900657,24.63275281,21.68666586,16.31420966,8.718656545,5.731336229,2.574110435,1.985712318,9.388535872,2.375124261,3.373155882,3.738909101,7.353020569,6.007951701,1.288666757,4.064700186,2.563728884,3.509902978,
Finland,,,,,,,0.933252181,3.654159869,3.192338388,4.21599769,5.757225434,2.84793122,2.848144598,1.932656827,0.3563474388,2.203563694,,1.116754574,0.2757333446,0.08077544426,,0.4409221902,4.348986917,1.092164982,1.122455072,7.167751871,3.359424741,6.205711832,1.864761241,3.50198913,4.629846139,7.279634675,13.70006483,7.917196296,8.93606813,9.251681614,6.691573267,5.546705286,2.939957846,2.627242975,4.907813408,
France,26.69578839,19.73694391,23.9059923,31.54530127,1.968139782,1.007716818,6.462320331,6.784905467,6.744084282,5.597213153,5.502811843,8.397381156,7.940610921,6.830841298,6.462860497,6.596070723,6.777942891,6.954456704,6.72591674,4.793817698,5.790171625,4.036618169,3.432229195,2.543165991,4.696901324,4.556313178,5.993193456,5.267715871,13.64876044,9.40058912,8.478244288,7.589886004,7.672934891,11.72685773,9.03675213,10.35365036,10.53514278,8.037383607,7.161615594,10.45886879,8.257237596,
Germany,7.856479834,15.64511055,8.359419424,11.29042017,,,0.858343054,1.636382191,4.381695609,3.650063505,1.06758184,0.9601035134,1.383375976,2.128745226,2.129238273,2.095089084,2.75385913,1.557005354,3.025451509,2.935974202,2.717362801,3.324339134,2.989142073,4.757799391,4.434790608,4.273029616,4.163037903,8.453025364,7.388434145,6.054766734,7.768411911,6.906631994,7.433726791,6.927234927,5.242925933,6.97025164,5.672624266,5.853225967,4.494805248,4.326052701,3.872202591,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.349665924,7.317073171,1.35304435,3.216623968,5.615194055,3.957075788,4.681358787,10.6010667,3.931186208,8.488488488,3.933795676,5.978088785,5.003871467,
Ireland,,,,,,,,,,,,,,,,,,,8.310871518,14.31313408,4.445473489,7.469879518,4.439546599,7.952380952,2.765295541,6.897404203,,12.08246347,11.34063381,11.33514063,,3.210043602,1.068200493,1.448349308,26.52750955,3.492808923,5.201409011,3.60637964,2.496258436,8.234188436,5.808887053,
