Production sector aid (% of total aid),1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Australia,40.82914137,47.53402422,30.62056803,19.01209223,10.58601134,18.44265626,32.32735256,20.93139342,18.38594102,18.27062229,34.21708863,23.24003612,21.01826912,20.88014724,34.86512721,44.46450739,25.27183533,18.4044156,24.34718192,29.46624778,21.2666062,19.68062087,25.87599819,23.6937799,27.45207236,14.90577775,11.7611461,11.80221758,5.775163607,9.08908216,8.719789155,13.45728643,11.99320762,9.455582156,11.29537273,9.812466984,9.76816435,9.297953102,9.427944161,6.688046895,6.670931025,
Austria,,100,69.95822454,40.61444427,75.34246575,57.66361717,78.73009996,82.5732547,66.30123928,91.41307623,39.86338131,54.11655578,45.0572415,62.88432078,38.63601231,18.26055055,13.25842214,5.394288956,14.83506243,7.958102576,7.441685163,13.21909205,24.91885884,12.1687843,13.65395142,5.968166965,30.36736265,14.6412656,23.08778792,12.50092435,9.524121014,11.95663869,3.572830011,8.083606145,6.62745098,5.803014157,7.419122357,7.297503821,9.788218544,6.563628387,5.995997109,
Belgium,44.97224943,38.66813256,24.55042112,38.84009145,6.559979406,9.342725807,39.06130894,38.29908676,37.03622393,40.2995369,45.54026504,43.50787862,32.74125133,29.80576021,81.08205808,82.51692617,29.81569075,22.00872526,24.04429506,21.98583577,30.49084562,22.34640448,36.6135182,15.50879009,20.88212629,18.61561119,23.78650796,25.64541563,27.53253381,26.36676851,20.62750034,22.71710637,18.54055036,16.75663239,14.27317238,12.23011975,11.96108472,11.78617667,10.10001218,10.36131264,9.325274971,
Canada,36.69565776,29.51995826,13.78005563,15.71702161,8.59997456,5.686293656,18.0955748,14.00658967,30.72510894,46.25218215,38.71170793,34.91964921,30.46962534,57.48316116,52.31699251,48.3038003,56.63492288,25.29026707,48.14924523,40.40076291,31.5915009,30.66380803,33.18255364,26.75212428,33.87253139,26.62480723,33.93362392,21.79384203,6.044735326,20.07599505,23.10712341,14.99587297,9.60318112,12.84448819,11.53375095,7.812963057,15.37834782,18.3477893,9.923205951,10.97592806,5.132990151,
Denmark,,,,,,,47.47639668,51.27523911,72.14988253,67.39506707,59.03685562,66.32893031,53.47729847,48.61533313,51.39904387,59.54840435,48.11041607,46.28767984,42.52834188,34.84231079,43.08537356,49.34564523,50.86996435,21.29114402,21.53644937,14.55294736,14.50189726,18.9907135,8.527578363,15.60908641,15.31005845,12.19850047,16.88668455,21.52386891,17.49378047,14.51924634,6.949242776,17.25516682,23.18554192,13.74892217,12.44477795,
Finland,,,,,,,20.97788598,48.51549755,42.21867518,42.39099047,40.13872832,48.83396024,74.85964672,71.24538745,58.54915686,56.75696212,60.52572049,57.09122876,34.47939424,32.18573986,,30.74927954,30.09878667,55.69137298,14.52474775,51.14689433,29.27980225,48.6418295,8.098059719,20.64212473,17.19122668,21.17118846,9.266370755,8.611766842,11.60489385,12.61491031,5.565241456,10.36060825,10.66095008,12.59000113,13.55591949,
France,33.39146053,59.12048418,51.40564871,40.08625433,15.46279673,9.462842991,23.64724034,25.78363891,24.44837087,27.80732239,26.8008755,22.10473879,21.23683583,18.72190216,24.63760578,19.99620184,18.59683883,15.32116424,18.45123064,23.76778362,18.11080063,18.25921206,12.27861193,12.33391268,16.19164342,21.83607374,15.32790753,10.61239177,10.80973857,10.76605068,13.02823835,10.72168157,9.527630821,10.79584218,12.92582983,8.568976034,6.668415252,6.885703576,5.342948628,4.099712244,13.09469558,
Germany,64.93443046,41.95120556,30.71227951,49.43924668,19.12647089,18.62471049,40.84074466,39.9705059,40.882847,33.3399133,37.84483671,37.43163526,39.75887214,33.49328714,22.40184497,29.01489329,26.87719436,13.01571048,20.95207431,20.9876819,23.67735568,26.38399042,20.30868555,21.7411655,14.35127925,23.68520143,18.36620172,14.06282508,14.15953039,15.34863083,11.73537241,15.50774824,6.454737853,8.008852525,6.210509396,7.759957756,6.024150354,5.689239998,6.272146381,8.82236377,6.218043955,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.340757238,3.313391624,7.015785517,12.70993453,5.181668043,4.381846635,3.790005615,2.007550788,1.467883291,1.921921922,1.63762457,2.051801659,3.513356562,
Ireland,,,,,,,,,,,,,,,,,,,31.33423181,39.78612558,32.48437138,37.80120482,35.57934509,44.19047619,19.18423782,14.23980222,,13.9874739,9.581881533,9.581497797,,10.95324011,11.43646822,12.98722045,13.05008834,7.158790725,7.192773138,7.495220976,6.017564171,7.183288122,7.54610675,
