Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,4.453443322,4.878051281,9.171601205,8.88889265,11.25827903,8.57142878,6.772908361,8.899676568,10.09463698,9.784002335,10.92234223,14.76323122,12.94871813,14.02061893,12.67605685,13.21739125,11.6629043,10.84175031,,,,,,,,,,,,,,,,,,,,,,,,32.43850112,42.29550033,32.93117025,30.55098824,27.64017754,22.92613121,26.67611975,22.86009326,20.12451866,18.10614189
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,23.11558758,22.98264259,19.37500039,18.19660396,17.41308265,16.23554533,15.05750475,15.4662972,16.38229012,17.94015282,14.86944654,7.224579484,11.49043801,15.42252328,11.35168736,12.47537425,12.31651656,10.47190065,10.76140285,17.28705028,19.13553544,20.51981618,20.41930729,20.61939902,21.5421184,22.27306896,25.09052628,28.77716927,29.51131757,28.41154879,32.42747054,33.80093226
Algeria,46.24455713,19.79387227,24.68468232,25.08405857,22.60394354,25.98619746,23.43441675,23.13563465,23.78877688,22.07273359,18.44251914,20.44956199,25.50366303,38.74904362,33.68893614,33.05458389,30.58656692,25.53583676,31.14830017,34.33846147,34.58725075,30.92485631,27.94180609,25.71001618,23.58393287,12.85475735,14.27247473,15.50786788,18.63926334,23.44368509,29.11782217,25.31959428,21.783877,22.53072525,26.19477598,29.76044833,30.90631138,22.57835401,26.8088741,41.17535301,36.24799138,35.07614983,38.26646984,40.07188497,47.64635285,48.60784774,46.60949405,46.27365752,29.28930525,30.83040547,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,35.71973518,38.54506838,32.59349128,33.02192685,33.87306334,38.91252101,30.26327931,68.79133351,53.9013848,85.35771256,,82.72225531,68.49193607,56.72313672,86.29649334,89.62620582,75.38653008,74.95383879,69.56997813,69.68668307,86.01753765,79.83727787,76.39748377,78.09852295,55.05527545,62.41310575,64.97697486
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,47.70143905,61.60011875,81.7867898,67.30264486,73.22422607,67.822909,61.34886069,74.74385246,75.14081573,84.11404748,79.59611522,78.73545272,81.00358098,88.95236654,90.0798647,96.10718501,96.2211521,58.80436071,85.2956562,75.66568743,76.44864745,75.14067404,72.53636364,62.89798125,60.31627133,55.78881147,57.58840021,58.99513646,54.41967936,48.0253205,44.85589465,46.16573957,46.2513058,45.40234206,48.01192799
