High-technology exports (% of manufactured exports),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,0.1795032279,0.3398740413,0.7617160626,1.744553865,0.6973748794,0.7241007113,0.6995572642,0.95997465,0.9917767249,4.222699697,6.167414935,1.314305132,3.469615642,0.7646533392,0.8935092488,
Algeria,,,,,1.267021123,1.621050043,0.8161866208,0.482299465,0.3678387051,1.170936851,0.8922561902,4.442396541,4.166833432,0.6155300318,1.058630887,2.286790119,1.046032703,1.484616118,1.621560789,0.716136566,0.6566963654,0.6258632977,0.5046203486,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,9.164747598,13.56072455,19.8012256,12.8138865,9.70343224,10.92196833,21.79661846,16.9856775,20.47674801,26.69742315,26.40161869,16.33052379,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,0.7921115004,0.09239115756,,,,,0.7803675662,,0.05651253123,,,,
Argentina,,,,,7.953191017,6.479174551,4.757370505,4.02028498,5.59195718,5.074831596,5.909451209,8.104063118,9.351856306,9.267344476,7.669045367,8.897494763,7.719023678,6.826630039,7.05418222,6.594450291,9.017369186,8.686933066,7.451595377,
Armenia,,,,,,,,,,5.501607591,,2.283042317,4.726627319,10.39872659,1.622448171,1.40902708,1.246117046,0.6191794184,1.080395244,0.8758735202,1.405882026,2.181898774,1.848659372,
Aruba,,,,,,,,,,,,,,,,,,6.414375583,,,,3.032803045,3.292451552,
Australia,7.074119703,7.301448572,8.069528624,9.777940932,10.43484734,11.48080469,14.08045528,12.85512116,12.07011374,11.7296787,11.46150241,11.09083182,15.35994466,15.52538698,16.51967087,13.69082382,13.53592125,12.79191222,12.34262502,10.27225042,10.78836729,11.92575811,11.87659321,
Austria,8.006911807,7.106485893,7.872959217,8.60114522,8.418167576,8.779092371,10.09522629,8.845950449,8.873684795,10.89953662,10.95634018,12.26966483,14.5978167,14.60985136,16.35080876,15.53155285,16.16497769,13.74293268,13.33616014,11.30981058,10.99615568,11.63616928,11.90557539,
Azerbaijan,,,,,,,,,2.227088648,4.433975234,13.69323664,8.537543672,4.589822663,8.849828078,7.895818312,5.148316951,2.177362335,1.056412864,1.750041177,3.399733126,0.9232858021,0.9830530922,1.083928988,
Bahamas,,,,,,,,,,0,26.98175054,2.453832973,6.808285497,0.6843473974,3.089954198,0,0,0.0004160748221,0.3893158191,0.0001320221631,0,0.00003271288793,,
Bahrain,,,,,,,1.109108717,2.632504778,4.398478916,,,,0.03605719557,0.008796294136,0.007207360664,0.1159406327,0.07089921396,0.06655984694,0.05550263237,0.04586041155,,0.02750441654,0.1102604521,
Bangladesh,,0.4076678724,0.4839684063,0.2528195903,0.1877501455,0.01823671618,0.06409151871,0.03200865579,0.06283715442,0.007480761162,0.07607441601,,0.2130221467,0.1827001965,0.1352469236,0.251442821,0.2104498681,0.324630911,0.2198013541,1.152298157,,,,
Barbados,,,,,20.41445563,19.37608359,20.00397836,18.43483435,15.3343587,17.78631782,20.96742541,25.23925863,22.7147219,21.37945342,15.9346116,15.62871009,15.93356508,20.34828202,18.06371867,9.992496605,4.273125349,9.799475916,12.13086509,
Belarus,,,,,,,,,,,3.75090565,3.53959353,3.829054522,4.082892217,4.29201562,3.760012708,2.849037453,2.696633068,2.791624357,2.76756662,2.431421502,3.134666468,3.039266209,
Belgium,,,,,,,,,,,,9.184539201,10.23721689,10.91552474,8.878816551,8.944710573,8.435718399,9.015435406,8.351814857,7.405715749,7.98167504,10.36369533,10.46875392,
Belize,,,,,0,0,0.001229466617,0,0,0,0.002459754145,2.643049787,0.00001904369333,0.01632624158,0.007780190597,0.06973767653,0.0002712060731,0.009925309975,10.20706601,0.07580904697,0.1053905956,0.3767723808,,
Benin,,,,,,,,,,,0.2252066,1.284970034,0.1043141638,0.1385673041,1.710395107,0.1209401869,0.05865447692,0.09945140665,0.1656767214,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,0.4528297735,,,,,,,4.144933389,5.486603367,0.7513176317,0.1254398079,0.2159927345,0.1373106102,
Bolivia,,,,,6.771659907,3.897591416,4.362081999,14.0649654,38.21011175,8.041452881,46.95961094,55.22567292,39.99114911,13.51959671,6.878335079,7.891070688,9.207748543,8.938800147,22.29928686,4.679168788,4.434481307,4.933155218,8.616855131,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,1.756544819,1.88441994,2.040566406,2.169110677,2.138579791,4.143127492,3.276536945,2.581811569,
Botswana,,,,,,,,,,,,,0.5102343207,0.2538294743,0.5123877893,0.4494209962,0.4168450856,0.4398274186,0.4211335058,0.4301204403,0.5666111354,0.9248684824,0.3996787575,
Brazil,,6.295977933,6.460878493,5.202652818,4.917602132,3.95392092,4.595900468,4.888255622,6.213314209,7.536263613,9.410684233,13.17285467,18.72725987,19.24616073,16.52029903,11.95599512,11.59272243,12.84314848,12.07642327,11.86594132,11.64693565,13.19727786,11.20763185,
Brunei,,,,,,,0.1433137408,,,5.486936357,8.999055141,,,0.00003445532976,0.0001415088451,0.0004538252461,6.046940029,,6.460718135,,,,,
Bulgaria,,,,,,,,,3.858449011,3.744537967,2.996571081,2.927298816,2.871819068,2.891858943,4.107214145,4.43460826,4.062534664,4.771201768,6.119406356,5.96936262,6.553650555,8.150133519,7.913048156,
Burkina Faso,,,,,,,,1.930869669,6.143943375,6.296766785,3.396849025,4.334705109,3.175585167,6.979166712,2.089186652,4.994862305,11.36530693,22.4762717,,5.669520092,0.6760254518,0.5130971659,7.80400791,
Burundi,,,,,,0.04058591369,1.063410386,0.1968729909,,,1.488598773,0.331964263,0.02938916932,2.413168476,22.34362413,12.08864189,5.874200279,4.192780562,3.138245956,2.164699349,7.515000867,11.53697767,8.495655195,
Cambodia,,,,,,,,,,,,,0.08246558774,0.06688400152,0.1754897342,0.3442334186,0.1546840726,0.1208201229,0.02828185769,0.04319032373,0.07705529717,0.1775198171,0.08750548938,
Cameroon,,,3.187747137,,,,,2.628889245,1.758722564,1.034814543,,,1.388853815,1.376443863,1.058652046,2.859435319,2.062836394,2.207316996,2.735688879,2.929124529,1.966573779,2.540102343,4.868796738,
Canada,10.79141558,12.05035161,13.75593582,15.9147325,14.89629768,13.93698098,13.81223138,14.98592861,15.82917166,15.54943269,15.55952168,14.95138062,18.72534481,16.64650348,14.19283221,13.72987327,12.09374088,13.08441299,13.34499585,12.75221945,13.60045257,16.22380055,14.03698967,
Cape Verde,,,,,,,,,,0,3.555472843,5.910202678,0.8156159607,0.9274677569,0.02981144287,,,0.003011483486,0,0,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,0.8935385393,0.2449257442,0.4565372816,0.3308586687,0.3707904477,0.2989272255,0.157223779,0.08266469492,1.300085688,0.04703243435,0.1131572493,0.2358897453,0.04599867214,0.2529003048,0.7491602011,0.05823288044,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,4.682247302,1.991528221,2.366165451,2.379427211,2.147470475,3.339689635,3.66048991,3.327845316,3.672549683,3.23902037,3.406050313,3.17811683,3.777844265,3.508591914,5.017633695,6.423699174,6.379933113,6.481696202,4.893834569,3.397556992,5.484139271,
China,,,,,6.435049262,7.094824898,8.291803292,10.4318147,12.41712404,13.12418003,15.3563988,17.19960392,18.9843797,20.95651527,23.66571478,27.37925315,30.06445872,30.84359799,30.51443157,26.66237275,25.56531104,27.53404158,27.51270427,
Colombia,,,,5.223920849,6.861886741,5.862064152,5.710056223,6.671060595,7.743427063,8.02107313,8.776844408,8.180491498,7.740420729,7.211090466,7.17301452,6.615023429,5.694387942,4.991174748,4.075887763,2.909197078,3.723762877,5.220021659,5.056319809,
Comoros,,,,,,,,0.7823310063,0.09143771032,4.732323008,1.147054849,,0.4985725888,2.194016127,1.323836609,25.2062661,0.07638201078,0.07479075164,0.6267405456,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,5.050453901,16.04296974,12.76702264,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,5.670898766,6.201086226,4.20282767,13.20314479,43.71322979,63.40367378,51.71385492,36.39522489,36.58186828,44.81794394,35.7148192,38.02692246,44.71990369,45.37415403,39.42621181,44.18050683,39.97234195,
Cote d'Ivoire,,,,,,,,2.797256252,1.92022919,5.994908591,4.462945119,7.647873459,2.865012369,3.261764964,2.399809007,3.812376911,13.20956002,11.55255384,14.1789014,12.719222,11.85987579,8.22725181,,
Croatia,,,,,5.504302584,4.912292889,5.233559566,6.118035295,7.628570194,9.556593378,7.85679063,8.276436396,8.681440523,10.25480125,12.15195096,12.24589812,13.01556115,11.39541667,9.853389544,8.208448199,8.354492204,9.756838991,9.150102229,
Cuba,,,,,,,,,,,,23.00186427,21.4300928,29.55713005,34.64332591,17.34534628,11.82726371,18.3428365,35.34721092,,,,,
Cyprus,,3.620814415,4.444328745,4.087831681,4.129772398,3.158245834,3.43399583,4.211747811,5.29925584,2.944598049,3.212854242,3.152078682,1.673148136,2.028403785,1.794311775,3.893275526,8.578207245,16.97179651,22.73060398,29.37188247,30.44966444,30.85646915,37.11909465,
Czech Rep.,,,,,,4.163677452,4.65321627,6.025683604,7.533083244,8.059601342,8.516230117,8.691232519,8.486691671,10.05276139,14.54944751,13.52488308,13.19135196,12.95303787,14.3196,13.23687604,13.55655373,14.56374762,15.30313609,
Denmark,13.45060886,14.61325008,15.53672912,15.04018113,14.83451181,15.15305908,16.78320047,15.99296514,16.88849667,18.42618596,18.22871043,19.9853287,21.43657116,20.82227807,22.45632012,20.19696105,20.31240864,22.50743734,19.9326723,16.7869318,15.57597264,17.69546483,14.20978283,
Djibouti,,,,,,,,,,,,,,,,,,,,,,0.08159990022,,
Dominica,,,,,,1.782966567,0.8070390766,1.706505318,2.512157287,6.097494441,,4.35942189,6.534681264,6.389829183,7.691907053,7.217966546,7.904899179,7.482304577,7.741284235,6.181840166,0.4492321619,0,0.014970181,
Dominican Rep.,,,,,,,,,0.2590361307,0.3293750453,,,,1.316602965,4.056278109,3.738553619,4.018963859,8.403702123,5.580899063,13.66508575,5.332250931,2.754450506,2.946220267,
Ecuador,,,0.319342187,0.9488876334,3.409286657,3.553065922,3.624780618,5.984920671,4.334294002,4.466851313,4.488992277,6.322603832,5.616505319,4.596215134,6.637223456,5.984557665,7.361716768,7.658579893,7.874568789,6.167897261,3.721286731,3.934139976,8.427203622,
