Total reserves (% of total external debt),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1835242,25.31888461,57.81677603,65.22547996,65.59025886,65.69236744,72.83949736,60.42268484,69.80294562,76.90480951,69.54089343,89.17846846,70.0729252,74.83754365,75.74614389,60.55457142,50.48093185,53.64887897,
Algeria,,,,,,,,,,,37.49381677,42.61683601,41.30661785,51.02367043,73.52160957,40.9191906,40.92365717,24.44290229,20.52701073,29.81404471,36.48038225,32.19646217,28.19121305,24.50123989,20.04578849,25.43816229,16.96523332,17.78889096,12.23388003,11.33011948,9.60484274,12.14563952,12.13033582,13.91327553,15.91661186,12.59932619,18.70945889,31.28179585,27.54098457,21.94532337,53.395129,86.94664285,110.150117,150.5957668,205.9545008,350.694526,1423.949808,1946.158801,2495.514791,2859.744382,3230.928278,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.850720702,5.230691298,3.98492403,1.886612437,4.817230846,12.7364204,8.677767647,4.297239563,7.293816907,14.67659308,27.01466381,90.76891845,97.42719495,118.336775,82.23372995,106.3970802,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,11.73522705,4.867957495,8.451827413,22.1141939,24.77084158,10.98383363,21.37555253,33.58542143,44.69185339,55.49692555,34.23337173,14.04762845,10.32682304,6.185311261,5.302242107,9.230659431,8.441220466,6.387427011,8.766134763,4.929579607,9.998031002,11.40960756,16.75028851,24.05697918,21.38922715,16.22857868,17.75250502,17.72241845,17.78100328,18.77540838,17.84930072,9.794946535,7.241144743,8.83297006,12.10725911,22.47629849,27.63797341,39.33733586,39.01146682,39.91180473,40.83515457,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14528333,16.8469571,29.9960443,32.31269828,37.46774406,36.45278155,33.65505815,34.28626583,25.53173155,27.0700909,26.93705078,27.80911357,36.34003316,53.49065449,57.2482934,41.30624991,41.01127277,30.57269217,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.660314012,1.803154279,37.66015299,48.7466182,91.98111242,63.47845508,62.37626853,49.09178161,54.85473329,48.66431458,46.85032079,58.22584432,60.68094439,100.3393346,121.3450823,151.723482,118.3667619,91.9032487,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,184.617089,28.76453062,10.99019074,8.822637949,14.48940923,10.35705385,11.39199384,13.94121371,8.710280672,3.793553299,4.220950124,10.21046369,7.363760625,5.455002983,5.495356125,8.999120013,10.47880425,4.973593793,5.36874343,10.06889799,13.81191923,17.33143056,20.50695397,15.1099912,12.33109238,11.30359226,12.4867422,9.977803257,9.757450154,8.783259146,10.39142655,14.33009202,16.44925583,15.36876634,19.35205646,24.77901065,25.29460271,43.44897045,44.76626971,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.788553477,22.25372618,23.93904713,18.89632919,29.42570079,13.00762265,16.37916758,16.72862641,23.71987828,19.69636502,20.77410695,28.32905195,25.90629818,40.40878079,24.97198529,32.24812967,19.53457544,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,59.90252659,38.80261248,42.08593021,14.58684772,20.13422286,17.18064237,14.10657183,9.252483271,6.152241765,12.54562855,22.07839113,26.55007852,39.0620376,43.64721126,48.88954005,32.77239306,29.25727391,19.9156528,17.37665227,14.73929879,20.74398747,13.20062831,13.07927372,18.02378046,19.98399966,15.64460524,13.34182734,7.905511752,4.972613962,6.989549591,10.87246829,10.23744801,15.91831944,19.95505502,20.85356677,
Benin,,,,,,,,,,,35.89696113,48.18303159,60.0594433,36.56047267,31.80215015,12.61242973,13.61822998,10.02165573,6.133765306,4.390431035,3.093312955,11.42320758,1.320758604,0.990597586,0.7703175128,0.8564033986,0.7931745886,0.7206540117,0.7502584491,0.7336053939,6.178670435,16.87671539,20.76066191,19.5418803,18.99234362,14.17427704,19.00574295,17.93164938,18.23577497,27.11255201,33.05733214,39.77016043,37.00920868,48.76891908,39.73575451,42.56672769,142.3801233,158.2408695,137.8052207,114.675633,98.26425067,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,2011.344697,1575.095798,603.7468453,291.1501012,216.0656255,142.6280668,121.8961938,106.3322475,117.3268473,95.42707878,101.3859737,116.1611329,123.3409345,168.1437559,157.7635664,150.1412684,159.0124897,155.8771382,121.9374204,93.92508239,75.44501587,67.19201949,72.00222226,76.45043313,88.14840518,111.5636085,118.4849944,111.5725501,
Bolivia,,,,,,,,,,,7.880112622,8.710634044,9.25587927,12.6192328,28.50109543,19.4475399,16.03967518,17.90204547,14.58853646,20.64799118,20.47669688,13.33678619,16.90164853,12.50353669,12.34887833,10.25048317,9.207580788,9.086627213,9.634670092,13.6327995,11.95169586,10.3997375,11.32472366,13.29109188,16.26934143,19.07160461,25.06711116,25.96094375,21.71126819,22.5045321,20.46798438,24.42347083,17.83439548,18.90827998,20.43555559,25.98478232,55.0906362,106.4368092,139.652772,149.3042796,184.7625314,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.03612991,17.90847308,46.38326381,42.55209737,40.67515747,43.42992861,40.94552582,50.68876826,57.14572395,53.95329679,47.53449403,52.15809388,
Botswana,,,,,,,,,,,,,,,,,43.47601722,52.10752841,117.0440696,200.8268762,246.2839001,148.3598433,134.787582,164.9242787,170.0274181,219.3885521,285.3531135,370.4335648,416.2884228,507.5992457,602.5182818,607.0701184,625.6153624,617.0845872,628.4306911,654.7363871,802.4617345,987.4241924,1116.308798,1235.321973,1395.503993,1474.780785,1120.733183,1039.576804,1110.0236,1410.459665,2091.296588,2369.85799,2102.115695,538.1688121,461.4885481,
Brazil,,,,,,,,,,,20.75005188,23.56840505,36.62776589,44.36796825,24.78787988,15.24433331,19.99549957,17.70199643,22.33908475,16.041471,9.612086049,9.182567602,4.255570256,4.629772831,11.5161196,11.21316182,6.19412508,6.2390314,6.890541699,7.63296182,7.68359727,7.242227679,18.03154698,22.03591444,25.25790665,32.07924081,32.92292111,26.053802,18.18110532,14.88782576,13.66812619,15.65969042,16.37646249,20.97708761,24.08473528,28.68904665,44.37276588,75.89633688,73.92042794,86.14338436,83.16795242,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.70793954,10.48361722,8.642482812,14.21297536,15.75504131,8.3353554,22.39129973,26.80398168,29.62546405,31.28005956,34.73591282,42.22043619,51.12135766,59.5992734,55.39648743,56.00876265,53.21892181,36.89175681,34.62152277,35.82406544,
Burkina Faso,,,,,,,,,,,174.9170154,181.9718174,237.1440169,201.6324429,176.5787499,122.4137048,83.72750076,34.78306676,14.54636608,22.81583982,22.63586402,22.94361863,19.00730108,22.44162652,26.76582025,27.92179004,37.18208815,39.63447441,38.50354639,37.63923676,36.62780365,36.28553787,33.29279461,34.68537154,21.3467255,27.33904703,26.08033279,26.49906961,25.59486388,18.63459379,17.0608145,17.46206744,19.67380714,43.49381774,33.16031102,21.98140977,49.41920675,70.99680748,55.54903319,71.13606404,52.02554311,
Burundi,,,,,,,,,,,102.8451073,130.0782472,269.0240638,277.5219633,152.234716,159.1729548,219.8168469,203.0953845,111.6221517,71.02321254,63.15114397,38.15282773,16.4257562,10.88924933,7.19557015,7.713491905,13.28903775,8.974874893,9.547940219,11.98475667,12.31270302,15.30652112,17.52528108,15.92566521,18.74246767,18.59869769,12.90656092,11.04245446,6.282639226,4.668253942,3.397671338,1.669837168,4.869874112,5.072384753,4.759442224,7.608817218,9.288750996,12.16842136,18.53291063,63.02037839,61.83057371,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.328296748,6.208350671,8.407341812,11.29187479,12.53272996,17.83086531,20.22915334,23.26633304,25.86173472,31.48587497,30.76271093,32.51831293,32.94407658,40.02062509,56.90841976,62.61750226,75.29700452,81.62970172,
Cameroon,,,,,,,,,,,55.37788803,40.86693838,19.69531371,19.23779068,24.26852521,6.530867919,7.170110802,4.031185711,3.640925331,6.487341643,8.021125129,3.665116047,2.882581067,5.885346812,2.178997752,4.500236828,1.709903168,1.706068326,3.909041521,1.712953651,0.5649524468,0.7920939828,0.4036970181,0.1843822826,0.1483547121,0.140388638,0.1252642004,0.08965660704,0.08921106982,0.1242404925,2.133248531,3.572923268,6.493816835,5.988336984,8.180296766,13.26415322,53.51071902,97.60291199,112.9667231,124.7786664,122.8898747,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,96.06918576,72.42050867,64.02381546,53.75735015,58.32102465,49.74316475,62.32167009,65.40680498,59.29660528,57.54288661,48.4945797,53.35149789,39.09239996,23.91882204,17.22972219,13.60377869,9.356099487,3.3705392,13.00537856,8.860941959,13.15023174,20.61655673,21.25099647,30.12210892,36.50289497,48.63034136,62.88157997,57.81753135,56.29133207,44.5787559,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,5.751262955,0.7411757713,4.668270913,3.17512296,2.541980701,4.837154693,19.90831924,19.90829197,18.30190176,31.64666104,31.69501829,31.60994304,20.34872962,19.82939723,21.27974933,15.5019501,15.08965824,16.52547528,16.89927175,16.94445717,17.5960175,13.46180932,12.75247429,13.29254088,24.12870835,25.15336122,25.3383756,20.5882073,16.20595244,15.30698611,15.85081723,14.7842462,11.84050109,13.02707961,14.20015742,14.21341261,13.11667797,9.571704036,13.78096014,53.44096771,47.08619623,
Chad,,,,,,,,,,,6.560079592,23.88640813,27.57694372,3.066803689,20.08027035,2.138451443,14.93073676,9.53628369,4.880198845,5.5452848,4.141937976,4.571065676,7.986835905,14.74080034,24.53202735,17.13267778,7.693971764,16.51967194,17.09210735,29.14276033,25.68445306,20.06691154,13.12024069,6.252104134,10.23900524,17.43949173,17.80999386,14.53123407,11.9701447,8.961738376,10.45164254,11.5542774,17.58092988,12.55309109,13.82065126,14.60030564,37.04772197,53.66885576,77.43197056,35.31998335,36.48168558,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,13.15519888,7.507342233,5.218179415,7.161351608,5.899077404,4.308925728,10.41128019,11.07286183,19.04278357,29.04128185,34.16567974,24.83350674,14.99976477,14.61145733,14.05765905,14.47153421,14.4384277,15.73283266,19.96122208,24.01822411,35.28445179,42.90381999,51.16483592,51.85958039,62.29547311,67.42621218,57.02582954,66.97331255,48.1402306,43.02543425,40.42847406,37.30191914,37.26990726,37.03909074,36.55700034,37.26970723,38.64348812,29.97550206,35.27911361,34.57778174,32.22665067,
China,,,,,,,,,,,,,,,,,,,,,,174.3223255,205.2082067,206.3781498,176.142898,101.1085278,69.215396,63.53516179,55.9663082,51.30491943,62.34138056,79.92976606,34.31359229,31.82687865,57.51856299,67.98931171,86.73453991,99.83029503,106.1542498,108.8876409,118.1806562,119.7514187,161.0496517,201.859295,253.7029352,293.8311417,334.8468767,414.4825537,517.6505776,567.5412426,531.165099,
Colombia,,,,,,,,,,,9.265646092,8.174610089,11.91162225,17.77152161,15.27203364,16.83415492,32.74031602,40.23221088,55.07285994,85.7045935,93.27481066,69.73631488,54.38740626,30.77337055,14.83149603,15.42185547,22.66002973,20.06709592,21.74301,22.87327252,28.26899294,39.75690863,45.76945675,42.49065291,36.93463663,33.7481226,34.39292515,31.01860806,26.45904103,23.53734229,26.53736934,28.26372752,32.65954191,29.51593684,35.70723993,39.62066019,40.57322941,47.94716136,50.98309057,47.94222178,44.52003419,
Comoros,,,,,,,,,,,,,,,,,,,,,14.49080883,15.29841504,15.71069514,12.83780065,3.516693503,8.891775554,10.66806517,15.22044549,11.8871528,17.51420833,15.93214149,16.10333294,14.3059458,20.51253219,21.91393432,21.24833443,22.90351351,18.11706884,17.14878246,16.31157725,19.18574526,26.12824361,30.26327782,33.61701111,35.38632246,30.88215319,33.25372807,41.03350798,40.33073461,54.36482745,30.0948416,
"Congo, Dem. Rep.",,,,,,,,,,,55.35747191,38.0715815,32.48591803,32.42097148,13.84032581,4.151186618,2.926582868,4.831173027,4.351881099,7.417635165,7.957183268,5.771502146,4.454125328,5.049560302,5.312794551,5.421365751,6.274360292,4.751525852,4.339479691,3.044925945,2.54079826,1.781338036,1.513435786,0.4860572635,1.066590378,1.189097726,0.6430284222,0.7968149911,0.6248724219,0.6847569777,0.7055836986,0.7162069472,0.7342140219,0.8686142844,2.066155045,1.237697688,1.374137211,1.461149916,0.6366133873,8.434223127,22.50976131,
"Congo, Rep.",,,,,,,,,,,7.477522567,7.729966391,6.535424164,4.155282141,9.252278608,3.867591179,3.190876981,2.497294382,1.453839938,4.601962327,6.142903852,8.946414883,2.225508594,0.5948775151,0.3750926284,0.2546919653,0.3212796457,0.2063410687,0.2300009927,0.2505493089,0.2078922947,0.1822178214,0.1638223747,0.1138811413,1.030420058,1.08041058,1.858771981,1.276082761,0.08089651571,0.8654923634,4.706312494,1.630491182,0.6998897997,0.7270317139,1.896094423,12.00360981,28.17079835,38.66405209,65.42837806,77.63884009,117.6215324,
Costa Rica,,,,,,,,,,,5.708292812,9.040445399,11.22829849,11.77481679,8.970662794,7.151842509,10.5051025,15.38076079,12.58463551,7.714326999,7.172899159,4.324073082,6.852582777,8.241770404,10.32667956,11.96205062,12.05267527,11.0189456,14.98096167,16.3036773,14.04163864,23.27381211,26.38422109,27.05196814,23.38547092,28.1439407,29.07894711,36.88698662,27.28310421,35.23983665,28.43874765,27.5487961,29.95080287,32.82521053,33.63597872,35.65735089,44.55605475,48.95961011,41.32980764,50.99194741,52.32506761,
Cote d'Ivoire,,,,,,,,,,,31.81512744,17.38735268,15.0346908,10.23793223,6.158867313,7.016456186,4.180084015,7.326627006,11.87538412,3.558445726,0.6155761581,0.4365112366,0.2513838286,0.4142732046,0.2233395917,0.1996458605,0.3227207626,0.2242335378,0.2149103745,0.221520892,0.1224318043,0.1600706968,0.117377741,0.1030028812,1.272466356,2.79924153,3.102772105,3.96170122,5.760094088,4.786444158,5.552009976,8.804854861,15.58730446,10.70849877,12.72790499,11.47200702,14.08373014,18.16756384,17.92439711,27.91767337,31.71004685,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,72.45413636,53.07684806,44.95514148,41.14433788,40.66070797,45.06867788,60.30002018,48.81535882,37.91322615,32.3028104,28.62683301,26.48512106,26.76081014,25.34384778,23.81853137,26.37373207,26.27422348,27.13217749,22.47529948,25.65596376,22.37613954,21.9630283,25.64523986,19.56719152,25.12414392,32.0197319,33.14032448,
Dominica,,,,,,,,,,,,,,,,,,,,,,21.17912028,21.09844636,4.326954587,11.2146503,6.020364058,16.72422559,25.71734414,19.20416211,15.0741508,16.44399304,18.58368921,21.36412167,20.66225635,15.70330173,21.41254581,19.92392206,22.98012897,24.4345558,27.3302153,17.81864365,14.55308532,19.9791957,16.68417,13.90171815,17.96297126,24.89343313,20.92987029,18.30847944,29.44340232,28.53885441,
Dominican Rep.,,,,,,,,,,,8.983662945,14.00985483,13.82793977,19.96706145,17.86140176,18.52481566,16.60674074,17.54470423,13.27938175,18.46220045,13.93950884,12.28088728,6.766676848,6.849503125,8.325053937,9.878920149,10.39609645,4.866655263,6.585268111,4.239588843,1.567413176,9.981219154,10.96577788,13.54518183,6.061071552,8.378499471,8.243263003,9.361936092,11.51511138,14.92390845,13.92027175,21.47770925,7.565221342,3.90595983,11.31629768,26.19680348,24.8719039,25.25855849,22.60545063,26.30029563,26.84137784,
Ecuador,,,,,,,,,,,20.75363821,15.4427156,29.39094694,48.45726451,60.74906121,33.83671635,47.60745584,29.02366351,18.30245903,20.63961395,20.96158819,10.39730524,6.404325501,10.56640193,8.896503418,9.808663545,8.635601551,6.603983154,5.283293491,6.243470219,8.334466971,8.676130638,8.323111299,10.96426545,13.38783291,12.88313007,14.03951245,14.52404986,11.27196017,11.80182915,8.894869006,7.663295057,6.233289391,7.035289174,8.252074311,12.40462756,11.71633436,19.78248624,25.73710398,26.83669923,17.70174164,
Egypt,,,,,,,,,,,9.160585829,7.966352771,10.72211442,26.7418518,31.92660807,11.06429063,8.923505667,7.089813294,8.170637071,12.04309414,12.96168133,7.622748534,6.621897504,5.623191207,4.617247533,4.395492783,4.46389538,5.792190062,4.902587847,5.465250844,10.9721424,18.9586743,37.28133444,45.19971454,44.34877133,51.14769644,58.06069063,64.67574288,58.29640249,49.18293421,47.51827857,48.36008176,47.82060767,48.06876546,49.41860984,72.41097329,85.11149328,94.75397671,102.8938556,104.7703473,106.2697293,
El Salvador,,,,,,,,,,,35.00050248,32.82522566,37.85667386,39.20827283,46.66222713,42.47930276,52.20844432,40.6264405,41.90210842,45.43235132,41.89654207,24.50607631,23.85400841,19.43029392,16.95584852,17.9962155,18.95994901,20.81325134,17.72439541,21.82998324,27.76175015,20.69648222,25.50450879,37.46782249,39.54549217,37.46133709,39.41081292,45.74472939,53.49349954,53.02616913,42.56763007,32.63292651,28.62835086,24.71075334,22.74990083,20.40051657,19.30692772,23.49765178,24.95816907,30.90764229,26.1752431,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3614628,183.6194204,304.2556186,46.63816698,23.30806402,12.0460833,12.74801158,6.178318101,4.066674452,4.923734925,3.856803402,3.230176543,3.989381855,6.022047242,8.834192032,11.30397611,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,42.3798053,34.06434583,43.77470569,76.00391455,111.2001211,91.7309436,82.40340671,52.0224855,38.35138815,43.12562251,31.84364996,20.09185408,8.456452577,5.347277718,2.576187174,4.150518546,5.406576205,3.034520515,1.943388897,1.566354448,0.638404365,1.16532976,2.886572368,5.144731622,5.830085286,7.895760398,8.356440423,5.831557808,5.775965462,9.83617711,6.598044868,8.537937936,14.7593503,13.1077665,22.46523028,16.79406023,38.09647194,49.22837017,30.23611239,35.40841856,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,234.4419681,267.4664664,334.9841366,156.6757092,200.2409912,250.5718669,182.0448243,122.7677382,132.3423329,100.3465296,80.4597358,50.46147703,43.64928741,36.11653715,38.4167878,40.05785492,51.64362024,36.34891732,63.00521557,67.88568394,84.66779383,99.62138754,126.6029533,112.3677739,143.1659517,195.9852992,265.8525576,234.1078481,281.8912039,223.8573542,238.7144408,229.7998622,212.081354,230.4828321,196.4242636,173.0014608,88.45417036,143.0520467,84.81041965,132.0492318,159.3351343,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,14.19785623,17.44376529,10.11459216,12.0782307,19.56273191,16.54896231,9.41079768,0.7424027276,1.634091054,1.543381477,7.591121462,17.95198416,31.74419127,20.95372813,22.1153157,16.30517584,6.754310975,0.6910553223,2.552031235,1.178292226,6.99763043,7.862143119,1.960715211,0.1493039459,4.317485208,3.50972749,5.878874678,6.689642436,0.4313795012,0.5439024871,4.962221501,0.3918969033,4.104494024,5.386186654,11.05796395,17.41208738,26.78477122,43.51252883,89.01820406,93.55902377,74.46246973,
Gambia,,,,,,,,,,,159.7714736,199.6608979,154.6185006,183.3029006,229.4114806,212.8340037,133.743238,64.16943024,52.3390065,2.374627855,4.14476714,2.242937487,4.049726493,1.377939829,0.9810190541,0.7075127206,5.020745698,7.884787003,5.858467013,6.096268328,15.00549381,17.64662692,23.31053109,24.82596673,23.17289963,24.91304465,22.59663215,22.61623157,23.14634195,23.93873392,22.63658191,21.7226758,18.53110414,9.328230696,12.44595819,14.90146396,16.98651726,20.63436599,31.91567928,48.78111629,42.88341019,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00439331,14.05792223,13.76132404,8.062516999,8.731041977,7.079941942,9.368540096,10.99556249,10.14094237,18.73143754,25.07615265,40.52503872,52.151411,20.13380978,25.51651909,24.50618034,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,7.451784752,7.895166863,17.2131218,25.68210909,13.3615184,20.0217517,15.89669163,17.02412246,25.54719942,31.28610903,23.51221457,17.44335686,21.17849338,17.48608518,22.31336812,24.61018521,22.7178967,10.0975341,10.15387564,13.23242569,8.282912789,15.50118637,9.709920963,11.29944049,13.51200887,14.62855176,16.07317531,10.8122958,7.236711582,8.329642224,5.050782358,5.927118889,9.136612284,19.42245963,24.77147323,27.98088984,68.33889736,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,24.60689192,55.72749045,72.10141174,63.76426144,65.45497994,62.95263261,90.51749661,101.1867325,71.61829429,59.79969463,65.8314493,50.10086341,21.17791624,24.93433633,26.41629214,35.83845451,33.02264947,29.54935288,19.43892456,17.35646696,15.87244259,14.25898724,22.38851161,18.19153181,24.20006376,28.91918258,25.58590972,36.88312193,27.34868673,37.44423177,28.62618159,26.68772981,23.99898844,22.10920931,28.18274969,23.21969469,20.02832948,20.58405749,19.02215208,23.10787896,20.68730208,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
