Trade balance (current US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,-15555547.02,-19999991.47,-24444430.22,-57777794.84,-73333304.89,-102222210.8,-139999994.3,-124444444.4,-86666672.36,-68888894.58,-37777794.84,-95555561.24,-53333333.33,-31111122.49,-17777777.78,-37777772.09,-42222227.91,-93333344.71,-100000017.1,,,,,,,,,,,,,,,,,,,,,,,,-1346906185,-2330683821,-2698375900,-3139071522,-3360200238,-3977872629,-3831083815,-6096070478,-6565329977,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,-37797206.86,-43519821.37,-8912480,-2074976,-60287520,-64875008,-175000000,-232016663.9,-546433215.1,-575597169.8,-548018699.3,-534278918.1,-690456904.2,-576884814.2,-644078088.8,-506293170.2,-676657519.2,-744179024.8,-1170064824,-1427485737,-1624590833,-2014800000,-2197350509,-2803288825,-3450694024,-3088847742,-2590634616,
Algeria,-765354687.2,-517612291.3,-20510459.26,-328167192.6,-126722239.4,-101274850.3,40509940.1,60764910.16,-40509940.1,-182294782.3,-344331749.2,-468183797.8,-356840185.4,-530410131.9,430539981,-1443257158,-720495865.1,-2339153491,-3857888489,-570938782.3,1693810966,1645117451,871041793.5,1044102852,-943130450,-1829825525,-6571672031,-2762886336,-4192872345,-5493494330,-926546456.6,2522600361,696097891,-676804145.8,-1498769463,-1170000449,2729999497,4610000492,30000488.53,1520000346,10860000207,8082000225,5520553921,9789367496,12258808347,23923248767,31742534437,31664550104,39951690073,6171963098,15118714522,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,706470076.4,407754163.7,243984059.2,868255951.8,1362868936,1845199922,391432463.6,-112046401.7,-66333501.64,385964897.9,,1061752122,32182733.66,-1048577541,-393947138.6,2446304569,150398817.2,1295958682,915042462.4,3158319695,9142034772,17055338081,18403233138,21121746917,4531301353,11460492514,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,-3259259.202,2659259.212,5840740.638,-21322221.85,-27818518.03,-54233326.45,-23181487,-17803709.32,-35518517.89,-53233326.47,-68240733.61,-39125948.94,-36440722.32,7751845.789,-2425931.809,11903691.64,25137018.82,7666678.383,-50925936.88,-123888874.8,-34999999.38,-24022221.8,-56492591.59,-31606378.7,-41248517.79,-46579808.81,-72113179.1,-85281881.09,-173741286.6,-305834167.2,-372741241.6,-334269760.4,-219183623.7,-117976047.8,
Argentina,,,-1147183290,402.8211856,398.02945,588235268.3,476190457.6,606060618.8,285714230.8,0,273421120,-199999955.6,125000067.6,1000000034,444444349.2,-81081003.13,1665000247,1300000008,1680327852,125448026.3,-1094188525,-354736981,2166280922,3447293430,2241000057,4830000122,2038888858,330476193.1,4189772695,4965320039,8096966436,3029889899,-3510861332,-5692616838,-7924559872,-1100500992,-1822199808,-6571800576,-7613001728,-4950599680,-1801299968,3542599680,15193460879,13957074315,10857214819,10770329727,11832037053,11185467284,12495342369,16425260566,12191406875,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-255694325,-400778635.9,-272780151.1,-162600074.2,-444165259.6,-561763711.9,-523000228.3,-623026872.9,-640769081.8,-535999993.4,-519333821.7,-438107952.3,-409450074.1,-501968657.7,-556791451.9,-706666739.5,-1014568311,-1838048994,-2986485930,-2380792777,-2267578012,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-524022429,-198323919.3,-187150877.7,-82122942.53,-249161945,-301675841.1,-391061460.8,-353631399.7,,,,,,,,,,,,,
