,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,34,25,21,24,32,23,18,11,7,9,7,5,5,6
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,7,11,12,12,12,21,14,13,11,10,9,6,6,6,5,4,4,4
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,2,48,58,120,150,150,150,150,95,95,14
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,8,7,7,7,7,7,7
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,8,7,7,7,7,7,7
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,210,210,78,26,65,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,5,5,5,5
Australia,,,,,,,,,,,,,,,,,,,,,,,6,6,5,6,10,9,9,10,9,10,11,14,16,12,12,16,17,15,13,17,15,11,7,6,6,6,,,,,,,,,,,
Austria,4,4,4,5,6,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,6,6,7,6,4,6,5,4,7,7,5,4,5,4,4,3,4,7,7,8,8,5,5,3,3,3,3,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,100,200,80,20,12,14,10,10,10,7,7,7,9,10
Bahamas,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,9,11,9,10,9,10,9,8,8,9,9,9,9,8,7,7,7,7,7,7,6,6,6,6,6,6,5,5
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,10,9,9,6,6,6,7,8,8,7,7,6,6,5,5,5,5
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,7,22,20,16,16,13,8,8,8,14,14,18,12,8,10,13,13,9,9,10,10,8,8,8,8,10,12
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,210,480,66,8,9,10,23,80,48,38,28,17,11,10
Belgium,4,3,4,3,3,3,3,3,4,5,4,4,5,5,4,4,5,5,5,4,5,8,7,6,5,8,9,6,9,9,6,11,12,15,12,10,11,10,8,7,8,10,11,9,8,5,5,3,3,3,3,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,10,14,15,14,12,12,20,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Benin,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,8,8,8,8,8,11,11,13,11,11,11,9,9,10,11,11,11,13,6,6,6,6,6,6,6,6,6,6,5,4,4,4
Bolivia,,,,,,,,,,19,19,19,19,19,19,15,16,16,16,16,16,16,12,13,11,11,13,13,13,13,13,18,20,26,37,61,149,,,,,,,,,,,,17,13,14,13,10,9,13,8,6,5,5
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,7,6,6,9,12,11,9,9,9,9,7,7,9,12,14,14,14,13,13,12,13,14,14,14,15,14,14,15,15
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,45,39,21,19,21,30,24,25,25,20
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,41,52,72,34,180,7,5,4,5,5,3,3,2,2,3
Burkina Faso,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,8,8,8,8,8,11,11,13,11,11,11,9,9,10,11,11,11,13,6,6,6,6,6,6,6,6,6,6,5,4,4,4
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,7,7,7,7,7,7,7,5,7,7,7,9,10,11,10,10,10,10,12,12,12,14,14,16,15,15,15,11
Cameroon,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,6,6,7,7,7,9,9,9,9,9,9,9,8,8,10,10,11,11,12,12,8,9,8,8,7,7,7,7,6,6,6,6,5
Canada,2,2,2,2,2,2,2,3,4,4,4,5,4,3,4,4,4,5,5,6,7,8,6,5,5,7,9,9,9,8,11,14,17,15,10,10,10,9,8,9,11,12,12,8,7,4,7,6,3,5,5,5,6,3,3,3,3,4,5
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,9,9,9,9
Central African Rep.,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,6,6,7,7,7,9,9,9,9,9,9,9,8,8,10,10,11,11,12,12,8,9,8,8,7,8,7,7,6,6,6,6,5
Chad,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,6,6,7,7,7,9,9,9,9,9,9,9,8,8,10,10,11,11,12,12,8,9,8,8,7,8,7,7,6,6,6,6,5
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14,8,12,8,9,7,9,7,3,2,2,5,5
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,10,10,10,9,9,5,3,3,3,3,3,3,3,3
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,6,6,7,6,7,8,3,3,3,4,6,7
Colombia,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,8,8,8,8,8,8,8,14,14,14,14,16,16,20,20,22,30,30,30,27,27,27,27,34,35,34,37,46,45,34,33,45,40,35,31,42,23,18,13,10,12,11,11,11
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,9,9,,,,,,,,,,,6,6,6,5,4,4,4,4
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,6,6,7,7,7,9,9,9,9,9,9,9,8,8,10,10,11,11,12,12,8,9,8,8,7,8,7,7,6,6,6,6,5
Costa Rica,,,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,7,7,8,8,15,15,24,24,30,30,28,28,28,31,32,32,38,43,29,35,38,39,35,31,37,34,32,29,31,26,26,27,25
Cote d'Ivoire,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,8,8,8,8,8,11,11,13,11,11,11,9,9,10,11,11,11,13,6,6,6,6,6,6,6,6,6,6,5,4,4,4
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889,34,9,9,7,6,6,8,6,6,5,5,5,5,5
Cyprus,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,7,7,7,7,6,5,5,6,4,5
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,11,12,15,10,5,5,5,3,2,3,2,3
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,15,20,20,26,26,29,37,50,45,55,55,95,145,125,238,13,22,120,120,140,24,8,,,
Denmark,3,3,5,5,5,4,5,6,6,6,5,5,6,7,7,6,7,7,7,8,6,9,9,8,7,9,10,8,10,9,8,11,11,11,10,7,7,7,7,7,7,7,9,10,10,6,5,4,3,4,4,3,5,3,3,2,2,2,4
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,8,7,7,7,7,7,7
Ecuador,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,15,15,19,23,23,23,23,23,32,35,49,49,34,45,59,46,37,62,64,13,16,15,11,10,10,9
Egypt,,,,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,9,11,12,13,13,13,13,13,13,13,14,14,20,18,17,14,14,13,12,12,12,12,11,10,10,10,10,9
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,8,10,10,11,11,12,12,8,9,8,8,7,8,7,7,6,6,6,6,5
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,3,3,3,3,5,12,12,12,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,7,8,9,10,10,11,11,8,11,11,8,8,8,6,6,6,6,6,2,3,3,8,2,2,2,2,3,5
Finland,7,6,8,6,6,6,6,6,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,9,8,9,9,9,9,8,7,9,9,9,9,10,10,9,7,7,8,9,9,9,10,6,5,5,4,4,4,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,6,6,7,7,7,9,9,9,9,9,9,9,8,8,10,10,11,11,12,12,8,9,8,8,7,8,7,7,6,6,6,6,5
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,8,10,10,10,10,15,20,21,19,15,17,16,18,14,14,14,14,14,12,11,10,13,18,29,28,14,9
Germany,5,4,6,6,5,4,3,4,5,4,3,4,4,3,3,3,3,4,5,3,3,6,6,4,5,7,6,4,4,3,3,6,8,8,5,4,5,4,4,3,4,6,6,8,8,6,5,3,3,3,3,,,,,,,,
Ghana,,,,,,,,,,,,,4,5,5,5,5,5,7,6,6,6,6,8,8,6,6,8,8,8,14,14,14,20,11,15,18,19,21,24,26,26,33,20,30,35,33,45,45,45,37,27,27,27,25,22,19,16,13
Greece,12,12,12,12,12,12,10,9,11,11,11,9,6,6,6,6,6,6,6,5,5,7,7,7,7,9,8,10,10,11,14,19,21,21,21,21,21,21,21,21,19,19,19,19,19,22,21,18,17,15,,12,8,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,8,7,7,7,7,7,7
Guatemala,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,7,5,9,8,12,9,9,9,9,9,9,9,13,19,17,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,10,13,15,19,19,17,17,18,18,15,,,12,16,16,16,16,22,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,46,6,6,6,6,6,6,6,6,6,6,5,4,4,4
Guyana,,,,,,,,,,,,,,,,,,,6,7,7,7,7,7,7,7,7,7,7,7,9,11,13,13,14,14,14,14,14,14,14,35,30,33,24,17,20,17,12,11,11,13,12,9,6,6,6,6,7
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,16,16,24,24,24,24,24,24,24,24,28,30,26,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,11,14,17,22,22,21,22,25,28,23,21,17,15,11,10,9,13,10,6,8
Iceland,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,6,7,7,7,14,17,26,28,28,28,22,17,30,21,49,24,38,21,21,17,,5,6,6,7,9,10,12,12,8,8,10,12,15
India,,,,,,,,,,,,,,,,5,5,6,6,6,5,5,5,6,6,7,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,9,9,8,8,7,6,6,6,6,6
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,14,9,12,14,13,20,38,13,15,18,13,8,7,13,10
Iran,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,4,4,4,5,5,7,8,8,7,8,9,9,8,8,8,10,9,,,,,,,,,,,,,,,,,,,,,,,,12,,,
Ireland,3,3,3,3,4,4,3,4,5,6,4,4,5,6,4,4,7,6,7,8,7,8,7,5,8,13,12,10,15,7,12,17,14,17,14,12,14,10,13,9,8,12,11,11,,7,6,7,6,7,4,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,311,690,80,31,27,31,15,13,14,10,10,17,14,15,14,13,11,8,6,9,5,4,4,
Italy,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,4,7,8,6,15,12,11,15,17,19,18,17,17,15,12,12,13,14,13,12,12,8,8,9,8,6,3,,,,,,,,
Jamaica,,,,,,,,,,,,,,6,6,4,5,5,6,6,5,6,6,5,6,7,9,8,9,9,9,9,11,11,11,11,16,21,21,21,21,21,21,,,,,,,,,,,,,,,,
Japan,5,5,5,6,6,6,6,7,7,8,7,7,7,7,7,6,7,5,5,6,6,6,6,5,4,9,9,7,7,4,4,6,7,6,6,5,5,5,3,3,3,4,6,5,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0
Jordan,,,,,,,,,,,,,,,,,,,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,6,6,6,6,6,6,8,9,9,9,9,9,9,9,8,9,8,7,5,5,3,4,7,8
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,230,53,35,19,25,18,14,9,8,7,7,8,9
Kenya,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,8,8,8,13,15,15,13,13,13,13,16,17,19,20,20,46,22,25,27,32,17,26,,,,,,,
"Korea, Rep.",4,4,6,6,6,7,7,7,7,7,7,7,10,10,10,10,11,28,28,28,23,22,19,16,11,11,11,14,14,14,15,15,16,11,5,5,5,5,7,7,8,7,7,7,7,5,5,5,5,5,3,3,3,3,3,3,2,2,3
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,,8,8,6,7,7,7,8,7,7,7,4,3,3,5,6,6
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,25,30,32,35,,35,35,35,35,20,20,20,20,20
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,25,24,10,4,4,4,4,4,3,3,4,4,5
Lebanon,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,5,7,7,6,6,6,9,10,13,12,12,12,20,22,22,22,22,22,18,16,20,16,19,25,30,30,25,20,20,20,20,20,12,12
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,12,12,15,12,10,9,16,17,16,18,15,14,14,16,17,16,20,19,15,13,16,15,13,13,11
Libya,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,3,5,5,5,5,5,4,4,4
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
Madagascar,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,8,13,13,13,12,12,12,12,,,,,,,,,,,15,,,,,,,
Malawi,,,,,,,,,,,,,,,,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,8,10,10,10,10,10,11,11,14,11,11,14,13,20,25,40,50,27,23,43,47,50,47,40,35,25,25,20
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,19,18,18,12
Mali,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,6,6,8,8,8,8,8,11,11,13,11,11,11,9,9,10,11,11,11,13,6,6,6,6,6,6,6,6,6,6,5,4,4,4
Malta,,,,,,,,,,,,,,,,,,,,,,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,3,3,3,4
Mauritius,,,,,,,,,,,,,,,,,,,,8,8,8,6,6,6,6,6,6,6,7,9,11,11,12,12,11,11,11,11,10,10,12,12,11,8,8,14,11,12,10,17,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,180,150,109,46,23,11,9,9,10,12,16,4,6
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,8,7,7,7,7,7,7
Morocco,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,7,7,7,8,9,9,9,,,,,,7,,,,6,5,5,5,4,3,3,3,3
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,58,32,13,10,10,10,10,10,10,10,10,10
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,13,15,15,15,12,10,10,10,10,10,10,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,17,15,16,18,18,16,19,12,11,9,13,8,8,7,9
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,15,15,15,15,11,11,11,11,11,13,13,11,11,11,11,9,9,9,8,7,6,6,6,6,6
Netherlands,3,3,3,4,3,3,3,3,4,5,3,4,4,4,4,4,5,5,5,5,5,6,6,5,4,8,7,5,6,5,7,10,8,9,5,5,5,5,5,4,5,7,7,9,8,5,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,8,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,,,,
New Zealand,2,2,2,2,2,2,4,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,9,10,11,13,14,13,13,8,14,20,25,19,15,15,13,8,9,6,10,10,9,10,6,5,7,5,6,5,7,7,7
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12875,311,10,15,15,12,11,,,,,,,,,,,,
Niger,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,8,8,8,8,8,11,11,13,11,11,11,9,9,9,11,11,11,13,6,6,6,6,6,6,6,6,6,6,5,4,4,4
Nigeria,,,,,,,,,,,,,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,6,6,8,8,10,10,10,13,13,19,19,16,18,26,14,14,14,14,14,18,14,21,17,15,15,13,10
Norway,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,5,6,6,7,9,9,9,9,10,10,11,15,14,12,11,11,10,11,7,7,7,6,6,10,8,9,9,9,4,4,4,6
Pakistan,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,6,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,17,20,18,17,13,13,10,8,8,8,9,10
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,10,11,9,11,10,9,9,7,6,7,18,15,9,17,17,10,12,12,16,13,10,8
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,21,33,20,24,27,19,21,15,20,20,20,20,20,20,20,20,20,20
