,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Albania,,,,,,,,,,,,1564,18762,26005,35159,89519,111610,129865,89821
Algeria,315,277,269,230,206,204,185,139,144,121,144,142,198,240,306,282,33650,72309,88881
Antigua and Barbuda,,,,,,,,,,,,,,,,3,32394,72069,88552
Argentina,3838,,,,,,,,2453,,3554,,,5859,6320,6457,6634,,
Armenia,,,,,,,,,,214,4890,15570,20430,25122,33899,40272,58277,75657,89565
Aruba,,,,,,,,,,,,,,,,,,,1
Australia,17382,19970,19680,21197,22544,24079,26507,27672,28927,30729,35026,37481,43321,48211,57706,63355,80721,95173,107257
Austria,4215,23628,25840,28250,32903,37400,43571,43535,48352,51491,59336,66126,78491,111224,147040,162121,201030,233181,254032
Azerbaijan,,,,,,,,,,,,252,16635,24308,33507,40042,58076,75462,89337
Bahamas,41,45,38,,36,,27,28,31,,,,,,,,,,
Bahrain,65,16,20,,,,,,31,,,,,,,,,,
Bangladesh,166,136,93,121,133,108,108,113,161,107,128,226,,,216,,,,
Barbados,38,239,549,833,1272,1772,3138,4336,5875,8365,12391,15912,20945,26322,35001,41272,58943,76051,89705
Belarus,,,,,,,,,,5715,14323,17251,21048,26035,35269,41792,59430,76695,90594
Belgium,2835,25246,27284,29265,33963,38186,43725,42047,45260,46520,50417,53651,60455,86645,112652,120981,141766,156629,163594
Belize,,,,,6,7,,,,,,,,,,,21308,71685,88533
Bolivia,58,46,,,,,,,,88,117,123,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,3056,23197,34441,41224,59188,76414,89872
Botswana,,6,34,17,29,34,45,68,89,107,87,51,61,93,92,54,15,58,10
Brazil,6719,8379,8357,9613,10192,11035,12434,12769,14180,16944,21242,25797,32106,31983,41621,52295,64686,94007,101746
Brunei,,,,,,,,,,88,,,,,,,,,
Bulgaria,304,5480,6014,5953,5701,6056,6396,5584,7136,9512,13944,17323,22553,28000,36575,42952,60480,77622,158357
Burundi,7,,2,,,2,3,,2,1,4,1,5,,,,,,
Canada,26735,27574,27757,29125,31641,35091,37917,38380,44064,47752,41462,43604,49254,54446,65682,69777,85926,98489,108352
Chile,707,687,697,744,742,833,833,1000,1139,,1648,1716,1960,,,2812,3120,,
China,,8558,8009,8059,9652,9659,,11423,14409,19618,34741,41773,52714,61382,82289,89042,122306,149294,181256
"Hong Kong, China",830,971,1037,1120,1068,901,1081,1092,1259,1195,1640,1961,2100,2385,14667,6040,8295,8914,9130
"Macao, China",,,,,,,,,3,,,,,,,,,7,12
Colombia,540,513,485,584,505,606,,612,695,907,906,1234,1259,,1736,1683,1799,44945,87911
Costa Rica,,,73,45,48,41,66,,,120,,,,,,9105,52437,74360,89225
Croatia,,,,,,,,,1489,1249,861,600,615,712,12906,40279,58936,76491,90321
Cuba,213,229,259,238,342,304,260,24,20,14,152,137,4918,23271,33997,41039,58418,75691,89481
Cyprus,56,43,30,71,50,,43,53,57,,,,,4,77374,118767,139700,154362,161583
Czech Rep.,,,,,,,,,,11804,17859,20010,25479,30577,39196,45309,62645,79253,159200
Czechoslovakia,1013,10659,10856,10835,9610,7598,7071,5934,10715,,,,,,,,,,
"Congo, Dem. Rep.",94,,86,,74,,,,,,55,18,29,,,,,,
Denmark,6278,8293,8907,8760,11214,10900,39447,39764,44351,47088,55199,62067,74603,109061,146357,161564,200652,232921,253978
Dominica,,,,,,,,,,,,2,,,,8500,52176,74307,89134
Dominican Rep.,,,149,,,,,,,,,,,,,,,,
Ecuador,120,,131,99,121,120,,88,107,121,339,278,361,310,,490,11,28909,85303
Egypt,832,839,809,766,664,648,789,787,818,831,836,1101,1210,,1633,1682,1615,1387,1425
El Salvador,96,56,,,,53,54,36,108,85,86,67,,,,,,,
Estonia,,,,,,,,,,,2600,14767,21156,26644,35501,41756,60237,77167,157934
Ethiopia,,,,,,,,,,,,,3,4,,12,7,,
Fiji,20,18,17,,,,,,,,,,,,,,,,
Finland,5183,7017,7521,8374,9543,10847,12610,12099,14927,15647,19582,22725,64818,109437,146884,159033,198293,230441,251609
France,20200,56114,58848,62577,68384,74942,81884,79075,82038,82141,86285,89766,98508,112631,130015,138455,160178,175122,182015
Gambia,,,26,16,24,30,40,62,81,98,74,46,54,200,60272,79703,115420,150082,177146
Georgia,,,,,,,,,428,1027,8169,15948,21413,26826,35728,41960,59368,76464,90083
East Germany,13121,14011,13101,12863,12660,12047,7525,,,,,,,,,,,,
Germany,,,,,,,,109187,115209,117768,127413,136615,155095,175595,202771,220761,262550,292398,310727
West Germany,45209,83103,86108,88481,95998,102427,110349,,,,,,,,,,,,
Ghana,15,9,47,35,39,36,62,87,101,158,114,42,33,34103,66173,80028,115543,150196,177371
Greece,3490,3158,5324,12787,13758,15538,18908,32359,35958,36907,41016,45149,52805,82443,111339,119774,140540,155346,163001
Grenada,,,,,,,,,,,,,,,3330,34698,57014,75423,89411
Guatemala,115,302,131,86,101,84,81,95,73,81,93,62,104,135,207,231,226,265,
Guinea-Bissau,,,,,,,,,,,,,,25,15568,1,,,
Guyana,5,17,17,3,14,10,6,,,,,,,,,,,,
Haiti,13,21,24,18,5,,,8,,,,,9,,,6,,,
Honduras,23,28,,43,27,,23,19,30,,,47,136,,151,156,139,162,168
Hungary,4475,5224,5560,6311,6889,7067,9133,9950,10931,12779,17039,20887,24979,30105,38707,44974,62438,79200,92459
Iceland,98,92,121,119,126,105,130,133,149,146,130,9331,20518,26298,35182,41570,59656,76698,90405
India,3294,3475,3496,3508,3537,3648,3820,3595,3424,3720,4800,6566,8292,10155,10108,41496,60942,78522,91924
Indonesia,585,780,623,663,689,774,,1336,4027,,2382,,3997,4517,32910,42503,60363,77407,90922
Iran,474,406,399,372,340,311,355,427,400,442,397,407,,418,496,543,616,993,
Iraq,218,373,253,321,324,322,,,174,192,137,100,86,,,,,,
Ireland,3372,3340,3421,3565,3901,4230,4735,4580,14681,36792,41695,45587,53332,83430,112344,120795,140519,156489,163425
Israel,3386,3517,3649,3858,3854,4090,3908,3717,3727,3953,3962,4425,13535,30344,42271,49414,67858,84405,97284
Italy,11519,38738,43123,47794,53675,49091,55569,53300,64664,65170,69332,64955,80852,91410,123606,128260,151188,156858,163951
Jamaica,103,,,104,,,81,41,65,,68,61,,,,,101,69,69
Japan,282314,305395,322561,344138,345418,357464,376792,380453,384456,380035,370652,388957,401251,417974,437375,442245,486204,496621,486906
Kazakhstan,,,,,,,,,445,9449,14042,17399,21088,26169,35338,41828,59587,77170,89423
Kenya,122,107,144,129,90,107,68,131,110,175,8963,28728,39049,49960,67830,80544,115936,150445,177559
Kiribati,,,,,,,,,,,,,,,,2,,,
