,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Albania,,,,,,,,,,,,,,,,52,203,502,
Algeria,,,,,,,592,617,83,,,118,,863,,,,,111
Argentina,1677,,598,2575,1815,,,406,663,3479,2130,1004,1792,1228,1689,1241,1587,,
Armenia,,,,,,,,,,,,,127,143,85,205,168,185,151
Aruba,,,,,,,,,,,,,,,,,,,3
Australia,7252,7105,7738,10644,11037,11530,12682,12636,12899,12728,11664,9672,8987,9464,14784,13528,13916,13983,14496
Austria,8565,8742,10020,9577,10551,11784,12584,13354,14956,16787,18713,17560,16085,16025,14963,14347,11266,14326,20390
Azerbaijan,,,,,,,,,,,,9,81,,19,,,,
Bahamas,34,66,35,,36,,,,31,,,,,,,,,,
Bahrain,58,31,17,,,,,,26,,,,,,,,,,
Bangladesh,113,118,107,89,75,91,94,78,61,76,98,80,,,140,,,,
Barbados,41,15,,,,,,,,,,,,,,3,,,
Belarus,,,,,,,,,,237,405,633,409,483,687,550,537,529,691
Belgium,2764,10075,11901,9336,10438,12587,13170,14291,17026,19074,20679,19477,18136,17673,16093,15802,12122,15081,20785
Belize,,,,,1,,,,,,,,,,,,,,
Bolivia,56,62,,,,,,,,1,59,47,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,5,1,,
Botswana,,,,5,18,25,29,39,29,42,59,47,107,32,21,26,43,33,
Brazil,4887,3934,2935,2184,3040,3510,3355,2419,1822,2649,2469,2659,1487,,,3219,,3589,4740
Brunei,,,,,,,,,,251,,,,,,,,,
Bulgaria,141,1939,2406,2785,2102,1946,1468,417,394,1,280,375,530,448,534,533,481,425,376
Burundi,7,,2,,,2,2,,2,,4,1,5,,,,,,
Canada,20545,18697,17550,14649,16813,16299,14187,15473,18332,14580,11641,9139,7145,7283,9572,13778,12125,12019,12951
Chile,672,455,421,295,445,610,607,506,460,,127,133,181,,,418,601,,
China,,44,56,422,1025,2303,,4122,3966,6556,3883,3393,2976,3494,4735,7637,13356,16296,21473
"Hong Kong, China",1010,1030,1010,1020,1070,1030,1095,1079,1069,1438,1500,1960,2205,1487,2453,2502,2737,1146,2176
"Macao, China",,,,,,,,,,2,4,2,4,19,4,9,1,,
Colombia,539,169,98,424,538,662,,425,248,280,690,365,370,,476,590,595,363,372
Costa Rica,,,18,13,5,6,12,,,6,,,,,,,,,
Croatia,,,,,,,,,,,,25,281,119,244,275,379,289,286
Cuba,140,149,102,97,73,50,57,3,11,12,132,77,50,50,,70,,,
Cyprus,56,43,29,71,48,,43,54,57,,,,,,,3,23,660,4332
Czech Rep.,,,,,,,,,,860,725,1299,1290,1477,1451,1482,1611,1719,1805
Czechoslovakia,900,7845,6983,6979,6805,5990,5089,1401,1751,,,,,,,,,,
"Congo, Dem. Rep.",93,,85,,74,,,,,,55,18,14,,,,,,
Denmark,1089,1054,958,1129,2815,2616,2376,2609,3773,6629,9723,11353,11494,12103,11018,10754,8484,10618,16469
Dominican Rep.,,,125,,,,,,,,,,,,,,,,
Ecuador,92,,154,46,84,70,,102,60,45,32,90,159,212,,142,,,21
Egypt,220,298,363,235,122,214,306,403,290,341,568,346,250,,118,410,453,430,757
El Salvador,77,70,,,,6,12,6,24,61,78,61,,,,,,,
Estonia,,,,,,,,,,,,,22,108,82,103,84,257,358
Ethiopia,,,,,,,,,,,,,,,,1,1,,
Fiji,,15,12,,,,,,,,,,,,,,,,
Finland,2204,2161,2175,2672,2690,2512,2467,2683,2695,2721,2563,2347,2302,2315,2329,1618,2557,5362,11589
France,23666,37530,35549,30413,31956,32879,35149,35581,38215,44291,54964,55681,49245,50448,46213,44287,36404,42963,53415
Gambia,,,,3,14,22,25,35,26,34,56,45,98,29,18,26,51,53,
Georgia,,,,,,,,,,19,173,119,327,318,536,398,451,268,256
East Germany,11544,12705,10490,10738,10466,11325,8372,,,,,,,,,,,,
Germany,,,,,,,,43190,46520,52008,57803,56633,55444,55053,51685,49548,41585,48207,61153
West Germany,21758,33377,38995,39897,38890,42233,42860,,,,,,,,,,,,
Ghana,15,1,16,21,31,33,45,37,24,31,58,46,96,29,13,17,64,65,
Greece,9153,3225,3254,2035,385,503,1975,3688,6361,7835,8830,8948,8603,8555,7857,7598,6059,7870,13235
Guatemala,66,331,53,126,93,11,72,123,65,19,37,3,8,15,17,36,23,6,
Guyana,7,22,12,3,11,7,3,,,,,,,,,,,,
