,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Algeria,,,,,,,,,,,2114,,1354,1368,,1501,1484,1352,1330
Argentina,54398,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,187,261,279,285,386,432
Aruba,,,,,,,,,,,,,,,,,,,5
Australia,49458,53170,49498,52774,55757,59228,64070,67845,70516,72809,73593,74116,73884,76694,83429,88361,93211,93405,98707
Austria,48254,49589,33276,31101,29181,27214,25738,23798,21818,19477,19093,19100,15556,14184,13621,12845,12132,11763,11505
Azerbaijan,,,,,,,,,,,,9,,,,,,,
Bahamas,,,54,,,,,,,,,,,,,,,,
Bangladesh,891,934,1008,952,838,704,580,597,595,559,645,694,,,,,,,
Barbados,,,,,,,,,,,,,,,,9,,,
Belarus,,,,,,,,,,237,641,1261,1631,,,,,,
Belgium,64499,73564,84404,82377,84881,95465,85935,86075,100081,81494,87810,88762,88885,85663,88752,85370,,83752,87891
Belize,,,,,1,,,,,,,,,,,,,,
Bolivia,,1673,,,,,,,,,,580,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,79,79,42,
Brazil,,45459,46411,,,,,,,,17569,15757,15429,,,22375,,27309,29246
Brunei,,,,,,,,,,1384,,,,,,,,,
Bulgaria,,25005,27200,29846,30915,25138,26614,1591,824,837,2136,1858,2168,1908,1754,2136,1460,2160,2127
Burundi,110,,121,,,9,129,129,14,15,70,64,60,,,,,,
Canada,405247,395643,236802,371019,358239,346243,339184,333370,331158,320000,321051,301299,259379,246900,235916,209333,196519,182957,173782
Chile,9661,9121,8555,8223,8077,7985,7878,7879,7756,,,7000,6300,20310,,,,,
China,,44,,518,,,,,,,,18665,20491,,,49402,34848,49572,65049
"Macao, China",,,,,,,,,33,35,39,42,46,,,,,,
Colombia,,,,,,,,,,,,,,,417,,,,
Costa Rica,,,,402,456,326,338,,,,,,,,,,,,
Croatia,,,,,,,,,,,,25,306,,,,,1436,1717
Cuba,1413,,,3,,549,340,388,170,,1174,762,1293,1399,,1427,,,
Cyprus,585,568,549,572,585,,517,688,727,,,,,,,,,,
Czech Rep.,,,,,,,,,,15150,10484,6447,6222,6203,7001,7249,7789,8315,9271
Czechoslovakia,,,108379,113738,118829,120942,124611,,18582,,,,,,,,,,
"Congo, Dem. Rep.",2442,,2494,,2639,,,,,,1717,615,644,,,,,,
Denmark,,,9569,8386,9674,10964,11759,12213,14206,16466,19221,23006,26353,29322,,,,35194,37667
Dominica,,,,,,,,,,,,42,,,,,,,
Dominican Rep.,,,1313,,,,,,,,,,,,,,,,
Ecuador,,,597,625,645,623,,342,372,371,280,90,159,,,,,,639
Egypt,,,,,,,,,,,,,7676,,,,,,
El Salvador,,,,,,322,,,,258,349,,,,,,,,
Estonia,,,,,,,,,,,,,22,130,212,320,390,560,871
Ethiopia,,,,,,,,,,,,,,,,1,4,,
Fiji,,328,141,,,,,,,,,,,,,,,,
Finland,10752,11275,12109,13127,14212,14958,16576,16629,18367,18721,18954,19202,19529,19878,20274,,,,
France,252683,239755,266484,265735,267197,234131,250051,114249,296316,296433,314396,454868,314849,324341,326447,345808,371428,,358387
Georgia,,,,,,,,,,19,192,266,608,,961,728,1163,843,735
East Germany,75094,72434,74215,79649,85168,90987,118099,,,,,,,,,,,,
Germany,,,,,,,,244488,253267,261229,275348,291997,316305,337227,354879,371816,377001,371903,376744
West Germany,137638,177875,141872,212897,227106,219168,232791,,,,,,,,,,,,
Ghana,730,,,,,,176,,,,,,,,,,,,
Greece,,,,,,,,,,6174,,5731,5182,,,,,,25128
Guatemala,,,,,1610,1458,1416,1390,1317,,,,,,,,,,
Guyana,432,355,367,,226,240,218,,,,,,,,,,,,
Haiti,79,158,106,153,130,,,,,,,,,,,,,,
Honduras,772,351,,720,620,,509,441,465,,,115,101,,,198,375,639,747
Hungary,16251,17416,18701,19300,19451,19872,,19433,,,,13804,11446,10951,10896,11438,11441,10191,10784
Iceland,228,192,237,226,250,290,324,317,339,314,296,286,267,261,275,248,237,249,245
India,,7702,13060,14882,13102,13794,10550,11126,10031,9765,9309,,9448,,,8639,,,
Iran,,,,,,,,,,,,8468,,,,,,,
Iraq,808,804,783,854,911,913,,,1119,1122,1120,1122,1168,,,,,,
Ireland,7791,7728,8139,8118,6960,6794,6505,6279,6109,6893,9392,12216,15115,18513,,23209,,36859,32575
