Income per person (fixed 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,1060.684602,1099.512702,1110.512261,1101.335654,1065.235347,1059.865744,1091.560557,1054.247803,1013.629008,1092.474572,977.7655298,687.9918725,643.285848,714.2414315,784.5831479,899.7829368,990.653204,895.560973,1013.514317,1118.171505,1200.137437,1281.842804,1313.722725,1381.040832,1454.022854,1525.723589,1594.495067,1681.61391,1804.419415,1857.352947,1915.424459,1965.70723
Algeria,1280.384828,1085.414612,855.947986,1128.41578,1170.323896,1215.015783,1127.614288,1200.558225,1291.863983,1359.491003,1436.129775,1235.663803,1527.646365,1538.306425,1603.34962,1632.296018,1714.070053,1747.665127,1848.437508,1923.29062,1876.075639,1869.621279,1924.614086,1963.365104,2008.472176,2020.08722,1969.764217,1902.061098,1833.152878,1864.712582,1832.743369,1766.660839,1755.973698,1680.379856,1630.381508,1660.004192,1698.333823,1690.237538,1750.6509,1781.142464,1794.405233,1814.41513,1871.921986,1971.512803,2043.135713,2115.186028,2124.957754,2155.485231,2173.787903,2192.703976,2231.980246,2255.225482
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,18256.27007,18142.98509,18646.94486,19135.29663,19304.37348,18607.40954,18511.40113,18394.46205,18038.59978,17379.32803,17013.69849,16169.0217,15514.65763,14976.59061,14554.76284,14354.90656,14444.46206,14983.63217,15517.49469,15947.49017,16070.06577,15813.1016,15194.45922,14318.18901,14092.42408,14125.59342,14662.7364,16071.64491,16755.22069,17513.17824,17539.442,19085.36406,19430.05478,19834.63262,20254.34629,20737.94512,21595.39548,21495.80508,21943.3399,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,362.4767014,362.354136,381.1575245,392.7728072,384.4236019,372.7945135,357.3108475,322.0929679,234.6694073,235.2049992,251.8979553,272.2911919,286.0045473,297.4212775,298.5734793,298.4058429,297.9016836,329.5655943,328.7779951,353.2314662,404.2703017,473.1363435,562.9876848,622.566879,619.8185805,623.2452749,629.9553062
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,3815.953695,3962.540929,4254.015375,4639.187686,4869.479426,4936.892364,5244.929029,5850.656114,6422.811859,7360.346157,8097.652081,8651.250708,9220.861075,9454.021246,9561.693169,9484.403123,9775.6014,10136.69964,9466.095341,9844.761969,10058.48732,10237.41099,9863.387994,10143.36808,9639.577666,9753.308311,10241.68484,10599.28467,11102.93216,12452.28204,13495.12747,13352.16854,11645.63491,10614.79432,9977.957073
Argentina,5251.876754,5448.303627,5316.578969,4956.216522,5375.463707,5855.611563,5733.311946,5833.052305,6028.124335,6515.364261,6611.234203,6872.758345,6867.510789,6940.168635,7200.908314,7081.660694,6830.307724,7193.565031,6767.812207,7349.623944,7540.685263,7004.45874,6556.347586,6707.05686,6751.820111,6146.155455,6531.926422,6623.374506,6360.588619,5800.056982,5581.962341,6203.445662,6851.752586,7162.093421,7483.560918,7179.938826,7484.004016,7994.115547,8205.47459,7839.514938,7695.594073,7283.062916,6428.393836,6933.155594,7492.249508,8107.975365,8717.176296,9388.688523,9935.834246,9933.229024,10749.31922,11601.63022
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.3789052,708.8475432,419.9765817,392.0608648,423.2577397,461.9193605,496.8729112,519.4908922,562.0276149,584.0454354,621.4248263,683.0967842,774.3699779,883.2457014,975.0468166,1109.033787,1253.8133,1424.190562,1520.033931,1302.45698,1326.710864,1384.085162
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,12995.83203,15394.32469,16791.73153,18467.96227,18465.43608,18178.83714,17789.11366,17827.54038,18952.47289,18550.77411,19503.05297,20408.19595,20269.25648,20589.77183,19983.97746,19009.17065,18853.1299,,,,,,,,
Australia,9407.685082,9451.546304,9351.023272,9749.128563,10231.14447,10633.0944,10635.67791,11165.70646,11533.02832,12091.75533,12708.91935,12777.83407,13034.08135,13176.58538,13375.9812,13375.55956,13590.0944,13918.04043,13879.18525,14297.38143,14555.9477,14814.07307,15040.84822,14510.1437,15027.66949,15574.44144,16024.03402,16195.46821,16832.69865,17199.91102,17553.37684,17270.3287,17137.5585,17669.3199,18191.16457,18690.43658,19183.14039,19709.6605,20387.77284,21154.75805,21708.03726,21824.08607,22402.99102,22825.57102,23498.26199,23929.1644,24295.08138,24765.5489,25190.72063,25007.69776,25190.83986,25306.82494
Austria,7434.183717,7802.972546,7960.70727,8237.060529,8683.454516,8927.460698,9365.306134,9575.183558,9951.60718,10539.697,11085.10449,11600.22295,12248.95167,12776.99245,13258.09388,13244.96435,13875.87098,14575.16601,14556.24303,15362.14184,15628.11853,15565.82167,15867.50615,16365.68683,16375.10914,16776.39194,17151.57949,17373.35717,17920.57394,18533.4758,19192.07172,19655.36566,19847.22018,19787.9258,20185.41806,20692.25631,21174.05212,21638.4083,22432.91072,23181.69316,23974.18307,24087.35538,24375.11384,24466.7063,24945.04777,25370.46587,26171.69091,27036.48733,27305.92329,26183.9976,26642.99386,27266.40335
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.740064,1222.853772,932.2568693,706.0969501,559.3831647,487.7263633,489.1025898,512.5026379,558.427421,594.5106711,655.0974326,714.3956873,784.2478926,865.5012737,945.4691735,1182.918447,1573.64218,1945.637549,2110.970428,2259.881745,2344.810935,2338.896558
Bahamas,11926.46097,12558.29581,13186.10406,13858.51689,14584.42775,15374.33583,16045.5276,16866.147,17592.5456,18516.80315,16944.17706,16773.32431,15825.01611,16681.08272,13616.13388,11368.41198,11708.97569,12508.23765,13971.07784,17236.66283,17954.41744,15939.86648,16632.42252,16855.9741,18841.51612,19359.4995,19341.59051,19571.05278,19685.36145,20653.8658,19970.50833,18789.34949,17736.28159,17466.21081,17707.13476,18195.24765,18702.81496,18853.24266,19514.56795,20665.69366,21258.29243,21530.3738,21809.34718,21228.07569,21106.72008,21507.71526,21728.70888,21721.61841,20911.59943,19619.12136,19395.15231,19466.99052
Bahrain,,,,,,,,,,,,,,,,,,,,,11127.86976,10136.47546,9084.604128,9409.406767,9619.930978,8896.286407,8710.785821,9286.893169,9592.071454,9308.548015,9427.856079,10201.11682,10611.09237,11691.78916,11385.24365,11541.87605,11685.07226,11679.35936,11873.3611,12077.10624,12489.46775,12976.20687,13668.11547,14536.88826,14788.89008,14775.63326,14082.9146,13373.21994,12505.21254,11600.70738,11236.40498,
Bangladesh,254.8250791,262.7656347,269.5320729,260.9298963,281.2643859,277.2733108,275.3870641,261.3677868,277.1832628,272.977664,282.2545184,262.981578,224.2091077,230.0809801,249.85177,236.1923411,244.4665113,244.6789824,254.5800293,259.0515444,253.7822815,256.250629,255.3386127,258.5983764,264.8234246,266.086821,269.9559196,272.5475672,271.1057719,271.0917122,280.1736837,282.7790405,290.4082118,297.1685013,302.8187236,311.1665705,318.9204692,329.396045,339.8583201,349.6507414,363.6399273,375.9934601,385.8060432,399.3959566,417.9536838,436.6881834,459.8625139,483.970868,508.5557725,532.0769985,558.062385,588.3691778
