"GDP per employee, (constant 1990$)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Albania,6690,6668,6674,6692,6689,6676,6636,6583,6542,6546,6622,4777,4493,5021,5550,6415,7137,6416,7135,8251,8776,9517,11462,12045,12665,13401,
Algeria,12352,12150,12444,12580,12794,12977,12287,11701,10967,10853,10224,9687,9419,8826,8374,8344,8297,8040,8104,8012,7848,7745,7791,8025,8116,8253,
Angola,1865,1769,1630,1526,1487,1451,1287,1402,1582,1568,1584,1549,1432,1032,1032,1126,1318,1355,1328,1343,1343,1345,1508,1516,1624,1901,
Argentina,23024,20922,19485,20068,20060,18456,19979,19682,19027,17556,17310,18870,20576,21815,23169,21927,23030,25098,26132,25125,24612,23139,23177,23751,24304,24767,
Armenia,,,,,,,,,,12107,11319,10429,6407,6221,6803,7327,7977,8622,9497,10101,10869,12028,15820,18022,20385,22746,
Australia,33139,33724,33690,34300,35592,36274,35570,36534,36792,36825,36734,37634,39211,40616,41172,41253,42340,43772,45040,46079,45813,47011,47555,48391,48676,48499,48694
Austria,30256,30030,30989,32131,32220,32953,33231,33606,34555,35682,36542,37095,37286,37107,38085,38648,40173,40813,42209,43171,44419,44576,45256,45435,47216,47175,48184
Azerbaijan,,,,,,,,,,10294,9019,8886,6896,5313,4365,3869,3841,4056,4453,4863,5419,6576,6845,7802,8998,12394,
Bahrain,11211,10679,10701,10871,10808,10289,10086,9900,9854,9721,9353,9146,9462,10380,9957,9954,9960,9894,9990,10109,10349,10610,11034,11672,12102,12830,
Bangladesh,1934,1948,1920,1961,2013,2018,2050,2080,2085,2083,2166,2190,2251,2318,2372,2449,2521,2594,2662,2728,2821,2897,2952,3034,3185,3295,
Barbados,19625,19095,18679,19079,20325,20759,20896,21060,21292,20593,20323,20263,19842,20151,19056,18731,18345,18884,19403,18949,18804,18050,18456,18677,19207,19574,
Belarus,,,,,,,,,,14386,14248,14410,13127,12444,11356,10842,11257,12528,13443,13827,14630,15403,16310,17618,19651,21432,
Belgium,37742,37970,39011,39526,40527,40731,41078,41739,42881,43742,44588,45253,46005,45860,47539,47968,48360,49731,49917,50787,51731,51530,52380,52846,53864,53937,55031
Bolivia,8553,8442,8221,7675,7286,6955,6434,6382,6253,6195,6312,6639,6648,6772,7040,7178,7341,7357,7462,7245,7193,7215,7410,7031,7059,7097,
Bosnia and Herzegovina,,,,,,,,,,,8217,7857,14909,23122,25672,24560,16985,15197,17057,18211,18884,19614,21549,23002,24255,13947,
Brazil,15151,13968,13368,12873,12967,12821,13818,13860,13425,13546,12696,12729,12613,13150,13740,14129,14859,15254,15107,15018,14821,15185,15023,14889,14813,14707,
Bulgaria,12244,12483,12797,12469,12882,12481,12774,12760,12730,12802,12150,12793,12918,12932,13086,13294,12031,11824,12314,12862,12924,13551,14129,14412,14981,15497,16050
Burkina Faso,1545,1586,1596,1546,1533,1695,1916,1828,1927,1850,1776,1892,1845,1862,1838,1897,2059,2140,2237,2343,2308,2388,2416,2522,2536,2624,
Cambodia,2084,2040,2122,2202,2281,2360,2440,2337,2342,2347,2296,2394,2483,2503,2672,2297,2661,2845,2701,2664,3037,2765,2873,2885,2926,3258,
Cameroon,3148,3615,3793,3976,4184,4464,4667,4282,3909,3445,3265,3038,2844,2668,2520,2534,2602,2678,2750,2811,2873,2954,3006,3065,3137,3140,
Canada,35978,36046,36091,36876,38035,38969,38799,39247,39946,40013,39837,39697,40446,41197,42308,42735,43041,43942,44643,45939,47186,47457,47693,47442,48165,48891,49279
Chile,20859,21785,18846,17580,17863,16478,16640,17113,17673,18875,18988,19810,21570,22644,23512,25690,27002,28300,28698,27956,28758,28399,28499,28764,29933,30736,
China,2449,2523,2619,2772,3003,3202,3322,3567,3710,3708,3280,3457,3755,4078,4443,5069,5107,5309,5263,5549,5992,6547,7288,8314,9060,9920,10898
Colombia,12446,12453,12578,12864,13339,13876,14348,14639,14934,15296,14356,13560,14144,14133,13976,15461,15200,15995,15904,14832,14781,14367,14691,14378,14807,14992,
"Congo, Dem. Rep.",1526,1526,1494,1477,1517,1477,1485,1479,1457,1403,1324,1169,1004,837,773,777,750,682,655,615,562,536,539,553,574,594,
Costa Rica,14281,14409,13706,14183,13846,13783,13928,13829,13791,14159,14018,13979,14701,15144,15231,15351,15022,15099,15641,16348,15612,15518,15586,16082,16610,16494,
Cote d'Ivoire,5786,5706,5445,4981,4578,4621,4573,4324,4097,3950,3547,3425,3305,3196,3447,3594,3815,3927,3997,3972,3693,3615,3482,3362,3348,3335,
Croatia,,,,,,,,,,22764,21140,18107,17995,14683,15652,16949,16541,17121,18087,18543,18347,20258,20533,21495,21940,22709,23331
Cuba,8893,9380,9352,9345,9409,9316,9035,8693,8582,8386,8150,7120,6186,5166,5118,5165,5516,5633,5579,5834,6162,6168,6189,6304,6538,7261,
Cyprus,14438,14896,15496,16219,17211,17754,18438,19962,21676,23056,24360,24030,25832,25570,26735,29091,29529,30020,31016,31889,32966,33534,33572,32883,32997,33156,33856
Czech Rep.,,,,,,,,,,17059,17698,16221,15920,15961,16139,16974,17498,17337,17474,18337,19041,19418,19676,20666,21463,22554,23610
Denmark,30725,30926,31746,32519,33428,34047,34443,34364,35025,35263,35865,36553,37690,38215,39676,40504,41244,42056,42334,43008,44349,44325,44563,45304,46269,47363,47932
Dominican Rep.,8371,8396,8226,8290,8022,7560,7543,7857,7688,8433,7809,7683,7964,8444,8752,9271,9668,9950,9892,10179,10758,11149,11319,11319,11198,11985,
Ecuador,15004,14991,14552,13679,13669,13679,13534,12193,12971,12487,12352,12541,12557,12386,12388,12173,12515,12538,12789,12175,12057,11879,11844,12128,11979,12439,
Egypt,7607,7521,7899,8073,8432,8596,8470,8320,8336,8272,8628,9067,8991,9030,8986,9369,9659,10077,10675,10611,10945,11167,11140,11147,11286,11483,
Estonia,,,,,,,,,,23814,21914,20151,17953,17184,17502,19478,20828,23139,24645,25827,29071,31027,33113,34919,37737,40930,43232
Ethiopia,1422,1412,1395,1430,1359,1224,1269,1354,1333,1306,1242,1140,1041,1221,1248,1287,1414,1437,1348,1386,1407,1485,1467,1386,1522,1636,
Finland,26291,26444,26997,27624,28282,29198,29977,31040,32232,33745,33899,33683,34883,36758,38601,39433,40339,41423,42736,43311,44491,45017,45310,46074,47590,48299,50265
France,36653,37171,38059,38623,39280,40138,40939,41655,43094,44100,44897,45412,46491,46579,47459,48077,48414,49270,50217,50814,51480,51518,51725,52223,53376,54046,54708
Georgia,,,,,,,,,,18392,15637,12469,8720,6821,6263,6502,7041,7767,8545,8783,8426,8651,9320,10491,11299,12658,
Germany,,,,,,,,,,33493,34715,34481,35769,35958,36952,37566,38043,38766,39086,39339,39855,40173,40399,40711,41058,41487,42345
West Germany,34946,35016,35107,36242,37201,37673,38030,38319,39438,40277,41347,42397,42576,42540,43945,44948,45873,47185,,,,,,,,,
Ghana,2629,2535,2256,2062,2176,2214,2266,2308,2377,2430,2442,2503,2583,2637,2647,2676,2731,2795,2856,2908,2947,2993,3055,3141,3228,3334,
Greece,25776,24512,24813,24645,25231,25764,26087,25989,26708,27629,27279,28799,28583,27896,27922,28252,28561,29715,29414,30294,31206,32559,33123,33950,35194,36080,36786
Guatemala,14850,14526,13620,12897,12474,12461,12386,12092,11854,11624,11689,11774,11918,12023,11915,12215,12386,12545,12624,12736,12820,12697,12474,12368,12863,12830,
"Hong Kong, China",23740,24194,24756,25949,27625,27417,29436,32500,34463,35470,36815,38344,40967,42627,43918,45013,44468,45411,43480,45364,48331,48041,49380,51278,54320,57356,
Hungary,13283,13431,13987,13931,14351,14026,14293,14571,14940,14707,13988,13149,14066,15072,16031,16422,16722,17451,17985,18115,18820,19539,20377,20950,22118,23012,23747
Iceland,30513,30355,30220,29308,30073,29987,30922,31726,32615,33210,33571,33496,32366,32863,33777,32793,34353,36040,36623,36731,37624,38327,38776,39772,43029,44575,43582
India,2638,2722,2734,2875,2908,2947,2991,3040,3270,3398,3484,3518,3656,3774,3967,4208,4443,4544,4741,4993,5104,5262,5350,5678,6066,6536,6614
Indonesia,5350,4986,4912,5108,5254,5179,5011,5104,5239,5640,5945,6427,6707,7131,7404,8205,8270,8688,7353,7315,7926,8142,8415,8707,9056,9546,
Iran,14167,13232,14737,16038,15669,15403,13478,12815,11758,11878,12795,14167,14505,14013,13652,13635,14147,13912,13604,13172,13170,13000,13297,13626,13703,13687,
Iraq,24934,19747,18995,16688,16150,15401,14820,14772,11293,9968,9430,3361,4156,3976,3631,3179,3447,3195,3550,3714,3975,4177,4309,3249,4771,4462,
Ireland,25191,26105,26808,26981,28682,29697,29752,30954,32558,34491,35843,36655,37582,38016,38943,40689,42479,45674,45642,47468,49454,50933,52994,54383,54938,55179,55986
Israel,31379,32199,32249,32648,32178,32681,33759,35575,34950,34119,35485,34678,35455,35057,35869,37692,38622,38690,39149,38841,40738,39478,38407,38024,39130,40341,
Italy,34731,34923,35013,35325,36234,36903,37690,38770,39842,40712,40940,40805,41420,42187,43816,45145,45209,45919,46124,46508,47258,47154,46520,45849,46198,46093,46154
