"Total GNI, PPP (current international $)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13363780107,16780503844,18936445931,22408872945,27298432148,30703643998,28094524919,33416936846,36340804708,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,7371643812,7724703707,8337068006,8514918284,8685519126,9897639044,9281307285,6634427299,6148467101,7107574554,7951700526,9361086151,10453469509,9556552383,10916774577,12143604080,13447863253,14821516688,15395730913,16631426534,18015371678,19546091949,22082450569,23436223757,26355382355,27320511767,27475758370,28631731781
Algeria,,,,,,,,,,,,,,,,,,,,55490412049,62514618959,70510933423,77571181980,84781291946,90640899219,93483673796,95502819312,96729413912,104791797162,109668971184,110310420096,115090885516,116345031850,116945481768,122703724104,129708509322,134858839079,144417134612,150344137487,156584006310,167552956382,176720107727,192772365835,207922776648,224059955916,238702270156,259608445213,273273945203,287980297083,285929875050,301065051176
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,15478914849,16284542411,18386825926,17814316786,18707970472,18485725979,19063524445,13620695150,10575318288,8721660682,15063168043,18207518361,21408164953,22519295539,22281496888,24963458002,26632103876,32154725534,34704666868,39592021682,47417675783,58747469064,76032244781,84682885191,95248196267,98675465036,103737426639
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,243134945.3,275336180.3,289403110.2,321493538.5,367657597.4,404619966,403413690.2,453112663.9,523985539.2,556950651.3,593507944.2,652361429.4,678036907.7,745897975.3,806831879.2,790251528.6,835196634.9,933094462.6,992305085.6,1046143051,1062656074,1139304676,1163582260,1255827894,1375944020,1493170657,1747585893,1625363954,1677931712,1525501416,1426855699,1404083124
