Average age of billionaires,2004,2005,2006,2007
Abkhazia,0,0,0,0
Afghanistan,0,0,0,0
Akrotiri and Dhekelia,0,0,0,0
Albania,0,0,0,0
Algeria,0,0,0,0
American Samoa,0,0,0,0
Andorra,0,0,0,0
Angola,0,0,0,0
Anguilla,0,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,69,70,71,72
Armenia,0,0,0,0
Aruba,0,0,0,0
Australia,69.6,69.33333333,62.14285714,64.08333333
Austria,69.33333333,73.75,71.33333333,72.33333333
Azerbaijan,0,0,0,0
Bahamas,0,0,0,0
Bahrain,0,0,0,0
Bangladesh,0,0,0,0
Barbados,0,0,0,0
Belarus,0,0,0,0
Belgium,78,79,66.5,67.5
Belize,0,0,0,0
Benin,0,0,0,0
Bermuda,0,0,0,0
Bhutan,0,0,0,0
Bolivia,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
Botswana,0,0,0,0
Brazil,70.5,67.71428571,58,59.41176471
British Virgin Islands,0,0,0,0
Brunei,0,0,0,0
Bulgaria,0,0,0,0
Burkina Faso,0,0,0,0
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,65.5,63.9375,62.85,61.13636364
Cape Verde,0,0,0,0
Cayman Islands,0,0,0,0
Central African Rep.,0,0,0,0
Chad,0,0,0,0
Channel Islands,0,0,0,0
Chile,75,76,76,70.33333333
China,62,49,47.5,48.85
Christmas Island,0,0,0,0
Cocos Island,0,0,0,0
Colombia,75.5,76.5,77.5,78.5
Comoros,0,0,0,0
"Congo, Dem. Rep.",0,0,0,0
"Congo, Rep.",0,0,0,0
Cook Islands,0,0,0,0
Costa Rica,0,0,0,0
Cote d'Ivoire,0,0,0,0
Croatia,0,0,0,0
Cuba,0,0,0,0
Cyprus,0,0,0,58
Czech Rep.,0,0,41,42
Czechoslovakia,0,0,0,0
Denmark,67,68,75,76
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Rep.,0,0,0,0
East Germany,0,0,0,0
Ecuador,0,0,0,0
Egypt,0,75,76,59.66666667
El Salvador,0,0,0,0
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Eritrea and Ethiopia,0,0,0,0
Estonia,0,0,0,0
Ethiopia,0,0,0,0
Faeroe Islands,0,0,0,0
Falkland Islands (Malvinas),0,0,0,0
Fiji,0,0,0,0
Finland,0,0,0,0
France,67,66.69230769,67.53846154,69.92307692
French Guiana,0,0,0,0
French Polynesia,0,0,0,0
Gabon,0,0,0,0
Gambia,0,0,0,0
Georgia,0,0,0,0
Germany,66.19148936,65.12962963,66.1509434,66.24528302
Ghana,0,0,0,0
Gibraltar,0,0,0,0
Greece,57,58,59,60
Greenland,0,0,0,0
Grenada,0,0,0,0
Guadeloupe,0,0,0,0
Guam,0,0,0,0
Guatemala,0,0,0,0
Guernsey,0,0,0,0
Guinea,0,0,0,0
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,0
Haiti,0,0,0,0
Holy See,0,0,0,0
Honduras,0,0,0,0
"Hong Kong, China",66.08333333,67.08333333,66.93333333,65
Hungary,0,0,0,0
Iceland,0,38,39,53
India,53.55555556,56.54545455,54.90909091,56.29411765
Indonesia,56,60.5,61.5,62.5
Iran,0,0,0,0
Iraq,0,0,0,0
Ireland,63.5,62.33333333,61.5,62.5
Isle of Man,0,0,0,0
Israel,56.75,62,63.5,62.88888889
Italy,66.46153846,67.2,64.35714286,66
Jamaica,0,0,0,0
Japan,66.31818182,65.54166667,64.42307692,64.82608696
Jersey,0,0,0,0
Jordan,0,0,0,0
Kazakhstan,0,50.66666667,48.5,43.8
Kenya,0,0,0,0
Kiribati,0,0,0,0
"Korea, Dem. Rep.",0,0,0,0
"Korea, Rep.",71.5,70.66666667,69.25,52.7
"Korea, United",0,0,0,0
Kosovo,0,0,0,0
Kuwait,60,61,55.5,61.5
Kyrgyzstan,0,0,0,0
Laos,0,0,0,0
Latvia,0,0,0,0
Lebanon,60,0,23.5,38.5
Lesotho,0,0,0,0
Liberia,0,0,0,0
Libya,0,0,0,0
Liechtenstein,57,58,0,0
Lithuania,0,0,0,0
Luxembourg,0,0,0,0
"Macao, China",0,0,0,0
"Macedonia, FYR",0,0,0,0
Madagascar,0,0,0,0
Malawi,0,0,0,0
Malaysia,72.6,73.5,73.75,72.55555556
Maldives,0,0,0,0
Mali,0,0,0,0
Malta,0,0,0,0
Marshall Islands,0,0,0,0
Martinique,0,0,0,0
Mauritania,0,0,0,0
Mauritius,0,0,0,0
Mayotte,0,0,0,0
Mexico,63,60.9,61.9,62.8
"Micronesia, Fed. Sts.",0,0,0,0
Moldova,0,0,0,0
Monaco,0,67,68,69
Mongolia,0,0,0,0
Montenegro,0,0,0,0
Montserrat,0,0,0,0
Morocco,0,0,0,0
