Income share held by lowest 20%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,8.69,,,,,9.02,,,7.78,,
Algeria,,,,,,,,,,,6.54,,,,,,,6.93,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,4.86,,,,,,4.56,,,,3.9,,3.53,,,,3.14,,,3.39,,
Armenia,,,,,,,,,,,,,,,,,,,5.42,,,7.6,,,7.93,8.57,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,8.561137092,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,6.91,,,,,,7.38,,,,13.29,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,9.96,,,,9.33,,,,9.26,,,,,9.36,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,10.49,,,,,10.78,,,,9.73,8.37,,8.45,,8.45,,,8.8,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,8.503571296,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,6.91,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,,,,
Bolivia,,,,,,,,,,,,,,5.5,,,,,,2.2,,1.33,,,1.6,,,1.8,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,9.13,,,6.89,,,
Botswana,,,,,,,,,3.6,,,,,,,,3.03,3.13,,,,,,,,,,,,
Brazil,,,,2.89,2.75,2.83,2.93,2.71,2.83,2.52,2.33,2.17,2.36,,2.66,2.57,,2.64,2.54,2.53,2.64,2.74,,2.7,2.82,2.85,,2.88,,3.02
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,10.42,,,,,10.23,,,10.02,,,,6.49,,8.7,,,,
Burkina Faso,,,,,,,,,,,,,,,,,5.12,,,,6.06,,,,,6.96,,,,
Burundi,,,,,,,,,,,,,,,7.94,,,,,,5.14,,,,,,,,8.96,
Cambodia,,,,,,,,,,,,,,,,,8.04,,,,,,,,,,6.89,,,7.127396294
Cameroon,,,,,,,,,,,,,,,,,,,5.73,,,,,5.62,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,7.204860394,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,4.54,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,1.99,,,,,,,,,,5.21,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,3.47,,,3.44,,,,3.46,,3.48,,3.34,,3.54,,,3.69,,,4.1,
