Poverty headcount ratio at $2 a day (PPP) (% of population),1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,6.5,,,,,8.76,,5.57,7.85,,,4.25,,
Algeria,,,,,,,,,,,24.55,,,,,,,23.61,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,70.21,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,0,0.16,,,,2.51,4,4.39,4.34,7.06,7.9,7.49,8,8.52,10.53,14.91,23.05,17.92,12.35,9.41,7.37,5.46,3.66,3.44,1.87
Armenia,,,,,,,,,,,,,,,,,,,38.87,,,48.81,,50.73,46.74,43.45,31.84,23.29,18.78,20.51,12.43,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,39.08,,,,,,27.11,,,,,,,2.81,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,90.46,,87.42,,,90.69,,,92.99,,,,85.54,,,,84.4,,,,,80.32,,,,,76.54
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,0.19,,,,,0.14,,0.84,,,3.93,,1.89,1.52,2.5,,0.64,0.49,0.25,0.25,0.19,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,19.87,20.52,23.64,23.84,27.95,26.26,22,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,75.32,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,49.52,,,,29.76,,,
Bolivia,,,,,,,,,,,,,,19.21,,21.27,,,,27.14,,33.48,37.88,31.64,32.91,,,27.96,25.34,24.66,24.89,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,0.34,,,0.19,,,
Botswana,,,,,,,,,54.74,,,,,,,,49.4,,,,,,,,,,,,,,,,
Brazil,,,,26.76,26.78,31.64,30.64,27.27,20.77,25.5,26.63,25.06,30.03,,30.29,29.21,,20.81,21.76,21.51,20.52,21.32,,21.71,20.23,20.6,18.64,16.63,14.42,13.19,11.32,10.82,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,0.07,,,0,,0.43,4.34,,2.35,,,,7.79,,1.69,,,,0.41,,,
Burkina Faso,,,,,,,,,,,,,,,,,85.83,,,,87.6,,,,,81.21,,,,,,72.56,
Burundi,,,,,,,,,,,,,,,95.18,,,,,,95.41,,,,,,,,93.45,,,,
Cambodia,,,,,,,,,,,,,,,,,75.24,,,,,,,,,,66.09,,,60.13,53.27,,
Cameroon,,,,,,,,,,,,,,,,,,,51.78,,,,,32.45,,,,,,30.36,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,40.85,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,90.97,,,,,,,,,,,81.9,,,,,80.09,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,83.28,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,18.75,,,13.97,,9.25,,8.91,,6.52,,6.15,,5.6,,,4.94,,,3.22,,,2.72,
China,,,,97.81,,,92.91,,,83.68,,,84.64,,82.19,78.6,77.82,74.13,65.06,70.78,69.57,61.44,,,51.15,,,36.94,,,29.79,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,26.92,,,,,,,,20.69,18.19,,17.29,14.02,,,,22.15,,,27.19,31.68,31.42,32.73,32.71,31.68,23.54,20.91,17.66,20.89,18.46,15.82
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,64.98,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.15,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4,,,,,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,35.7,,,,,20.95,,,17.59,15.27,18.96,15.13,12.39,10.54,11.24,12.89,10.04,8.13,10.25,10.87,11.02,10.86,10.24,9.67,8.08,8.09,4.98,4.99,5.97,
Cote d'Ivoire,,,,,,,,23.9,24.62,27.38,35.11,,,,,43.51,,47.95,,,49.16,,,,46.78,,,,,,46.34,,
Croatia,,,,,,,,,,,0.06,,,,,,,,,,0.11,0.33,0.14,0.15,,,0.09,,,,0.09,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,0,,,,,0.02,,,0.19,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,30.43,,,27.22,,,14.62,,,,11.15,10.92,,,10.98,10.38,12.95,15.62,20.24,14.94,11.95,11.47,11.08,9.97,9.88
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,23.03,,,,,,,26.33,20.39,,,27.17,39.24,37.71,,,23.58,,18.52,13.73,14.43,13.02,13.49,10.59
Egypt,,,,,,,,,,,,,,27.64,,,,,26.31,,,,19.37,,,,,18.46,,,15.43,,
El Salvador,,,,,,,,,,,,24.74,,29.3,,,,19.55,21.69,,26.56,22.68,,23.02,23.7,21.94,19.21,20.49,13.78,13.4,14.03,16.94,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,0.09,,,,,2.81,,1.82,,,0.75,,2.59,2.46,2.55,2.6,1.54,,,,,,
Ethiopia,,,,,89.94,,,,,,,,,,,,,84.59,,,,,86.41,,,,,77.63,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,48.66,,,,,,22.9,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.59,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,81.23,,,,,55.93,,,,,,,
