"Agriculture, value added (% of GDP)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.15847923,46.01384308,41.59410333,39.48041625,32.58905844,34.49483268,28.13448784,31.17755035,29.91532348,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,33.60020622,32.40029857,31.69971064,34.10009753,33.09994072,34.6000124,34.00000012,33.20002479,31.49988184,32.30019749,35.90079022,39.29529522,51.64187024,54.64097648,53.62098062,55.81214471,33.02560989,33.62214704,32.60271937,29.50918524,29.13058321,26.95393762,26.31162202,23.99620713,23.49999893,22.8,22,21.11725576,20.30465525,20.40193543,20.16002904,20.04532046
Algeria,,,,,12.87621342,9.137255611,10.33066569,10.85337364,9.030164853,9.205465831,9.569175114,8.420845606,7.039760173,7.36662914,10.41840822,9.92688073,8.470140695,8.805621482,9.016628593,8.509234372,9.235127691,8.389786561,7.746150486,7.530864287,8.995894092,10.17942175,12.87465983,12.16765644,13.03901512,11.35826744,10.167058,12.12684641,12.09707289,10.05843691,10.49781797,11.76669856,9.482320157,12.53328136,12.20107884,8.879883556,10.40755984,10.00359807,10.49123703,10.18849348,8.221656771,7.988788539,8.025345596,6.920099503,6.915570641,6.915570641,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,13.54870728,14.38840516,12.85722713,15.91700513,19.14930445,17.93801129,24.02603715,10.13807452,11.55773601,6.646036025,7.312278655,7.026869166,9.002017942,13.03375828,6.290256828,5.664689564,8.156377022,7.853170077,8.330554995,8.626682901,8.489993816,7.664511109,7.860272469,6.642216007,10.2020848,9.8421845,10.05888754
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,10.96339235,10.27319937,8.23177742,7.116745742,6.773101113,6.211767674,6.121703693,4.78374043,4.939139905,4.457444945,4.519128188,4.183445978,3.990074633,4.177577683,4.156458402,4.230733607,4.095350891,3.725817591,3.879533452,3.853373292,4.106819974,3.966907085,3.944996996,1.846548136,1.850579639,1.953522869,1.98624119,1.8721828,2.02437833,1.910026057,1.939081977,1.838371975,1.771181271,2.000780579,
Argentina,,,,,12.90416299,10.27858629,9.980386321,9.721276988,9.185892727,9.637560964,10.86594775,10.98486987,11.9525478,10.23083775,6.583910492,8.152170712,8.087142114,7.504427478,7.796277359,6.353505005,6.475522961,9.596156046,8.658324961,8.345976837,7.634307257,7.80040264,8.094358464,8.977868218,9.616065096,8.123676208,6.716491769,5.9907871,5.492024807,5.440196477,5.69811205,5.997435207,5.599945444,5.617611878,4.735356491,4.97122125,4.814449914,10.68302098,10.98683215,10.41291605,9.401029227,8.39295664,9.394874713,9.837195753,7.503740462,10.00347112,9.092057417
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37626972,24.97346072,31.04272063,51.36559092,44.8709973,42.25531295,36.82596272,31.96867743,33.99572797,29.46402128,25.54787016,28.32815471,25.96189882,23.68209805,24.6622,20.89251738,20.45109791,20.28206022,18.39812089,18.9138923,19.57784171,20.65937625
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,7.033741759,8.550115912,9.5909003,7.231729841,6.316059785,6.152599829,5.454672039,7.758435544,7.877186637,6.692599806,6.100922656,4.435801979,6.133214017,5.673843039,5.091244733,4.958246096,5.208420676,5.364689773,4.923955099,3.631460914,3.52036822,3.71007115,3.799483263,3.416733382,3.819476614,3.666766557,3.43677929,3.450221078,3.512803899,3.968649452,4.438794648,3.270656072,3.48012337,3.265036947,3.092147273,2.367258175,2.436576018,2.365472851,2.284058842,
Austria,,,,,,,,,,7.830930541,6.850302894,6.735601934,7.250833366,6.673793376,6.250558976,6.179420866,5.342608806,5.320015698,5.237850558,5.299017394,4.867427178,4.415239259,4.137734861,4.381639043,3.837882153,3.938411321,3.89741281,3.750399723,3.681055163,3.710347047,3.445843993,3.016315867,2.701691243,2.869389233,2.625772677,2.363420773,2.330417407,2.180247134,2.107525401,2.026286374,2.043741742,1.93525545,1.850212284,1.853935363,1.605755234,1.63547887,1.746160423,1.712201053,1.528135877,1.531411413,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.03563158,32.30848574,28.50490407,28.48862115,32.99219397,27.28842832,27.5296626,21.73458154,18.92896334,19.1560716,17.14337347,16.10301355,15.17167667,13.46151481,11.84267051,9.895473393,7.500918359,7.002185706,5.970850713,6.648044011,5.75301236,5.758272297
