"Industry, value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.72267892,18.65084559,23.35885232,25.27568655,28.20472058,25.81846799,25.97837644,21.21479275,22.16705329,
Albania,,,,,,,,,,,,,,,,,,,,,44.99999934,43.00006199,43.80017021,43.30004945,43.99999888,43.30012625,44.20011468,45.80015161,46.29997516,44.80006319,48.20079792,42.69690542,23.32055885,22.90170685,21.73068403,22.49794166,20.16527064,18.68284224,16.02778772,16.77636475,19.00922719,19.78937873,18.51702319,21.08591128,21.19999903,21.5,20.29879931,19.66477259,19.08644218,19.35880932,19.30973613,
Algeria,,,,,,37.72877963,41.10558136,42.38588921,42.26376119,42.53146656,45.53072746,41.31525094,48.12796453,52.98955534,57.6976232,50.21293835,54.1002319,55.23090163,53.68734573,54.52071429,57.6517114,57.0538226,56.12298451,55.80961119,55.80246775,53.56476463,48.11424418,46.42370653,45.29246234,45.53388376,48.16929122,53.15844693,49.71593621,48.63838279,48.96274558,50.40057382,51.23046342,52.30708732,46.14701934,48.00040618,58.60671743,53.45276384,53.08863919,54.81774003,56.35439116,61.31043257,62.29710371,61.28300683,62.11857814,62.12346203,62.12346203,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,43.26666133,34.10633739,41.28418269,39.37993245,39.01472255,40.84694795,33.33084631,53.2135408,51.20833918,66.97871268,66.25684236,67.82067594,60.75774139,55.68094025,72.71737231,72.12295494,64.88381154,68.1866561,67.39652238,66.1012866,72.59635118,69.66618244,66.56609877,67.48678003,59.04620368,62.45328462,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,15.28574129,13.83495146,15.78293861,18.11464572,18.46361186,14.60869017,14.24278951,15.40463563,16.56967392,19.09220933,20.31290975,20.86900948,22.0384615,20.10116538,20.86713934,19.38803777,18.19433499,18.0328872,18.35300578,17.87093055,18.16986654,18.30717013,19.37120352,16.06275947,14.7774791,14.72494599,14.98065938,15.18209223,16.73312205,21.33089172,20.96776038,22.28907009,22.00619971,18.83623342,
Argentina,,,,,,48.41447641,49.60498849,47.38341438,47.03606529,47.38655689,42.27878964,45.95500489,45.58164895,43.35233173,43.59280262,50.14132368,50.89369683,47.80613219,46.09764801,44.0281238,41.21966567,40.33822671,41.10284864,41.55630651,39.70818793,39.27615457,37.38043489,37.82867527,38.48661108,42.34781307,36.02188135,32.72252824,30.68395489,29.22914357,28.63654573,28.00490132,28.42469524,29.14641606,28.56773891,27.82436444,27.60868677,26.6019185,31.9839571,34.72699545,35.61201328,35.60909432,35.64075771,33.73620181,32.27771651,31.79877569,30.93413152,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.95591096,49.24363057,39.40064643,26.94937729,36.97839323,31.98666004,32.58582676,33.19982866,30.75511287,32.19677553,38.98253935,36.40691628,38.97561282,41.98728938,41.12064739,45.29817774,44.65755341,43.90880828,43.54753147,35.80565798,35.96184246,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,39.10026074,38.67500049,37.19316602,38.6885463,39.0218028,38.59549244,37.93999955,37.46810904,37.83941494,39.10979931,37.82810005,36.7141587,36.75865508,37.32788531,37.04769504,34.56945372,33.05259502,31.36004254,31.2035122,30.11800513,29.3924475,29.11444534,29.07166778,28.9689027,28.36149317,27.57766457,27.70147824,27.09424623,26.90927928,26.11845132,25.80633637,26.36354687,26.13231595,26.77296227,28.00309474,20.28062719,19.97672933,21.26041364,19.80538997,
Austria,,,,,,,,,,,38.5926321,38.80559752,39.11613181,39.97707412,39.98379512,37.96700171,37.24029959,36.87170046,36.99668714,35.90337877,35.93582403,35.53321513,34.65336034,34.18993791,33.16550493,33.4140784,33.07941074,32.46966978,32.3291706,32.01657658,32.1759592,32.01919732,31.3977839,30.51693148,30.5840345,30.72519863,30.73642878,30.75345014,30.64967713,30.61562614,30.62766874,30.00640954,29.29661257,29.25311241,29.1725985,29.26058663,29.37199311,29.86135522,30.28843,29.11782393,29.08003805,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.89758721,31.38413933,39.96605046,33.78400268,28.20461393,33.59849639,39.07732622,39.94543105,36.4568366,40.7104443,45.33330321,47.17819498,50.17843757,52.58399578,54.71912668,63.59536973,68.71316337,68.49445155,70.22238482,61.08302126,64.71989971,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.89636239,16.40828127,18.38714389,18.20466485,15.09337074,17.21272111,16.24474324,16.5893333,18.05933889,17.90183226,16.64235426,17.54747592,13.61407162,15.09007716,15.52675002,14.90019768,15.39912617,17.01189584,13.41769663,14.05193115,14.44350777,,
Bahrain,,,,,,,,,,,,,,,,,,,,,59.08816604,57.80349394,52.88151269,48.19139846,49.00919194,48.4524035,43.52361191,44.02583505,42.01837091,42.48868579,45.73457948,39.86437914,37.21149664,37.9449797,37.42496953,39.94764361,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,20.63328548,20.89099284,21.08268001,21.90320202,21.15112567,21.44539769,21.52189131,20.77075232,21.18473793,21.06629023,21.46699714,21.73823146,22.47782987,23.81540572,24.32646153,24.5598478,24.87186158,25.14462038,25.81782773,25.15663856,25.2849817,25.9408194,26.41135405,26.26223424,26.60444978,27.22379502,27.90693551,28.37757049,28.51401415,28.65747369,28.45636906,
Barbados,19.70149254,21.63661581,22.17012726,20.03504673,21.30952381,21.19503946,20.62072593,19.42244993,19.75757576,20.16099524,19.53735542,19.62274775,19.36218679,18.48065745,19.64397252,18.56979732,19.53045685,20.39096804,21.34295002,21.07859532,22.54704035,22.84022889,21.76886077,23.18993168,23.77325823,20.64569324,19.57950665,18.68822306,19.19703196,18.52488315,19.65944135,19.55805141,19.77041759,19.10246577,19.33806079,20.08293708,19.71782166,20.44969039,21.61783608,21.55506575,16.32788245,15.19463053,16.13620483,16.11199255,16.40005174,18.38262288,23.09333147,23.18016256,23.36309398,23.21041278,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0971564,49.94497608,47.77979775,38.40843928,35.97697156,36.96838618,38.58655753,41.17400794,40.60407433,39.20190914,39.17019996,37.24554899,36.98844,38.68752545,40.86908614,41.75954987,42.38290125,42.17464612,44.26013338,42.2751097,43.91188409,
Belgium,,,,,,,,,,,42.53422452,40.83288419,40.29933359,40.84285649,41.57691944,38.42441378,38.52779468,37.9093346,36.91079999,36.67640929,35.36022446,33.08436768,33.03267676,32.78453788,32.15555836,32.8592019,31.91614686,30.82886551,31.57282257,31.90461786,31.36190133,29.43681277,28.90363561,27.83603598,27.7641848,28.36019326,28.06530623,28.38460927,27.76869497,27.05317785,26.99499763,26.07165631,25.46718434,24.71487302,24.52476125,24.0309375,24.00039179,23.71669361,23.12558772,21.63575477,21.79063136,
Belize,,,,,,,,,,,,,,,,,,,24.65263994,21.92127122,30.87544066,27.45443857,24.29252782,24.24242424,26.9986541,24.96722028,24.54175153,27.60851419,28.45849802,26.47515528,22.19437483,21.84152185,21.67798618,21.88197135,20.56649083,20.64784512,21.07562881,20.31831506,20.25277981,19.1934061,21.19245621,20.55739756,19.76655009,17.5254011,17.69493422,17.41629087,20.53762236,21.48349728,22.75150182,,,
Benin,10.22697472,9.813301807,9.791309173,11.46941962,10.7934374,7.981849367,11.30661292,11.41306257,10.86881395,11.06306539,11.70374942,13.4808043,13.88812524,14.29612579,17.08422497,16.1643291,12.91003443,12.55698706,14.00536457,13.34334545,12.28166971,12.91040444,15.12241927,15.35697474,17.06945218,16.70242515,12.10784453,12.36556601,13.39467173,12.76801615,13.22892638,12.67568494,13.26083268,13.4081976,14.72065301,14.56624041,13.72451978,14.46579054,13.50342726,13.69480925,13.88438983,14.436787,13.65053406,13.71439625,13.34299878,13.41587442,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.761702544,8.530457194,6.839864412,9.179596286,11.69023937,10.85290765,10.06525229,10.04070403,10.10523046,10.44752332,9.41849903,8.712378818,9.483843923,8.799395309,7.790854079,
Bhutan,,,,,,,,,,,,,,,,,,,,,,14.56102155,18.07047461,20.03509151,21.18592646,20.3208924,19.56938329,23.09711713,24.2846101,23.30952731,24.0596551,24.99840295,26.41521097,28.25344628,29.33160905,31.59115099,33.33480429,33.21499795,32.70725048,33.78555867,35.26932832,36.53832814,37.89110126,38.71525891,38.32955993,37.2820087,38.9576342,45.34219919,44.477192,43.1718824,,
Bolivia,,,,,,,,,,,33.02177938,31.32852395,34.94104365,36.70058741,37.67648146,32.73217157,32.96238215,33.9476547,34.22453274,33.54679634,32.43111878,32.6832154,34.71979726,35.69887941,33.3202876,34.84748551,35.14011741,33.1995072,33.98214984,34.35606149,34.76544018,33.65207451,33.55853451,31.91408635,31.58567407,33.11293826,32.27631714,30.55038627,30.36542332,28.64847721,29.79236381,29.17885883,29.29538971,29.39150464,30.9742144,32.02816186,35.08150489,36.38928428,38.35657255,36.24450711,37.2904468,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.85528903,25.7,31.30328867,30.71574146,33.41069377,29.6648609,23.02329408,23.13782488,21.68100916,23.39386857,24.9095356,25.09089214,24.68576418,28.5870169,29.63494272,28.25870326,28.00961956,
Botswana,13.37414196,12.28131341,11.31289372,10.52099132,13.44425522,19.20731707,14.36314363,,,,,,,,,33.63617592,34.61085897,35.76187717,41.79803518,48.68690314,50.73957238,47.28428351,49.1953898,53.96078776,57.32056097,61.20503369,62.33221649,62.24761843,65.52856205,64.94983961,61.01992565,58.93574713,55.79479342,53.04756409,51.8829024,50.88529411,53.19068919,54.85128207,54.25826261,54.61049267,52.64947099,56.72486535,54.85503438,49.51568355,50.95301916,50.55261778,54.278117,53.15936658,52.72829117,40.20705147,45.12090698,
Brazil,37.06667523,41.74523759,33.3290521,38.60157302,34.95284475,33.57941848,35.12434616,33.85067637,36.45972368,37.36154946,38.30063077,38.20370274,38.43729015,39.00407345,40.06270542,40.17375706,39.71227907,38.64457919,40.13391181,40.63710902,43.8252223,43.71939624,45.58770651,43.95191403,45.71468926,45.3126038,45.16037824,45.88013003,43.64606391,42.6709727,38.69,36.16,38.7,41.61,40,27.52572832,25.98401259,26.12912625,25.65834676,25.94569311,27.73186068,26.92367519,27.05185413,27.84593907,30.11378197,29.27480645,28.7846659,27.8111666,27.90527229,25.41692314,26.82141212,
Brunei,,,,,,,,,,,,,,,90.51295772,89.51775917,90.46955434,84.76861929,80.60789998,84.20396582,84.82413584,81.84725459,79.68878418,77.31508266,73.47090537,71.81094643,58.8052029,59.50800738,52.26416488,59.80267725,61.55833412,59.57272478,60.39907733,57.23513371,53.82837194,54.27100939,56.30412353,56.04534638,51.53385162,55.18459138,63.66977302,60.04244722,60.66201888,64.14754646,67.85316921,71.56033912,73.17593741,71.30520522,74.11302144,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,54.49026794,53.23326282,57.86750714,60.38316874,60.04939895,62.82205052,65.11714581,59.49045476,58.11809059,57.61999846,49.19675267,43.76105314,43.49299691,37.18441364,34.77200478,27.8238901,23.77948716,25.98206206,27.29724991,25.12045065,25.88714082,26.96364376,26.93987365,27.74515457,27.27025632,28.98561383,30.56955653,32.24701912,30.41195071,31.33889046,31.38582608,
Burkina Faso,20.58897765,20.56568508,20.1952705,21.4768934,21.04605568,19.62578033,19.81342937,22.61355214,23.26678258,22.99173633,22.86589014,25.3517735,24.25242062,27.46564738,24.05807357,27.24703367,28.08731202,22.75200392,22.73586026,21.28537567,20.48204115,19.34262628,19.45755365,20.80778056,20.39567397,19.76650426,21.48463386,23.11779439,22.3023034,22.83628707,20.97471212,19.95923673,20.96860639,20.3901468,21.80291587,21.2761814,19.84841001,21.21541472,19.14471543,25.19151126,24.41084224,19.25128893,21.16911547,21.64682469,23.16493404,22.65275796,22.35988256,,,,,
Burundi,,,,,,,,,,,10.16731737,10.43525761,11.60238319,12.4785707,13.07920077,13.4790181,12.79166714,13.99331464,16.09637379,16.57146969,12.61903207,13.41068492,15.44781541,15.50036846,13.84019587,13.00196523,13.51567132,17.12691717,16.66728362,19.66485128,18.96323978,19.59611622,21.17272815,22.44799668,22.47806041,19.24821007,12.63033178,15.84433225,16.84251479,17.8512825,18.79410357,19.02605177,18.59350938,18.92341844,18.92341844,20.01218028,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98854398,14.36389472,14.82877277,15.705899,17.08258476,17.40654963,19.11291594,23.0264887,23.48629574,25.61223127,26.25859168,27.1896035,26.36896366,27.57344197,26.77948595,23.80877687,23.05857345,23.25194953,
Cameroon,,,,,,20.30074658,20.65997158,20.1042127,19.49806479,19.43376787,18.63608241,19.23076617,18.85593311,18.6172663,17.87021281,18.242692,18.96028908,18.39328555,15.95704265,20.64172733,25.59601557,29.8671047,32.09906523,34.72133446,37.47481739,35.95131244,33.58881868,30.05732392,29.17310325,29.65081147,29.45075851,29.5195838,25.76263504,32.43185928,32.1570743,31.34916488,30.8519096,30.56021988,29.21819536,32.08483755,36.01649667,32.60521916,32.01627652,30.65881166,30.67039288,30.36328794,31.39274325,30.64400252,,,,
Canada,,,,,,38.84891602,37.87252489,37.35538291,37.04877186,36.55245715,35.07909185,35.06662537,35.01868247,36.2478746,37.07923507,35.63675735,35.33273007,35.82898349,35.55652971,36.78671022,36.88503129,35.75939832,33.99314808,34.49838803,35.40614956,35.10176305,32.69438501,33.2038779,33.40030657,32.67760786,31.30689701,29.24042434,28.61815246,28.86923075,29.98745365,30.72863103,30.90979171,30.86280531,30.00966293,31.20071145,33.20622444,31.88319445,30.96580542,31.24579751,31.61841767,32.36142793,31.88636936,31.54546528,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,17.54818971,18.63272736,19.22722947,20.68716699,21.36884527,21.42111725,21.86612026,20.4631883,19.8075574,19.48266534,19.2839146,17.77486556,17.02309868,18.38956812,15.32435409,13.80429595,14.72157027,14.69289597,15.03778613,15.69498349,16.03706548,15.66684071,16.8437114,16.48118493,16.20687422,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,15.51723851,21.76307989,24.13793634,27.42718447,27.75228721,26.06837607,26.92308237,27.27273255,26.80608365,22.50372578,22.91395888,20.256923,19.69045051,22.30828642,22.54902119,20.06309275,18.90826918,13.09319508,14.67764738,15,15.92048164,13.58506332,15.3632162,16.72788876,18.8181175,19.66243798,20.82213907,20.71996698,21.54408784,22.01338345,21.10371976,19.34881361,19.21191211,18.8738269,18.90867128,15.81925539,15.61719993,15.26640075,15.65996565,14.02076147,14.14401192,14.22037366,14.22219321,14.19231665,14.80913527,,
Chad,9.474079466,10.06245487,9.181805551,9.799000074,10.37090719,11.76054957,13.05460461,13.46121654,14.52917583,13.63959704,13.45010198,13.4377682,13.50320593,15.40032708,15.72005392,15.49358506,15.43246189,13.5524027,13.05841139,10.39916958,8.911748672,11.73472376,12.38761144,13.27676572,16.03337489,13.06567475,14.99219416,14.55626317,13.50816111,16.67091418,17.71719193,13.26225851,13.43479007,14.08050174,11.92297381,13.63967332,12.92970631,14.23715866,13.47019398,12.75290775,11.34404744,13.57501372,14.83933895,24.36414472,47.12495166,60.43842424,60.59258257,54.26454798,48.84215004,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,35.38510733,36.28420306,37.40560762,38.18477009,41.73179532,39.89071038,40.15444015,40.59701493,41.63090129,43.23529412,41.95876289,38.9197776,38.00943801,41.24254124,49.29244277,38.40752198,40.47444055,36.72909682,36.8206945,37.86975745,37.44338762,36.55183567,34.72822669,39.89343547,40.45535851,37.58630905,36.99310469,37.97814793,43.08719941,41.7642922,41.46296265,40.08338946,38.05220824,35.7755493,35.55431376,35.29014503,40.222471,40.00946244,37.45867207,37.33916422,38.39598342,39.14398116,39.50405421,37.79989505,41.2015118,43.36102809,48.64698799,48.87722018,45.4819935,43.20309838,42.93535277,
China,44.88703825,32.59255117,31.99802336,33.15090402,35.33365452,35.09119466,37.98180078,33.98162385,31.18217152,35.55910918,40.49362917,42.15298621,43.05627082,43.11073558,42.72554559,45.72448293,45.42582651,47.13139018,47.87665761,47.10037847,48.22245598,46.10965572,44.76462493,44.37922405,43.08624911,42.88598136,43.72372211,43.55066005,43.78972204,42.83116594,41.34070477,41.78867393,43.45460221,46.56830975,46.56924887,47.17511847,47.53669043,47.53903233,46.21217507,45.7575521,45.91665049,45.15245341,44.78982432,45.96895383,46.22533667,47.36636001,47.94848958,47.33879656,47.44646307,46.24154486,46.75475197,
Colombia,,,,,,26.91570062,26.36909864,26.75466734,26.60210305,26.93674523,28.29855488,28.3613914,29.30856553,31.14053859,30.61250969,29.8314679,31.48443015,30.94015461,30.64027047,30.25690451,32.48826212,31.48382303,31.76943921,32.28540037,34.00919328,35.54244118,37.3179466,36.00404199,37.58281441,38.23385075,37.88955007,37.14567793,34.95009446,36.00066737,31.43314948,31.69267989,30.76418536,29.36734269,28.37174901,28.60015036,29.46932648,29.55972156,29.69258213,31.31802521,32.25300679,32.64854333,33.92861865,33.80569396,34.54144982,34.10291658,36.22588631,
Comoros,,,,,,,,,,,,,,,,,,,,,13.17161002,12.63083281,14.10911888,14.20839639,15.31894216,14.0699147,12.94828889,10.59032632,9.380864768,8.309542781,8.264535652,9.366652305,11.44085838,11.95867724,13.61714781,11.94304935,11.9425095,11.94127911,11.94296087,11.94275262,11.51973651,11.71781573,11.58892221,12.71904237,12.198484,10.99474308,11.81343278,11.85705599,11.97952903,12.10950073,,
"Congo, Dem. Rep.",,,,,,32.25492796,30.40531653,30.35076168,34.04171384,38.73372465,45.28173747,41.60627958,38.03615936,42.90565437,43.2318028,37.22371116,30.6730097,25.87310979,25.11046602,27.1350807,34.99829062,33.72188463,27.88936456,26.99206223,29.42069828,31.04627579,26.4134646,28.27073318,30.18342523,31.57768949,28.99058252,17.57049467,16.48298397,16.50747588,15.99999991,17.00000026,32.63564957,21.53507084,20.87741322,18.83495183,20.29641764,20.16721075,21.49927632,21.49924154,24.45105062,26.93292822,27.73236677,28.40791779,27.95945277,24.04352994,,
"Congo, Rep.",17.02786224,18.01075128,17.89215425,17.77251087,17.80219538,18.93003931,19.74169742,19.8630171,19.2926045,19.44848734,23.94736842,21.87146949,21.25603865,22.10264901,25.40809084,32.42092457,37.60399334,31.64893617,29.50075643,36.39216471,46.61487236,50.89532952,52.56338028,54.32932933,56.58841941,53.91429749,32.64598989,35.78825359,29.91608649,37.97901008,40.64304462,36.03486406,35.51004637,35.29798711,45.48434383,44.86839614,51.84273294,56.86361289,46.05686462,61.27095839,72.15267176,65.48845384,63.31892251,61.17235948,65.86448408,71.88152116,75.50091525,73.24084127,77.41366144,71.11694614,75.37719734,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,32.48024433,33.97801501,33.10166474,31.9292358,31.34032321,31.53069096,31.59457903,29.89235664,30.10009424,30.89566947,30.1945416,29.55310019,29.60299527,29.03699451,28.92854503,29.80093081,35.10229529,32.08413437,29.74857704,29.0929418,28.6232779,29.52799341,29.15280704,29.17780302,29.26788635,28.68226595,27.32965975,26.14169075,
Cote d'Ivoire,13.13878411,13.87897454,13.98191091,14.70020644,16.0638071,15.92723992,17.8855295,18.88138027,16.2988643,15.42808674,18.49365842,19.69280114,19.7382525,17.74280232,16.08930987,17.040144,16.3644515,15.15722466,16.47969351,17.06000286,19.74045317,18.58806839,21.28810476,21.48054473,19.54828584,19.74607539,21.2824299,22.3648454,22.65082949,21.7836967,23.170587,21.70644098,21.30686521,22.75389175,21.03982326,20.76799991,20.41835235,23.64988833,22.98073225,24.17539775,24.85067483,24.09024463,22.92260893,21.64767555,23.07167649,25.86548939,25.8831687,25.28610516,26.11724644,25.4843305,27.38742814,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75137611,34.57185108,32.91248473,36.08428013,33.2743154,31.75941799,30.76112858,31.74157731,30.0413373,28.60620654,28.52561347,28.33847344,27.72614194,28.14625772,29.14203597,28.54194198,28.09956575,27.48708637,27.88764034,26.34726891,27.28088066,
Cuba,,,,,,,,,,,18.62245709,18.62618591,18.62640654,18.62179582,18.61338093,18.62451928,18.64483697,18.62750973,18.59875388,18.57136656,18.68033303,18.74658148,18.54099321,18.45546468,18.43525595,19.23641848,19.07725341,17.52923698,18.03355386,18.33612242,18.62779614,17.72738398,17.76945656,17.47587053,20.52296734,22.87523522,24.27250496,24.59820905,25.03729159,25.52780897,27.88657913,26.02344515,24.57032851,22.08377564,20.73507255,19.3705308,20.22112274,20.49408808,20.70661241,20.35296415,20.51795785,
Cyprus,,,,,,,,,,,,,,,,25.17509728,28.84097035,30.9855826,33.12931885,33.21689425,33.64461397,32.4086758,30.86154747,30.08709507,29.02646927,28.49143227,27.59072966,27.49691046,27.50137694,26.57627682,25.92636068,26.73944741,25.55996004,24.68012337,23.22568275,22.4748452,22.21795233,21.28934506,20.59077685,19.64003165,19.07352927,18.74043321,19.23397141,19.35968265,19.69969808,19.46832217,18.97276696,18.96801157,19.59145352,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.75413835,49.10888123,50.82076605,42.41946384,43.61723513,38.30614088,41.82226068,40.55809312,39.22207862,38.79060622,38.07217338,37.7432507,36.72736087,35.86100198,38.58439691,37.86970238,38.20604885,38.44492672,37.61065078,37.70298028,37.6487428,
