Ratio of young literate females to males (% ages 15-24),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,24.33136972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1304501,,,,,,,100.5928695,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.14590831,,,,,,,,,,,,,,,91.57584832,,,,94.4446301,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.43535859,,,,,,,,81.06578198,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0365854,,,
Argentina,,,,,,,,,,,,,,,,,,,,,100.8742148,,,,,,,,,,,100.4840829,,,,,,,,,,100.4252696,,,,,,,,100.3820514,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0012058,,,,,,,,,,,,100.1095957,,,,,,,,100.1246586,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2878298,,,,,,,,,100.2088904,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0311965,,,,,,,,100,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,91.51195493,,,,,,,,,,99.30094137,,,,,,,,,,100.4374101,,,,,,,,99.97056055,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,61.20308309,,,,,,,,,,73.42895854,,,,,,,,,,89.71532303,,,,,,,,103.660352,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.068751,,,,,,,,,,100.0715091,,,,,,,,,,100.1129057,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7431269,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,39.9363969,,,,,,,,,,,,,48.41317846,,,,,,,,,,56.14045601,,,,,,,66.87333228,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
