Adult (15+) literacy rate (%). Male,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,30.30774767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.18760634,,,,,,,97.30620201,,,98.0081625
Algeria,,,,,,,,,,,,,63.37743285,,,,,,,,,,,,,,,79.56909361,,,,81.2840426,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,82.91987454,,,,,,,,,,82.60331
Anguilla,,,,,,,,,,95.08118434,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,,,,,,,,,,98.4
Argentina,,,,,,94.26339138,,,,,,,,,,,96.22127101,,,,,,,,,,97.19320363,,,,,,,,,,97.82486
Armenia,,,,,,,,,,,,,,,99.40384769,,,,,,,,,,,,99.67222968,,,,,,,,,,99.70933
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,97.53740073,,,,,,,,,,96.94052663,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.47241834,,,,,,,,99.82400243,,99.84266739,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,76.51837339,,,,,,,,,,88.53737339,,,,,,,,,,88.5541075,,,,,,,,,96.14023386,
Bangladesh,,,,,,,39.73230099,,,,,,,,,,44.31428284,,,,,,,,,,53.89609203,,,,,,,,,,61.99212
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,99.3841832,,,,,,,,,,99.79211464,,,,,,,,,,99.76369428,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,70.26876738,,,,,,,,,,,,,,,,,,,,
Benin,,,,,25.19006239,,,,,,,,,,,,,39.90334118,,,,,,,,,,47.86595534,,,,40.61617083,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.04777664,,,,,,
Bolivia,,75.84288764,,,,,,,,,,,,,,,,88.15558743,,,,,,,,,93.05747264,,,,,,96.03625678,94.95543248,95.80363609,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,99.03370787,,,,,,,,,,,99.45056
Botswana,,,,,,,,,,,,,,,,,65.38693796,,,,,,,,,,,,80.43010798,,,,,,,,84.62992
Brazil,,,,,,76.37736467,,,,,,,,,,,,,,,,,,,,86.22798457,,,,88.40946161,,89.35324068,89.77214055,89.83787423,90.1748429,90.05617542,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,85.17775274,,,,,,,,,,92.45218916,,,,,,,,,,95.15042427,,,,,,,,,,96.97111
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.73660465,,,,,,,,,,98.74723366
Burkina Faso,14.52849032,,,,,,,,,,,,,,,,19.62613369,,,,,18.51778959,,,,,,,29.36200395,,31.44192594,,36.68066684,,,,
Burundi,,,,,34.26271478,,,,,,,,,,,48.23624585,,,,,,,,,,67.30693069,,,,,,,,88.77618079,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,79.48217913,,,,,,84.68001439,,,,85.08267225,82.75239956,,
Cameroon,,54.62984749,,,,,,,,,,,,,,,,,,,,,,,,79.19452404,,,,,,,78.94996219,,,78.32768742,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,74.75926604,,,,,,,,,,,,,,86.39725,,,,,,,89.74974
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.72239373,,,,
Central African Rep.,29.59292124,,,,,,,,,,,,,48.02029956,,,,,,,,,,,,66.78952659,,,,,,,,,,,69.59757
Chad,,,,,,,,,,,,,,,,,,,18.26060059,,,,,,,40.82705757,,,,39.36824832,,,,,,,45.64743
Chile,,,,,,,,91.48054369,,,,,,,,,,94.56307297,,,,,,,,,,95.79640731,,,,,,98.60163568,98.60720254,,
China,,,,,,,,79.19178096,,,,,,,,87.0249797,,,,,,,,,,95.13525202,,,,,,,,,,97.47945796,
Colombia,,,,,,,,,,,,,,,,,,,81.49750783,,,91.08910304,,,,,,,,92.90411531,92.77794914,92.39280499,92.42970121,93.31687849,93.06253961,93.25018725,93.48825056
Comoros,,,,,,55.97703927,,,,,,,,,,,,,,,,,,,,74.51403888,,,,,,,,,,,80.51743
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,80.92323575,,,,,,76.91568849,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,92.68214438,,,,,,,,,,,,,,,,94.65018037,,,,,,,,,,,96.0423
Cote d'Ivoire,,,,,,,,,,,,,,44.36353845,,,,,,,,,,43.9464205,,60.86065574,,,,,,,,,,,65.64127
Croatia,,,,,,,,,,,,,,,,,98.75705978,,,,,,,,,,99.32059174,,,,,,,,,,99.50811
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.80731392,,,,,,,,,99.8417
Cyprus,,,,,,,,,,,,,,,,,,97.8305865,,,,,,,,,98.63104396,,,,,,,,,,99.2861544
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,73.59024996,,,,,,,,,,,,,,,,,,,,,86.81102334,,,,,88.21015408,,,89.37703777,89.9848332
Ecuador,,,,,,,,86.78696665,,,,,,,,90.49677214,,,,,,,,,,,92.32712966,,,,,,87.2593639,,87.11864902,93.31686731,93.05251705
Egypt,,53.61519474,,,,,,,,,,56.97615966,,,,,,,,,,67.15178327,,,,,,,,,83.01751846,74.62180461,,,,80.26865031,80.97393545
El Salvador,,,,,,,,,,,,,,,,,,77.37240582,,,,,,,,,,,,81.54372,,86.69533556,84.86406943,87.05467951,86.82520658,87.09969903,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,94.84261071,,,,,,,,,,,97.14473
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.39012319,,,,,,,,,79.48668
Estonia,,,,,,,,,,,,,,,99.8759845,,,,,,,,,,,99.77594628,,,,,,,,,,,99.76915
Ethiopia,,,,,,,,,,,,,,,,,,,,35.9825435,,,,,,,,,,50,41.93661937,,49.13465997,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,79.44417891,,,,,,,,,,,88.36051,,,,,,,92.33866
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,48.9811513,,,,,,,,,,,60.8574
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.76897684,,,,,,,,,99.78705
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,66.35127779,,,,,,,,,,78.34891455,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,96.0638038,,,,,,,,,,96.03745812,,,,,,,,,,97.81121769,,,,,,,,,,98.36021
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,71.70638858,,,,,,,,75.41557953,,,,,,,,,81.16541
Guinea,,,,,,,,,,,,,,,,,,,,,,32.89534216,,,,,,,42.90316468,,,,,,,36.78977936,
Guinea-Bissau,,,,,33.34894542,,,,,,,,,,,,,,,,,,,,,57.61375388,,,,,,,,,,,68.92045
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.43656108,,
Haiti,,,,,,,,37.12974087,,,,,,,,,,,,,,,,,,,,,63.09002297,,,53.35504807,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,79.78523088,,,,,,83.74602504,,,84.78900662,85.3412279
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,99.3031938,,,,,,,,,,,,,,99.28592,,,,,,,,,,99.2299,,,,,,,99.1704
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,54.84101822,,,,,,,,,,61.64191963,,,,,,,,,,73.41185577,,,,,75.1918985,,,,,
Indonesia,,,,,,77.474998,,,,,,,,,,88.02452107,,,,,,,,,,,,,,94.03508227,,95.15854388,,95.38319348,95.64700578,,95.59109272
Iran,,48.18332565,,,,,,,,,,63.09955317,,,,,74.27448237,,,,,79.87161149,,,,,,83.5,,,88.01031875,87.27219409,,89.27848428,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,84.08741036,,,,,,,,,,,85.9649
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,94.96339546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,97.46464897,,,,,,,,,,,,,,,,,,,,98.82368901,,,,,,,,,,99.23258
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,74.08183705,,,,,,,,,,,,82.06368
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,80.48261112,,,,,,,,,,,,,,,,,,,,,,,,95.08450085,,95.17644891,,95.49455155,,,95.76724024,97.74835681
Kazakhstan,,,,,,,,,,,,,,,99.07194816,,,,,,,,,,99.76329943,,,,,,,,,,99.78625451,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,87.49466496,,,,,,,78.0791462,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99896295,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,68.02863257,,,,,72.78765227,,,,,78.1973002,,,,,,,,,,81.12094659,,,,,,,,,,94.44603643,94.52522211,94.79458097,95.02025469,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,99.30670747,,,,,,,,,,99.51614012,,
Laos,,,,,,,,,,,,,,,,,,,,,73.48624561,,,,,81.36017725,77.00606018,,,,82.45174516,,,,,,
Latvia,,,,,,,,,,,,,,,99.7545426,,,,,,,,,,,99.79334069,,,,,,,,,,,99.76842
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.37894294,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,79.99578193,,,,,,,,,65.52195919,,
Liberia,,,,,,,,,,44.87931614,,,,,,,,,,55.19549,,,,,,,,,,61.79959,,,60.77480672,,,,
Libya,,,,,,,,,,76.99262759,,,,,,,,,,88.25549,,,,,,,,,,93.71799,,,,,,,95.79556
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,99.20681489,,,,,,,,,,,,99.64314759,,,,,,,,,,99.6832
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
