Youth (15-24) literacy rate (%). Male,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,45.79601619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.36845559,,,,,,,98.53712498,,,98.73135687
Algeria,,,,,,,,,,,,,86.23008992,,,,,,,,,,,,,,,94.05754235,,,,94.38147977,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,83.77693283,,,,,,,,,,80.12215
Anguilla,,,,,,,,,,99.12408759,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,96.45921911,,,,,,,,,,,98.06549035,,,,,,,,,,98.70789783,,,,,,,,,,99.03215
Armenia,,,,,,,,,,,,,,,99.90936706,,,,,,,,,,,,99.75234511,,,,,,,,,,99.6894
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,98.88175985,,,,,,,,,,98.96573016,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.87033569,,,,,,,,100,,99.95678479,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,89.69038285,,,,,,,,,,97.25866593,,,,,,,,,,96.82707924,,,,,,,,,98.61991147,
Bangladesh,,,,,,,44.36215914,,,,,,,,,,51.73673488,,,,,,,,,,67.16380966,,,,,,,,,,77.0668
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,99.73197565,,,,,,,,,,99.75687428,,,,,,,,,,99.80032664,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,76.13616058,,,,,,,,,,,,,,,,,,,,
Benin,,,,,45.7106433,,,,,,,,,,,,,55.1302191,,,,,,,,,,59.20507988,,,,54.86693864,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.04192495,,,,,,
Bolivia,,91.46814417,,,,,,,,,,,,,,,,96.31840594,,,,,,,,,98.54929121,,,,,,99.75360949,99.3902301,99.69364094,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,99.74820144,,,,,,,,,,,99.68876
Botswana,,,,,,,,,,,,,,,,,85.9000679,,,,,,,,,,,,92.08330541,,,,,,,,93.47993
Brazil,,,,,,82.55676427,,,,,,,,,,,,,,,,,,,,92.65401397,,,,95.78389406,,96.79700476,97.05687541,97.18046359,97.44571975,96.71616589,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,94.06430338,,,,,,,,,,98.10690423,,,,,,,,,,98.87430282,,,,,,,,,,99.77855
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.30966988,,,,,,,,,,98.06692851
Burkina Faso,22.37712625,,,,,,,,,,,,,,,,26.788801,,,,,25.47826207,,,,,,,38.3810866,,40.37980516,,46.73374183,,,,
Burundi,,,,,40.93199227,,,,,,,,,,,59.49784114,,,,,,,,,,76.78002125,,,,,,,,89.59275432,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,81.84628583,,,,,,87.92010601,,,,89.38368417,88.35612053,,
Cameroon,,79.59164882,,,,,,,,,,,,,,,,,,,,,,,,88.42244808,,,,,,,89.41732097,,,85.39747653,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,89.94897497,,,,,,,,,,,,,,96.2286,,,,,,,97.64615
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.14231258,,,,
Central African Rep.,53.99043091,,,,,,,,,,,,,62.56144811,,,,,,,,,,,,72.59475219,,,,,,,,,,,72.2871
Chad,,,,,,,,,,,,,,,,,,,26.24622604,,,,,,,55.68619587,,,,53.70823146,,,,,,,53.55929
Chile,,,,,,,,96.18222304,,,,,,,,,,98.15645041,,,,,,,,,,98.8036365,,,,,,99.11451982,98.85938361,,
China,,,,,,,,95.20853762,,,,,,,,96.97693295,,,,,,,,,,99.19846005,,,,,,,,,,99.68961915,
Colombia,,,,,,,,,,,,,,,,,,,89.37749509,,,96.38511901,,,,,,,,97.5525244,97.51702521,97.53365987,97.48287803,97.54665965,97.44112896,97.68272049,97.76045048
Comoros,,,,,,69.35772674,,,,,,,,,,,,,,,,,,,,83.95133256,,,,,,,,,,,86.13718
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,77.9811098,,,,,,78.93641841,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,96.75452466,,,,,,,,,,,,,,,,97.19749352,,,,,,,,,,,97.8792
Cote d'Ivoire,,,,,,,,,,,,,,59.93224733,,,,,,,,,,54.40312929,,70.84071668,,,,,,,,,,,72.29478
Croatia,,,,,,,,,,,,,,,,,99.66618314,,,,,,,,,,99.64425979,,,,,,,,,,99.62187
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.95740613,,,,,,,,,99.98816
Cyprus,,,,,,,,,,,,,,,,,,99.57990952,,,,,,,,,99.73630832,,,,,,,,,,99.80454237
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,81.25730657,,,,,,,,,,,,,,,,,,,,,92.99863685,,,,,94.62720859,,,95.77529602,96.09168726
Ecuador,,,,,,,,94.55480682,,,,,,,,96.57576553,,,,,,,,,,,96.37939586,,,,,,95.21830904,,96.81895332,98.46886749,98.58650197
Egypt,,63.04068218,,,,,,,,,,71.38067515,,,,,,,,,,78.99087266,,,,,,,,,90.07911551,87.85679631,,,,90.55763169,91.45669655
El Salvador,,,,,,,,,,,,,,,,,,84.94525583,,,,,,,,,,,,86.91404,,94.39686831,93.21922167,95.40500822,94.70804818,95.66904441,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,97.60790432,,,,,,,,,,,97.71325
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.25322214,,,,,,,,,92.55629
Estonia,,,,,,,,,,,,,,,99.83401601,,,,,,,,,,,99.72910493,,,,,,,,,,,99.74944
Ethiopia,,,,,,,,,,,,,,,,,,,,39.28867375,,,,,,,,,,62.2,55.88473699,,62.97092717,,,,
