Row Labels,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,11.1,11.1,10.0,9.1,9.1,8.3,8.3,7.7,7.7,7.1,6.7,13.3,12.5,11.8,11.8,11.1,10.5,10.5,10.0,10.0,9.5,14.3,13.6,13.6,13.0,12.5,12.5,12.0,15.4,15.4,14.8,14.8,14.3,13.8,17.2,16.7,16.1,16.1,18.8,18.8
Albania,101.7,101.6,100.0,100.0,100.0,100.0,98.6,98.6,98.6,98.7,98.7,98.7,97.5,98.8,98.8,97.6,98.8,98.9,98.9,98.9,98.9,98.9,98.9,98.9,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,101.0,101.0,100.0,100.9,100.9,101.9,101.9
Algeria,77.8,78.9,80.0,81.0,81.8,82.6,83.3,80.8,85.2,85.7,86.7,84.4,87.9,88.6,89.2,89.5,90.0,90.5,88.6,89.1,91.5,89.8,92.0,90.4,92.5,92.7,92.9,93.1,93.2,95.0,93.5,95.2,95.3,95.4,97.0,97.0,97.1,97.1,97.1,98.6
Angola,47.6,50.0,47.8,50.0,48.0,50.0,48.1,50.0,50.0,48.4,50.0,51.5,51.4,52.8,52.6,53.8,53.7,54.8,53.5,54.5,55.6,56.5,57.4,58.3,59.2,60.0,64.0,64.7,65.4,66.0,66.7,67.3,67.9,69.6,70.2,70.7,72.4,72.9,73.3,75.0
Antigua and Barbuda,103.8,105.1,104.9,104.8,106.0,105.8,105.7,106.7,106.6,107.6,107.4,107.4,107.2,108.1,109.0,107.8,108.7,108.6,108.5,109.3,109.3,108.2,109.0,108.9,108.8,108.8,109.6,109.5,109.4,109.3,109.2,109.2,109.1,108.2,108.1,108.1,108.9,108.0,107.9,107.9
Argentina,101.5,102.9,101.4,102.8,102.7,102.7,102.6,102.6,103.8,103.8,103.7,103.6,103.6,103.5,104.7,104.6,105.7,105.6,105.6,105.5,106.5,106.5,106.4,106.3,106.3,107.2,107.1,107.1,107.0,106.9,107.9,107.8,108.7,108.7,109.6,109.5,109.4,110.4,110.3,111.2
Armenia,102.7,104.1,102.6,102.6,102.5,102.5,102.4,102.4,102.3,102.3,102.2,101.1,102.2,102.2,102.1,102.1,102.1,102.0,102.0,102.0,102.0,102.0,101.9,101.9,101.9,102.9,102.8,102.8,102.8,102.8,102.8,103.7,103.6,104.5,103.6,104.5,105.4,104.5,105.4,106.3
Australia,99.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,99.1,99.1,100.0,100.0,99.1,99.1,100.0,100.0,99.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.9,100.0,100.9,100.0,100.8,101.7,100.8,101.7,100.8,101.7,101.7,101.7,101.7,102.5,102.5,103.3
Austria,87.8,87.9,89.1,88.3,89.5,89.6,89.7,90.8,90.9,91.0,91.1,92.2,92.2,92.3,92.4,92.5,92.5,93.5,93.5,93.6,94.5,94.5,95.5,95.5,95.5,96.4,96.5,96.5,96.5,96.5,97.4,97.4,98.3,98.3,99.1,99.2,100.0,100.8,100.8,100.8
Azerbaijan,85.9,86.3,86.7,87.0,87.3,87.7,88.0,88.2,88.5,88.8,91.1,91.3,92.5,92.6,91.8,92.9,93.0,94.1,94.1,95.1,94.3,95.3,95.3,96.3,96.3,97.3,98.2,98.2,98.2,98.2,99.1,99.1,100.0,100.0,100.0,100.9,100.8,101.7,101.7,101.7
Bahamas,104.3,104.2,104.1,105.4,103.9,103.8,105.1,105.0,103.7,104.8,104.8,104.7,103.4,104.6,103.4,104.4,104.4,104.3,104.3,104.3,103.1,104.1,104.1,104.0,104.0,105.0,104.9,104.9,104.8,105.7,105.7,105.6,105.6,105.5,105.5,106.3,106.3,107.1,107.1,107.0
Bahrain,68.4,70.0,71.4,71.1,72.3,73.5,76.5,77.4,78.6,79.3,81.7,83.9,84.4,86.4,87.0,90.0,91.7,91.9,94.7,94.8,97.4,97.5,100.0,100.0,101.2,103.5,103.4,104.5,104.4,105.5,106.5,107.5,108.5,109.5,110.4,110.2,111.2,112.1,113.0,112.9
