"Children out of school, primary, male",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,636247,,,,,,,,,,,,,,,,,,,913969,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,7963,,,,20294,27120,27437,28053
Algeria,,,,242598,192643,172893,162430,154528,150467,156862,135875,125075,136965,156971,140732,142991,133137,118678,112357,113393,129712,121690,125578,158635,172331,165377,172623,180907,,131846,125705,87237,71911,66147,49640,40637,34795,33377,27177,24097,28440,25723
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,207,366,427,436,433,431,484,583,624
Angola,,,,,,,,,,,,,215594,239940,,,,,,,,,,,,,,,333939,,,,,,,,,,146027,136542,119327,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,452,423,496,709
Argentina,97816,,,,62887,67621,,,,,,,,,,,,,,,,,,,,,,,,4667,,,2926,3202,,,5040,5143,6363,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6438,11647,12292,10930,9097,6188,3055,,,,16793
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,43,160,157,212,166,61,41,20,80,294,21,
Australia,,27380,,44992,50350,27229,19231,,,,,3464,12389,18497,32963,34163,29818,26127,21159,19807,21658,26054,27939,31098,33480,51752,47704,51004,52304,56015,55886,58354,52361,53074,51342,50021,49226,34055,32741,30589,30629,
Austria,,,,,,,,29499,34170,34068,33731,28403,,,,26214,,,,14959,,,,24814,24071,21919,20942,19790,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,26573,,,,,,,,44131,42084,50174,49185,47847,45399,41465,39392,46271,43949,37768,40292,31263
Bahamas,,,,,,,,,,,,,,,,,,,,,,,2108,2160,,,,,,1407,2117,,,,1577,919,1032,,,,,
Bahrain,,2375,1955,1898,1359,769,1698,1746,2561,2868,2862,3133,3533,3239,2822,2095,664,1048,83,,,,966,604,732,,,,,599,1059,347,153,,,202,391,,,,,
Bangladesh,1668432,,,563060,,,32106,622755,665336,,,1156461,,1184214,1611534,1798511,1958223,2103519,1662585,1733057,1632367,,,,,,,,,,,,,,,,,,,,,
Barbados,,2408,2032,2020,,,,,,,,610,338,,,,,,,,21,,1201,,,,,,,893,1043,1153,1311,1351,1446,1470,1103,1167,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,40830,,,,,,,,,,,,,,,,
Belgium,,,,,,,,21476,,19461,17799,23164,22865,37626,40507,41988,36067,29460,23591,,,20551,24172,9625,9517,6535,1962,,,3481,3560,3418,3466,3654,4081,3993,4151,4148,4196,3878,3876,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105,1269,1471,1215,1027,306,485,51,32,55,,,
Benin,,,,,,,,,,,,,,,98484,98603,111231,,120614,121669,176510,,127503,110135,112706,104839,97774,85825,,,,,,,,,,,,,,
Bermuda,,,,,,,,,493,538,,,,,298,194,,,,,,,,,,,,,,,,,,,,,,,,,217,306
Bhutan,,,,,,,,,21545,21277,,,,,,,,,,,,,,,,,,,22002,22202,21354,19609,,,,13763,11164,,8188,6248,5857,6130
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24952,25682,25758,34684,30587,31578,31866,,26742,34295,,42041,63858,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14534,13950,10555
Botswana,41677,44654,44962,45355,43577,40369,38234,36073,36416,36045,33126,28812,,26105,26176,24415,23111,22667,23000,22503,24406,22171,23130,23890,24439,38430,38106,,34208,34577,32417,29428,28158,27564,23225,25849,22717,23064,22694,20150,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217247,380665,,,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,153,299,1956,2342,3446,4036,4114,4156,,3845,,,,,1120,808,,626,,,,,,,,,,,,,,,,1166,1271
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,9960,8226,1226,1666,2124,1646,4397,4698,4846,8406,8808,3965,1904,1487,927,
Burkina Faso,,398138,406342,,,,,457345,468676,480113,489274,494171,495698,502621,508634,510261,512442,515622,530047,546038,,567988,576772,582448,585496,583585,,,594659,607178,611786,616928,637589,640327,629035,600473,573841,525486,470459,452425,541299,491631
Burundi,,,,224531,,,,,252439,,256806,254624,244157,225525,212951,201800,197176,183576,181288,,,,,206674,,,,,,324882,286405,232197,235284,217068,217814,199361,100793,54243,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,127941,92206,81551,31977,,,15598,,,36843,11624,20473,,32466,2145
Cameroon,,166063,183243,199591,224676,188910,186694,204029,202722,207196,215374,,,,,,,,219507,,238602,263966,,,,,,,,,,,,,,,,,,,6254,
Canada,,,,,,,,,,,,,47562,48944,54412,57193,54403,53187,54102,45820,59346,24266,28004,43373,45675,63013,51263,,17621,4941,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,2692,2931,3831,2871,2427,2356,2277,959,,,,,,,,,,,,,108,206,226,439,730,1205,1585,1910,1847,1771,1536
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,45961,43208,41860,,,,56734,58253,,,53347,50461,44452,,,52847,79684,88953,92153,70037,85397,,,,,,,,,,,,,,133526,133740,103753,72658,70918,63350,73938
Chad,,,,,,199274,,206904,,,,,,,,,,,244915,,,,,,,,,266026,235143,232485,230150,228639,202855,197469,,,,,,,,188815
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35415,30279,46439,43415,
China,,,,,,,,,,,,,,,,,,,,,,,700857,1694996,2408315,2824198,2634056,2327747,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,669697,,,,,698149,,,,,,,136177,105059,70132,104374,144557,,,86826,109869,138817,142864,151998,186580,219615
Comoros,,,,,,,,,,,,,,,,,,9133,,,,,,,14120,,,,,12075,8692,,,,,,,10055,,,,
"Congo, Dem. Rep.",,283264,336596,,,354151,,,,336310,,,,390894,410417,,,,881174,,,1119272,1254514,1371377,1376926,1023506,,,,2772010,,,,,,,,,,,,
"Congo, Rep.",,,11101,,4257,,2924,,,,14187,16196,16133,16610,14185,,,,,,,,,,,,,,,,,,,,,140792,112945,,,,23744,16602
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,23119,,21040,18268,,17014,13425,,15262,18031,18302,17524,20945,,,25928,25160,25519,,26641,28244,28705,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,233716,,,,,,,,,,,,,,,,,,,475395,465951,,447144,452616,395049,382886,472234,,,,,,496923,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16879,7750,7865,7215,6772,6625,,1907,1834,2017,2671,6748,4786,
Cuba,,,54453,42905,36112,,,,,8604,11530,29681,37116,33722,44636,49805,43860,32429,30702,30007,34295,37423,30181,27806,17736,19145,6114,5807,7099,5420,8291,10914,14152,22776,20970,19939,17437,2542,383,,10,6744
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,793,983,1243,1220,1273,,669,765,923,587,510,380,130,142,163,212,155,217,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,16699,19271,34982,37129,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,10305,8472,4788,2276,3263,2752,2632,2405,4572,4748,3584,4811,5561,2687,3741,3472,,1492,4476,4528,,,,5166,9864,9330,8435,10511,10761,10918,
Djibouti,,,,,,,,,,,,,,,,22287,22205,23339,25374,27734,29858,,32433,34976,35115,35034,35352,36984,,39725,41550,41191,41304,40483,39570,38415,35906,33810,26669,27269,,23458
Dominica,,,,,,,604,762,,1308,1169,1508,928,,,,,,,,,,,,,,,,,,,,,,,262,340,228,149,,185,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136109,100284,95024,,45343,50476,112673,101755,114373,70546,91485,4471,27662,42025
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,90780,,94660,94399,103543,103891,87566,78684,59720,72325,,,,,,,,,,,,,,83569,73208,55838,27208,17245,12437,,,,,,,,,,,,
Egypt,,826210,822479,840851,,,,,910534,,,,,,,,,,,,,,,,233146,,,121205,,203378,187238,154145,118135,79396,51200,9771,157637,10334,,15184,,
El Salvador,113416,,,,,,,,,,,,,,,,,,,,,,,,,,,,138782,,,67934,58026,49159,35176,26465,25815,26937,26764,25644,20126,17034
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,4563,,,,,,,6547,7226,8661,,,,,20620,21154,21418,20533
Eritrea,,,,,,,,,,,,,,,,,,,,,,,177767,,165269,164992,166935,169404,,162842,153648,153019,142565,134384,131501,131987,138948,157865,172257,188545,203030,203925
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,8499,6593,,1685,1074,366,10,,1226,1505,1301,1317,1735,1409,1342,893,
Ethiopia,,,,,,,,,,,,,,,,,,2130687,2165515,2307567,,,,,3205817,3159159,3026649,,2886823,2919661,2850788,2745120,2739634,2793575,2726308,2082957,1783510,1385139,925625,941396,1022804,653218
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020,3462,3098,1435,,993,525,,910,598,,578,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,2128,2569,3165,3525,2372,434,,,611,755,2017,3844,4971,6343,5319,4442,4520,4197,
France,,68728,65840,,,,,1511,,19540,22862,,65037,115146,,119325,60699,,,,,,19000,43889,42368,20963,1900,7923,,6362,8791,9639,11552,10263,13311,16636,16829,16350,18114,,17562,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,576,564,697,,,,,,,,,,637,729,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,7109,,,,,,,,,,,,,,
Gambia,,21815,23668,24605,25805,26518,26824,24108,22349,21470,20207,16622,15423,14628,15440,15013,16985,,,,,,42014,41147,,,36684,,,25478,29482,30310,33152,32253,34298,39078,34710,36057,42675,38208,44332,45877
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,27507,29136,24641,,,,,,,15494,15533,10045,5825,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,308200,342532,352114,351107,345925,318047,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567585,527360,626164,599404,574500,657252,539258,559802,471149,383584,412114,,297799
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,11129,10799,9227,6527,10244,14430,20262,24213,26199,28476,17107,11073,4619,3093,2424,5690,17774,17356,21862,22741,22054,28961,35736,38788,39321,42047,40518,16410,14084,8457,11088,5101,1715,,2439,4357,5657,,,3798,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,1959,,,,,193,,,189,701,975,983,801,,,,,,,,,,,,,,,,1200,424,,177,115,,,510,342,295,419,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,206501,207937,212363,,220724,219970,,,224835,,,210290,240678,220847,,,,,,,,,,,,,,190105,,111551,92826,104683,78938,59917,39853,28770,16650,11190,18447,4558,16591,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,230132,218912,236725,254208,256999,267254,283379,285940,,,,,,,333753,324682,311986,290969,236699,214151,193500,181268,166818,151064,157782,145456,131272,88604
Guinea-Bissau,,,,,,,,,,,,25761,25446,,35346,35202,,37131,35682,,,,,,,,,,,38467,38376,,,,,,,,,,26440,
Guyana,,10517,10461,,8964,,8139,3344,,4205,,,2924,,,,,,,,,,,,,2021,4513,,,,,,,1064,,,,,8243,12250,10723,11269
Haiti,,,,,,,,,,,,273228,247848,234991,254765,233633,232772,290921,,,,,,,,,,287318,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,72809,71587,,37627,34586,32407,,39304,,,,,50414,,47620,,,,,,,60013,,,,28311,48186,26058,42275,27372,25214,29447,19142
"Hong Kong, China",,43929,38986,39001,34558,31099,31096,30661,30717,26644,12108,10487,12291,10846,8945,8318,,,,,,,,,,21268,17244,,,,,17262,15395,12189,8196,7563,6383,6871,7888,7343,,8314
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,54205,31543,9418,7943,6692,6041,5738,8179,9229,7336,6838,7524,5303,4254,4249,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,389,,367,324,127,,4,3,,1,184,157,240,337,217,104,179,
India,,10034666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6053072,6608420,7096696,6637166,2335895,2331022,1972831,1418424,870827,,,
Indonesia,,2568924,2519236,,2458907,2515917,2289408,,1352194,,,875547,130815,,114509,,,277337,38211,240243,463645,585992,675817,858162,764817,771343,999812,1001130,,,595880,559050,571626,443525,357896,442630,,,,,,
Iran,,,,,,,,,,,,,,,216251,258820,271551,277464,295922,332668,73573,,,,,,,169411,,515884,542561,,149165,177009,65465,76159,,,,,,
Iraq,,184199,162524,143137,127065,166058,78398,97016,105413,24825,20405,47933,,110843,,110323,105379,75658,72804,68712,,,,290040,,,357579,,,99651,128802,143362,,40439,70672,,,131913,,,,
