"Children out of school, primary",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,1559835,,,,,,,,,,,,,,,,,,,2094750,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2211,2119,1545,,8445,15754,,,,37763,51566,52014,53597
Algeria,,,,806895,731571,696223,671496,646398,627309,629216,590512,572155,591125,621542,591620,587866,556886,520585,502538,495690,519502,491414,482599,524714,527002,497645,489403,486790,,340287,313250,232345,190629,171799,135684,116195,104234,93561,74715,71175,81638,71430
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,403,795,873,866,875,846,939,1092,1197
Angola,,,,,,,,,,,,,451888,507643,,,,,,,,,,,,,,,738232,,,,,,,,,,455393,457837,492581,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112,1011,1060,1349,1536
Argentina,163339,,,,112016,121184,,,,,,,,,,,,265083,,,,,,,,,,0,10391,23723,23417,6217,26289,23236,34210,36423,39901,37032,25120,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11793,21339,22730,20090,15529,10120,4343,,,,29836
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,107,293,375,528,485,235,158,121,225,473,26,
Australia,,51041,,80658,90565,49862,36754,357,336,237,722,8399,25213,40182,67462,66507,56682,48113,37195,33856,38045,45414,47966,53779,58260,93964,87352,95102,96198,102758,102102,106489,95677,96856,93438,90710,89085,60253,56755,53689,53764,
Austria,,42063,47900,55296,58644,57618,57669,56211,63777,63641,63443,53785,,,,49863,,,,27546,,,,45772,44683,41303,38498,36451,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,53110,,,,,,,,81989,84704,102011,102629,110026,98088,95428,92754,89421,84545,74675,78445,64313
Bahamas,,0,18,1160,186,0,347,,,,876,0,,,1298,,,,,,,,4042,3942,2589,,,,,3043,4472,,,,2884,1474,1664,399,304,856,658,
Bahrain,,8168,7104,6769,6321,5251,6779,7055,8165,8088,7466,7739,8574,7520,6057,3965,1439,1799,371,151,,335,1342,741,803,521,42,57,467,661,1125,399,831,729,1259,1652,548,,,,,
Bangladesh,4782696,,,3151254,,,2570021,3146222,3248540,,,3721843,,4203774,4528957,4930539,5234823,5543863,4240078,4358337,4018410,,,,,,,,,,,,,,,,,,,,,
Barbados,,5126,4424,4044,,,225,498,,,,872,957,790,,,,,,128,371,,2442,,,,,,,1127,1272,1458,1744,1853,2130,2057,1430,1426,1034,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,89857,,,,,,28356,35785,34280,35180,38885,37380,36498,31577,26346,28505,29991
Belgium,,,,,,,,42870,,36565,33061,42217,43163,68728,74009,76895,66205,52641,40874,,,33591,41235,19001,18858,13157,3801,,,6150,5726,6021,6027,6945,6680,6566,7303,6832,6980,6720,6533,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3404,4156,4777,4503,4016,2733,2711,2317,2046,2174,1710,1191,1113
Benin,,,,,,,,,,,,,,,321587,326182,348387,,372826,379299,466202,,408119,384782,385059,373155,360595,338697,,,,,,170091,156087,150376,128840,,110063,,,
Bermuda,,,,,,,,,1084,1181,,,,,480,332,,,,,,,,,,,,,,,,,,,,116,,,,,441,583
Bhutan,,,,,,,,,47673,47636,,,,,,,,,,,,,,,,,,,48103,48045,45615,42148,,,,27227,21661,,15067,11042,10027,10635
