Electricity generation per person (kilowatt-hours),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Algeria,641.7686673,675.1800467,695.3281863,721.3693377,722.5704246,702.0368112,722.2922634,727.5037523,799.9317103,826.2609265,822.3799956,851.0440232,875.8550078,920.484917,962.5163604,1033.172011,1063.064174,1108.533902,1185.163977
Argentina,1542.598522,1613.957173,1656.765152,1817.099848,1882.204332,1902.209136,1951.10477,2001.548857,2024.08224,2177.951519,2372.890432,2377.272622,2206.588218,2375.970124,2561.441632,2669.461079,2934.284105,2998.070043,3074.364632
Australia,9162.424004,9169.912304,9249.411551,9363.724962,9525.692722,9687.698355,9832.092495,10209.99294,10637.87333,10837.32197,11077.75682,11447.807,11625.38589,11567.82308,11921.56799,12392.37355,12571.47992,12752.80687,13216.04792
Austria,6527.813907,6584.959652,6466.228737,6593.771949,6640.764169,7031.683271,6802.630789,7044.841829,7109.752133,7458.34402,7616.769909,7600.265136,7691.286244,7377.378148,7863.837504,7407.976673,7737.694193,7773.498396,8262.229888
Azerbaijan,3222.294724,3195.801399,2653.630117,2547.616078,2320.23341,2233.728701,2228.408478,2183.20097,2320.454809,2341.789782,2413.475297,2440.969686,2398.026184,2718.253289,2763.464167,2890.808286,3082.664468,2724.979167,2679.22822
Bangladesh,75.76188765,82.56515002,85.39673675,87.97057327,94.73933071,101.6726331,105.6941618,105.9560433,111.8395681,118.6385064,120.8527845,128.4904984,137.4719246,142.3781499,151.8744001,156.8948057,165.1270103,172.0922954,179.078834
Belarus,3869.328946,3781.001946,3647.746897,3220.785528,3022.475989,2395.042901,2279.615474,2508.599884,2260.831234,2552.403738,2517.672178,2419.471558,2559.653818,2579.597993,3027.102416,3005.781379,3090.543671,3091.746366,3393.482961
Brazil,1474.817199,1526.699089,1549.78997,1590.022544,1615.219107,1685.19497,1753.701467,1827.303443,1882.049573,1931.495702,1987.487853,1848.121611,1921.310141,2001.504082,2104.555492,2165.020423,2229.588223,2339.779412,2368.314941
Bulgaria,4738.123154,4436.316397,4112.718753,4501.015888,4565.00308,5061.889135,5234.145805,5296.268053,5226.691073,4836.678332,5234.639147,5681.912164,5573.234171,5613.832378,5536.199718,5954.754603,6207.274466,5891.005943,6194.411839
Canada,17344.8936,18063.8817,18262.97486,18398.41464,18988.48464,18891.99373,19107.72453,18926.15229,18336.23016,18641.32977,19336.18276,18433.65918,18214.81783,17630.67059,17731.64249,18205.98243,17886.01517,18076.35374,17783.287
Chile,1399.477139,1483.467182,1633.169513,1692.162853,1804.77798,1882.517054,2100.839315,2229.394403,2400.311811,2563.473669,2644.744266,2774.849817,2817.956403,3114.416499,3340.125355,3409.254741,3567.262847,3692.880961,3684.832241
