Electricity generation total (kilowatt-hours),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Algeria,"16,104,000,000.00 ","17,345,000,000.00 ","18,286,000,000.00 ","19,415,000,000.00 ","19,883,000,000.00 ","19,715,000,000.00 ","20,654,000,000.00 ","21,150,000,000.00 ","23,615,000,000.00 ","24,757,000,000.00 ","25,008,000,000.00 ","26,256,000,000.00 ","27,403,000,000.00 ","29,192,000,000.00 ","30,925,000,000.00 ","33,611,000,000.00 ","35,006,800,000.00 ","36,951,000,000.00 ","39,987,000,000.00 "
Argentina,"50,940,000,000.00 ","54,054,000,000.00 ","56,262,000,000.00 ","62,530,000,000.00 ","65,622,000,000.00 ","67,169,000,000.00 ","69,759,000,000.00 ","72,463,000,000.00 ","74,170,000,000.00 ","80,745,000,000.00 ","88,978,000,000.00 ","90,138,000,000.00 ","84,581,000,000.00 ","92,047,000,000.00 ","100,267,000,000.00 ","105,545,000,000.00 ","117,142,000,000.00 ","120,828,000,000.00 ","125,057,000,000.00 "
Australia,"155,964,000,000.00 ","158,250,000,000.00 ","161,698,000,000.00 ","165,632,000,000.00 ","170,439,000,000.00 ","175,504,000,000.00 ","180,400,000,000.00 ","189,551,000,000.00 ","199,660,000,000.00 ","205,565,000,000.00 ","212,301,000,000.00 ","221,602,000,000.00 ","227,239,000,000.00 ","228,256,100,000.00 ","237,395,900,000.00 ","248,968,200,000.00 ","254,749,500,000.00 ","260,593,100,000.00 ","272,261,900,000.00 "
Austria,"50,414,000,000.00 ","51,484,000,000.00 ","51,180,000,000.00 ","52,675,000,000.00 ","53,309,000,000.00 ","56,587,000,000.00 ","54,835,000,000.00 ","56,851,000,000.00 ","57,437,000,000.00 ","60,369,000,000.00 ","61,798,000,000.00 ","61,803,000,000.00 ","62,671,000,000.00 ","60,219,000,000.00 ","64,285,000,000.00 ","60,632,000,000.00 ","63,394,000,000.00 ","63,741,000,000.00 ","67,796,000,000.00 "
Azerbaijan,"23,200,000,000.00 ","23,356,000,000.00 ","19,673,000,000.00 ","19,100,000,000.00 ","17,571,000,000.00 ","17,044,000,000.00 ","17,088,000,000.00 ","16,800,000,000.00 ","17,900,000,000.00 ","18,100,000,000.00 ","18,700,000,000.00 ","18,969,000,000.00 ","18,701,000,000.00 ","21,286,000,000.00 ","21,744,000,000.00 ","22,872,000,000.00 ","24,543,000,000.00 ","21,847,000,000.00 ","21,645,600,000.00 "
Bangladesh,"8,326,000,000.00 ","9,242,000,000.00 ","9,710,000,000.00 ","10,156,000,000.00 ","11,111,000,000.00 ","12,118,000,000.00 ","12,809,000,000.00 ","13,066,000,000.00 ","14,044,000,000.00 ","15,179,000,000.00 ","15,760,000,000.00 ","17,086,000,000.00 ","18,649,000,000.00 ","19,712,000,000.00 ","21,466,000,000.00 ","22,643,000,000.00 ","24,334,000,000.00 ","25,891,000,000.00 ","27,497,000,000.00 "
Belarus,"39,526,000,000.00 ","38,735,000,000.00 ","37,595,000,000.00 ","33,369,000,000.00 ","31,397,000,000.00 ","24,918,000,000.00 ","23,728,000,000.00 ","26,100,000,000.00 ","23,500,000,000.00 ","26,500,000,000.00 ","26,100,000,000.00 ","25,042,000,000.00 ","26,455,000,000.00 ","26,627,000,000.00 ","31,211,000,000.00 ","30,961,000,000.00 ","31,811,000,000.00 ","31,811,000,000.00 ","34,912,000,000.00 "
Brazil,"222,821,000,000.00 ","234,366,000,000.00 ","241,730,000,000.00 ","251,973,000,000.00 ","260,041,000,000.00 ","275,601,000,000.00 ","291,244,000,000.00 ","307,986,000,000.00 ","321,748,000,000.00 ","334,716,000,000.00 ","348,909,000,000.00 ","328,509,000,000.00 ","345,671,000,000.00 ","364,339,000,000.00 ","387,451,000,000.00 ","402,938,000,000.00 ","419,337,000,000.00 ","444,583,000,000.00 ","454,500,000,000.00 "
Bulgaria,"42,141,000,000.00 ","38,917,000,000.00 ","35,610,000,000.00 ","37,997,000,000.00 ","38,133,000,000.00 ","41,790,000,000.00 ","42,716,000,000.00 ","42,720,000,000.00 ","41,666,000,000.00 ","38,177,000,000.00 ","40,927,000,000.00 ","43,969,000,000.00 ","42,701,000,000.00 ","42,600,000,000.00 ","41,621,000,000.00 ","44,365,000,000.00 ","45,843,000,000.00 ","43,139,000,000.00 ","44,988,000,000.00 "
Canada,"482,025,000,000.00 ","507,913,000,000.00 ","520,924,000,000.00 ","532,094,000,000.00 ","555,650,000,000.00 ","559,562,000,000.00 ","572,910,000,000.00 ","573,573,000,000.00 ","561,619,000,000.00 ","577,080,000,000.00 ","604,799,000,000.00 ","582,371,000,000.00 ","581,094,000,000.00 ","567,833,000,000.00 ","576,418,000,000.00 ","597,248,000,000.00 ","592,008,000,000.00 ","603,572,000,000.00 ","598,928,000,000.00 "
