"Electricity consumption, per capita (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,530.3956825,566.3344171,590.2914169,586.6950736,732.7148528,898.5398125,1053.947256,1080.931434,1044.720008,1116.727659,1094.541759,1066.377271,1039.124665,985.2315227,767.073975,1357.90464,1101.948878,947.4187111,968.450315,498.1313547,376.0373182,416.6113022,492.789587,554.3134063,612.5929089,840.7554168,643.2891256,679.0046237,1315.876322,1342.835046,1246.772754,1459.433092,1378.656751,1691.749604,1622.587317,1146.694855,1137.949266,1510.482138,1706.976899,1800.870627,2021.634918
Algeria,,,,,,,,,,,,131.8699194,140.7952041,156.5049913,168.3087251,193.0672119,217.1972007,230.1705205,275.4965963,310.6220071,326.0042873,358.3876208,399.9216433,410.6598535,433.5797102,457.9944788,476.2656693,446.9211848,472.9585478,512.5388852,521.8426973,522.7253721,549.4794635,537.8306927,540.6439572,549.26644,559.4532965,564.2688104,605.8967046,639.1741733,668.7064457,693.6815755,714.7028655,768.7985999,785.622933,869.35262,840.7807133,870.5861631,920.9140046,841.3200099,986.8650038,1090.565936
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,91.91276751,101.6039346,116.7156962,142.3864997,147.4924476,64.47601925,62.80804916,61.10424133,63.79064559,66.25516014,64.03547515,65.93331724,69.14127246,57.14446382,66.63984891,64.8021528,63.48693686,62.35931519,61.08764057,60.9647291,62.61307551,61.53002729,59.79516989,58.24532385,56.75363273,59.10723184,80.60110443,85.70857471,84.45210788,88.61803973,97.32168634,101.2321572,112.6380619,102.7745691,128.3819952,170.303139,157.2871723,204.210437,225.132287,246.6606688,248.4577927
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,870.4729375,920.3645793,956.2040993,986.0981989,1004.048915,1023.945361,1072.564266,1084.12044,1207.050384,1233.742299,1188.71642,1200.555975,1251.757917,1294.293984,1283.601258,1326.158011,1410.673523,1450.281803,1319.44243,1303.729173,1347.747197,1410.735894,1497.263982,1527.529174,1648.658543,1727.253831,1846.219211,1964.78241,2031.162475,2086.981009,2120.710284,2017.405069,2187.018729,2304.223792,2423.705078,2164.230081,2351.482559,2801.08296,2761.442918,2907.176618,2967.388776
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2717.58219,2684.577518,1958.836317,1192.697333,1043.483124,1048.345838,1217.927003,1506.859269,1306.795659,1305.505815,1294.822207,1265.376018,1231.046123,1312.56851,1428.452446,1504.51903,1615.432492,1739.199072,1630.23327,1616.492945,1676.060977,1754.652308
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1825.62565,1947.152533,2012.660585,2211.689498,2417.211427,2625.219529,2765.084542,2969.48894,3102.006828,3329.609394,3609.978412,3751.642576,3880.928891,4230.343797,4578.882169,4781.616641,4901.589111,5251.197858,5416.283605,5665.977677,5915.260005,6153.346285,6391.290025,6366.126619,6699.562532,7007.61518,7309.094541,7525.685721,7800.534714,8129.103625,8527.228085,8522.159222,8550.328665,8701.760344,8812.489499,8994.35591,9108.29556,9291.083869,9783.442895,10036.45778,10193.91218,10636.37769,10813.12273,10434.87439,10554.81582,10458.45019,10490.43623,10874.52833,10681.10398,10748.38834,10724.07808,10719.90109
Austria,1814.676017,1882.223711,2006.770396,2124.359184,2232.896504,2305.357708,2375.012735,2448.692544,2608.624238,2814.654642,3019.116159,3213.126836,3404.469208,3620.56204,3769.029711,3734.445473,4068.190905,4137.714163,4335.053929,4541.537932,4684.45776,4697.365866,4730.570071,4827.484062,5070.995793,5280.77716,5321.412974,5536.144154,5716.834247,5896.135568,6111.47652,6347.220096,6227.498049,6137.269463,6205.804904,6344.393087,6607.222977,6620.447862,6706.708677,6972.189816,7076.269483,7333.231953,7427.656445,7695.080037,7808.035423,7978.046214,8223.842346,8180.307701,8191.508477,7955.028376,8321.085283,8356.368717
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2575.639056,2631.137395,2276.076944,2119.679787,1961.827037,1951.984385,1852.891923,1813.670143,1936.939214,2022.485985,2040.47909,2106.470066,1996.708252,2235.459856,2281.947872,2388.388734,2552.286214,2118.210528,2040.760435,1620.38742,1603.431374,1705.424633
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,1947.39321,1960.032754,2084.54932,2280.488143,2624.809701,3170.766938,3660.515242,3746.395022,4299.519586,4612.3667,4848.646843,5205.337479,5589.650067,5139.690047,5791.261847,6659.884519,6031.099807,6349.219996,6428.455633,6532.995661,6206.280843,7077.939593,7548.8463,7986.597957,8071.239778,8280.187753,8294.275193,8603.533068,8679.805215,8589.741096,8877.293563,9194.024635,9668.962695,9812.249773,9614.182055,9797.560547,10425.69741,9134.097584,9044.605338,9895.222822,10018.06981
Bangladesh,,,,,,,,,,,,10.49863053,10.33026738,14.93885028,16.6188883,16.75772644,17.05329272,18.01526735,21.16351276,20.69994141,18.4488337,22.02582314,24.90219971,28.37818208,31.22946788,32.25234352,36.49917469,37.88816,40.86819276,48.61645203,47.82753169,48.42879752,58.01782299,64.52705433,68.27157435,75.16502205,78.75759341,80.5392343,85.47322057,93.59311645,100.8737774,111.1783215,118.9215569,125.3071556,160.3426515,171.0411095,191.6079844,200.8028742,202.919556,220.804786,247.436774,258.6181558
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380.900972,4426.034923,3912.881754,3450.239281,3068.348489,2789.974495,2806.496063,2953.049323,3016.287615,3002.889885,2988.705647,3009.568896,3000.912316,3062.978463,3174.100719,3245.679396,3366.305706,3394.246862,3481.738035,3298.622068,3563.856691,3627.678666
Belgium,1576.338815,1627.51357,1753.143892,1880.993824,2062.994976,2163.960334,2255.188418,2357.58493,2596.177718,2830.593969,3031.521046,3217.045264,3612.355533,3941.603741,4134.390881,3887.477425,4247.40638,4404.824321,4623.389685,4906.085081,4893.885351,4910.953281,4904.070015,5043.975356,5285.543762,5502.668409,5617.419822,5876.962998,6057.062732,6205.76377,6380.31322,6655.414381,6850.663773,6881.072143,7176.240507,7379.737079,7527.688545,7701.612131,7913.05858,7944.129807,8247.677113,8267.187216,8311.892679,8411.900657,8576.223497,8509.997073,8683.671285,8614.491281,8521.49674,7903.029252,8387.616784,8021.366172
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,10.76737391,11.84483269,18.64907394,16.95688586,18.08174727,19.42907804,,,,,,,,32.42099843,,,,,,,,,,38.8816329,,43.87727445,47.3173648,44.29852747,51.33157214,57.41530954,,,,,,73.07248234,77.40462521,83.69279817,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
