"Electricity consumption, total (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,1164000000,1275000000,1363000000,1389000000,1778000000,2234000000,2684000000,2819000000,2790000000,3054000000,3064000000,3054000000,3045000000,2957000000,2361000000,4294000000,3583000000,3161000000,3297000000,1717000000,1301000000,1436000000,1684000000,1876000000,2057000000,2809000000,2143000000,2258000000,4366000000,4438000000,4097000000,4763000000,4466000000,5441000000,5186000000,3646000000,3603000000,4768000000,5379000000,5673000000,
Algeria,,,,,,,,,,,,1991000000,2184000000,2494000000,2756000000,3250000000,3760000000,4099000000,5050000000,5866000000,6349000000,7205000000,8305000000,8810000000,9604000000,10464000000,11211000000,10827000000,11779000000,13109000000,13693000000,14058000000,15130000000,15144000000,15545000000,16102000000,16697000000,17123000000,18674000000,19991000000,21211000000,22302000000,23280000000,25373000000,26288000000,29524000000,29013000000,30555000000,32900000000,30304000000,36402000000,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,556000000,628000000,738000000,922000000,979000000,439000000,439000000,439000000,472000000,506000000,506000000,540000000,587000000,502000000,604000000,604000000,607000000,611000000,614000000,630000000,667000000,677000000,680000000,684000000,687000000,736000000,1031000000,1126000000,1141000000,1234000000,1400000000,1507000000,1737000000,1642000000,2124000000,2916000000,2786000000,3740000000,4261000000,4730000000,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,21214000000,22812000000,24111000000,25290000000,26176000000,27118000000,28841000000,29589000000,33437000000,34693000000,33938000000,34803000000,36846000000,38682000000,38945000000,40841000000,44090000000,45993000000,42447000000,42534000000,44577000000,47289000000,50850000000,52546000000,57428000000,60910000000,65893000000,70947000000,74167000000,77016000000,79046000000,75910000000,83042000000,88272000000,93671000000,85363000000,93656000000,111235000000,110523000000,117375000000,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9633000000,9428000000,6757000000,4019000000,3433000000,3379000000,3865000000,4728000000,4068000000,4039000000,3983000000,3872000000,3751000000,3985000000,4322000000,4536000000,4851000000,5200000000,4854000000,4783000000,4967000000,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,18778721348,20432505463,21529655692,24115596565,26885596045,29821871676,32123590875,35313646498,37769247231,41477939776,45949112041,48725759770,51371448236,56991931939,62686201870,66415201539,68955526209,74713544259,77883802156,82365405264,87012989629,91694766538,96570212848,97610482555,104298300433,110805027890,117431538211,122897224804,129458422966,137005392481,145782796014,147609192259,149882721279,154259699448,157935832923,162963482024,166860668349,172118750207,183291609049,190169738207,195359711097,206156271931,211981009452,212890827934,218489752636,213370189562,218009582469,229178304237,228595751274,228954599566,226636263962,
Austria,12780099014,13327137687,14297099223,15236284327,16123325872,16755374402,17367933757,18010229160,19289735399,20917314259,22540443481,24091160688,25623631952,27337553321,28525324709,28301487550,30839181523,31345952913,32800968799,34318362999,35362025369,35438614444,35683607779,36425645817,38290886390,39920673911,40287917411,41993563375,43477067548,45005108451,46878160097,48997854270,48439067837,48113891117,48990045038,50346718050,52596560652,52775251013,53493493092,55670802192,56643499249,58948038387,60038185277,62593589365,63913087777,65676840128,68037558288,67976581868,68331974561,66586718874,70138363284,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18636164548,18862622430,16515791920,15537819213,15674648626,14819296326,14966017750,14295278286,16212346528,16253353339,16549760682,17254063818,17406671493,19726895423,20668074198,20674986339,21872882016,18682704614,18251745030,14692424403,14731979520,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,430000000,450000000,500000000,575000000,700000000,900000000,1110000000,1212000000,1474000000,1660000000,1814000000,2009000000,2216000000,2093000000,2429000000,2887000000,2708000000,2954000000,3093000000,3240000000,3163000000,3700000000,4044000000,4386000000,4550000000,4800000000,4955000000,5313000000,5563000000,5740000000,6203000000,6735000000,7465000000,8051000000,8456000000,9317000000,10763000000,10194000000,10777000000,12384000000,
Bangladesh,,,,,,,,,,,,710000000,710000000,1042000000,1178000000,1211000000,1261000000,1367000000,1651000000,1661000000,1522000000,1867000000,2168000000,2537000000,2867000000,3041000000,3535000000,3769000000,4174000000,5094000000,5136000000,5324000000,6523000000,7414000000,8013000000,9010000000,9640000000,10063000000,10895999913,12164000000,13354000000,14978999886,16293000000,17441000000,22645999837,24540000000,28101000197,29684000000,33268000000,36997000000,41466000000,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44946729699,45519653533,40296730574,35542074116,31582900681,28664842444,28750739169,30134043356,30637666972,30351763569,30059833545,29997523935,29718487691,30141595903,31033763274,31521845996,32477234790,32536721333,33445866492,31785575025,34196705336,
Belgium,14427080019,14992524810,16254545331,17549610309,19361082004,20417493755,21379118552,22443029745,24807521757,27145415973,29178111164,31078870577,35027346306,38355659293,40359373907,38049373381,41660273480,43276011432,45477912532,48295001114,48191542539,48354817510,48264876273,49616496078,51984797569,54146933975,55345561386,58014739960,59938597053,61574568637,63477857449,66396576876,68537253342,69031493749,72175247009,74386812530,76016044243,77889422512,80148624529,80619976557,83925756031,84418431200,85230355333,86668720955,88823886720,88624888109,90961395925,90786038899,90346331522,84253704870,89847063576,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,32000000,36000000,58000000,54000000,59000000,65000000,73000000,,,,,,,135000000,,,,,,,,,,225000000,,271000000,301000000,290000000,346000000,399000000,,,,,,617000000,674000000,751000000,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,760000000,815000000,832000000,889000000,948000000,1021000000,1131000000,1216000000,1296000000,1414000000,1516000000,1541000000,1508000000,1529000000,1514000000,1483000000,1505000000,1617000000,1733000000,1827000000,1967000000,2077000000,2286000000,2485000000,2680000000,2877000000,3082000000,3280000000,3453000000,3501000000,3558000000,3741000000,3874000000,4034000000,4367000000,4727000000,5114000000,5187000000,5458000000,6121000000,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13112000000,9202000000,4705000000,2887000000,3519000000,3673000000,4240000000,5173000000,6627000000,6867000000,7616000000,7768000000,7865000000,8403000000,8740000000,8998000000,8979000000,8965000000,11212000000,10803000000,11693000000,
Botswana,,,,,,,,,,,,,,,,,,,,,,546000000,604000000,623000000,661000000,710000000,837000000,978000000,863000000,908000000,990000000,1131000000,1262000000,1290000000,1381000000,1375000000,1448000000,1585000000,1728000000,1728000000,1592000000,2023000000,2252000000,2408000000,2526000000,2666000000,2737000000,2872000000,2956000000,2989000000,3184000000,
