"Residential electricity consumption, per person (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.6792645,160.61286,175.2909336,226.4959829,230.9184401,259.7132141,344.1591187,322.3998392,435.9686089,642.4885835,709.1422995,689.1757566,875.1723238,853.9403716,787.4904311,767.1641924,552.0788183,575.0199624,636.3413834
Algeria,,,,,,,,,,,,27.00098944,29.54303724,33.62950794,36.74031508,39.34971399,45.39544581,48.68884994,55.08244369,59.74767322,56.42813665,59.83443221,74.18817033,79.45927036,95.60988739,104.3877901,168.6510249,180.3811162,192.6752445,213.5429705,241.3841672,250.030945,270.7498833,264.7788662,276.5329833,283.7145257,295.1389157,293.8405673,324.7734762,352.8021823,372.6833429,390.1320551,409.7947783,451.4947263,465.4530347,532.7123192,504.2193227,531.5775376,590.5098143
Angola,,,,,,,,,,,,67.63171165,74.65475844,85.81259612,107.9301126,116.6035654,51.84176634,49.98729286,49.00880663,51.16226727,52.52029344,51.47998233,53.88360158,56.65400332,47.18808042,55.6717981,54.49705175,53.98324662,53.38468315,52.7793319,52.11497582,51.24136665,50.03196662,48.99649141,48.10009169,47.028692,49.07674377,67.25244617,71.99867705,71.62777913,76.14262327,84.92199502,89.37652366,98.35313183,107.1240207,122.6196309,134.4342257,147.2028157,172.9992274
Argentina,,,,,,,,,,,,216.7127768,225.7890357,232.9272753,237.6592353,255.3573063,280.6626782,282.8128537,291.7405746,303.8683489,312.4306647,310.4550839,294.449566,302.6875766,316.8361995,317.7745894,338.3711605,372.2889576,346.8892578,324.7655528,336.7431778,358.7814352,393.5753762,426.9340176,456.7365998,484.2415551,493.2140683,511.5072196,523.4574141,555.0196527,570.1638158,577.9781705,554.4013299,557.0581909,575.1486489,614.7354247,653.5445274,708.5799982,768.4282997
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.3073819,699.7665731,717.3471575,419.995315,310.3472256,208.9173674,353.9194652,794.8471984,578.6265864,531.0016472,512.1616299,487.9345816,496.4696873,533.4582998,549.6817234,577.7289983,574.2923331,594.7261824,603.7630576
Australia,653.7052889,712.0002389,745.9447013,799.0360954,854.6501753,904.5821244,963.0150176,1030.233258,1078.475913,1159.070781,1211.10313,1285.517194,1362.543157,1395.874661,1452.41631,1606.734402,1668.943236,1799.231016,1862.132072,1956.127631,1982.444776,2044.09022,2108.294231,2101.005001,2135.575677,2063.671433,2152.169496,2187.602616,2189.41031,2183.079836,2264.636139,2274.721465,2249.463962,2298.040299,2267.384207,2327.78711,2355.057382,2412.252815,2461.12379,2495.091793,2544.938408,2562.608114,2622.385556,2580.94499,2674.795387,2757.479592,2768.104419,2753.236783,2825.391095
Austria,245.239658,267.3244412,300.4805646,327.8268282,360.2630194,389.2934413,415.2580979,450.535318,489.2050857,535.2354955,591.2339191,651.4087095,729.433158,800.2900826,842.6267062,895.6733791,975.3887589,1013.338333,1078.436762,1110.748053,1161.620779,982.379625,968.2765232,993.5726031,1037.764609,1101.024417,1114.461977,1456.40952,1489.256333,1511.442705,1538.160061,1611.868276,1614.068121,1645.14018,1616.975567,1689.165524,1761.669317,1720.658278,1726.719044,1735.267734,1749.640347,1882.604364,1935.104805,2070.164552,2051.682779,2085.976441,2076.200464,2051.886978,2068.123309
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.7919845,,,,46.79129885,1025.4626,1277.47569,1456.090999,1309.18936,1334.728123,1542.783593,1513.162195,1422.530653,1732.99967,1039.68802,921.5621108
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,2782.891433,3232.094823,3419.97502,3425.515077,3500.216706,3532.054349,3625.201848,3290.359526,3757.113945,3984.187552,4171.618436,4256.501321,4524.342211,4466.51409,4886.539581,4965.286798,4861.023344,5055.445185,5371.192282,5606.205282,5805.855704,6261.069115,7298.922307,8450.897311,7314.355637
Bangladesh,,,,,,,,,,,,1.892679237,1.851680122,1.876955348,2.397343761,2.033064532,1.732669494,1.828043724,2.532543629,2.667389571,2.589110101,3.276349017,3.857823385,4.854919695,5.574101966,6.587471243,7.302172125,8.212399106,8.737415092,10.17746565,11.13061096,12.80428012,17.23195879,20.02998968,21.61035699,23.53039936,29.22401391,29.98545858,31.58101021,34.73257553,42.19871244,46.5284616,49.94382751,52.43337158,56.68186514,59.10862811,63.20804866,62.55764512,68.11522858
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.2194152,464.4240036,426.609436,434.8056332,442.0385699,468.2700818,487.8494189,514.0190807,536.827567,561.7262321,536.9106368,538.8308354,559.1510831,586.9988184,587.0789601,578.6206938,557.5659873,584.1264973,614.9072872
Belgium,164.9654797,187.033158,217.3219366,243.2814943,269.0779972,304.4546184,336.7315446,365.5761775,409.0498196,458.8506663,510.581834,562.5204652,629.9348755,780.8642631,853.2627552,947.2035856,1036.880112,1125.250871,1218.87303,1290.030074,1331.839802,1366.004433,1391.238459,1441.177754,1486.371422,1572.781072,1619.874157,1711.620877,1725.624195,1782.826395,1847.401126,1989.165607,2015.668527,2091.512664,2110.246559,2177.44758,2282.476851,2248.784993,2289.531286,2294.550447,2313.245957,2370.88538,2514.133166,2519.710401,2565.430004,2509.717048,2189.608176,2103.489097,1920.962215
Benin,,,,,,,,,,,,1.859574584,2.17319649,2.468426573,2.745447752,2.671059769,2.922349614,1.894120666,25.46658036,12.22350198,13.64794805,15.53933102,8.514266931,17.8754169,15.79907709,16.82868941,16.79120007,18.14743338,18.48614747,18.11980337,17.53922358,16.98445208,16.26253119,18.98995823,20.04968146,20.88062485,14.27349274,16.98272031,16.80655741,24.24350643,24.29539147,25.3528043,33.59503042,28.4947902,30.25373476,36.87246515,36.76129704,37.39076743,38.22294336
Bolivia,,,,,,,,,,,,42.43488876,41.62057105,41.67485234,43.79217887,45.58931904,48.23554647,50.79938327,55.53756257,61.39666351,65.98878062,71.42565927,70.55225741,73.91393435,79.88695117,84.93618211,92.21453152,100.0769902,106.0166311,108.6892366,109.8480293,112.1797066,116.3632497,121.4874732,131.804361,140.4697297,143.7434025,152.2399791,159.4180822,165.1148885,170.5280266,168.8161468,171.3721132,173.2111493,177.6995964,185.8569024,194.0488368,201.0417131,213.0616137
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.4610663,619.0704377,578.1097943,502.7433113,637.6341294,682.2547021,736.4505867,885.1052287,977.2359155,976.5179469,907.6194245,908.3935686,908.1159625,910.8014765,887.9561928,920.1533012,915.4841546,903.682208,927.1194974
Botswana,,,,,,,,,,,,,,,,,,,,,,31.04028304,34.01457417,34.78140345,38.36877651,38.93547329,38.57424744,37.35957067,48.82470624,58.75328388,62.52891046,67.61108499,72.26012838,89.49840123,104.4024839,110.4501533,115.7390939,123.6770242,111.2056743,119.6308479,128.2067416,206.1020651,225.145972,251.8462816,327.6516,345.1598699,349.4887223,416.1490204,454.7957053
Brazil,,,,,,,,,,,,93.94490476,98.51033366,105.7797351,113.2761667,121.4108132,133.3960403,149.9036976,161.758086,175.1394053,189.2285363,198.9721519,209.9508044,225.4982379,229.7588657,237.7216088,255.2351411,268.5492158,278.0951579,294.3838412,322.17059,332.5233467,332.5790144,338.4754234,347.6029046,388.8435373,415.889794,439.5477599,464.4014006,469.1782869,475.6861898,415.0889983,404.4432874,418.3684904,426.8912028,447.0835828,456.32845,478.3803435,498.1653052
Brunei,,,,,,,,,,,,519.7793897,501.8571025,482.2800854,470.2833113,454.56034,439.3648299,424.6769448,410.4784971,396.943415,529.1957672,700.2209188,812.3065354,946.0650776,1004.790769,994.6616715,975.1811007,1266.389527,1288.313601,1289.38045,1293.944037,1279.016989,1311.886402,1378.118284,1450.958151,1553.17894,1587.509368,1709.693044,1602.797701,1520.127425,1555.087581,1391.188321,1108.783806,1270.830611,1295.232977,1058.303421,817.1319088,874.6473968,3067.498901
Bulgaria,,,,,,,,,,,,331.2298529,376.3416035,423.1130645,474.0017526,526.1967204,593.136792,629.0760601,663.0539773,738.819255,774.0385873,789.3688001,899.8371363,954.1255924,1057.953989,1068.221768,969.6156169,1052.91399,1106.29711,1132.899959,1177.856121,1186.324251,1154.910517,1187.272655,1174.113702,1327.304135,1407.674413,1225.35444,1322.402918,1281.709078,1261.083423,1260.303812,1214.815878,1227.225398,1166.747819,1214.38986,1260.150633,1280.604879,1380.869289
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.205288968,10.57174807,13.41160567,15.4037414,13.48390263,17.08919161,18.82899231,20.34913764,20.44414627,24.41400765,28.01830513,34.08044,43.3849774,51.58131958
Cameroon,,,,,,,,,,,,6.405583266,10.25675442,11.00553395,11.5727316,12.63268245,13.99011673,15.32965195,17.30578634,19.40900053,20.46971251,21.39014227,25.08334224,26.15601872,26.5965859,30.61496066,28.89217678,30.61586078,29.71938068,29.20491173,26.91807358,26.31964914,27.2765329,27.16225002,22.41839899,21.40435427,23.18308918,24.659602,27.16526283,26.86857092,25.40882032,24.84840132,28.6931955,30.46032495,32.94401319,30.49736369,46.31557246,43.97192339,59.55124498
Canada,902.2925636,1005.816814,1004.402378,1037.521412,1154.737713,1270.961024,1469.125479,1534.154936,1633.687411,1794.190345,1969.137257,2231.49701,2152.466173,2303.169433,2592.631733,2763.539589,3011.576322,3219.805898,3283.999858,3303.899383,3449.893639,3504.445948,3606.607353,3766.4647,3910.274259,3999.278041,4163.008116,4204.382306,4485.837869,4743.63383,4672.600433,4602.430132,4636.800983,4579.179966,4541.855478,4444.231099,4511.610371,4438.523885,4222.978188,4306.260603,4420.30991,4439.816071,4471.991627,4595.774797,4645.187687,4603.352804,4441.577067,4578.792124,4772.370648
Chile,,,,,,,,,,,,89.32146145,108.3804414,119.0517828,118.7128523,124.3939204,122.4313324,135.687446,145.47467,152.7352767,161.0209922,169.3221349,170.3955059,154.4749588,138.1661903,165.4436685,190.0856292,200.7044155,198.2605073,191.6452114,329.9709608,340.3719827,364.6867316,390.0393211,419.0021828,443.7124346,488.9717259,360.2035626,387.5352253,398.9931556,407.9673329,450.71448,462.2357809,468.7152904,495.1612369,518.4617198,529.7770087,546.7451008,532.5151772
China,,,,,,,,,,,,5.754181725,6.183032168,6.613885026,6.556408463,7.474105206,7.633386742,8.28169458,9.383960697,10.17618549,10.72311281,11.87502478,12.04878329,13.41994766,15.34768529,11.65722047,13.85714189,14.97453625,17.64975464,20.12609109,42.36195369,47.24602861,54.94692567,62.55920337,72.75554541,83.47568831,93.07576257,101.8942395,106.6672902,118.2250468,132.4403099,144.6366365,156.3402261,173.7381906,190.2345427,216.8014817,248.1008711,274.7712547,331.376632
Colombia,,,,,,,,,,,,153.488479,158.7482368,141.9028289,132.1370545,170.1380213,184.1887329,188.6416761,216.108226,239.6818897,257.8445726,256.4584782,285.1621249,290.5832889,303.8656062,314.123381,325.3152217,340.8091875,348.3443408,371.9254171,382.4955997,387.9140573,350.3860631,378.6726611,396.0672495,403.2601147,398.9247761,391.1975602,315.5763521,297.1871324,280.5044644,358.6821342,351.2854272,363.9936294,373.3054419,378.4704597,387.8381654,398.4206957,404.5913654
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,28.56267037,30.21592569,29.29408505,31.67046532,29.85641065,31.87830263,31.00423066,33.84402386,43.1149637,49.61812527,49.43737274,48.20260729,46.14250516,41.76448225,24.50264324,29.12214755,31.41752561,35.16988398,23.62393052,22.74733818,21.37248435,21.17580821,20.76997823,21.15441989,23.68662757,22.74910086,22.17812066,23.16391671,25.44619822,25.71042989,41.99569806,31.81354291,30.70924355
