Natural Gas Production per person (tonnes oil equivalent),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Algeria,0.1636538331,0.1676271336,0.2062898137,0.2658950774,0.2984693226,0.3564380531,0.4355976194,0.4043070742,0.6081160852,0.9670359714,0.6783451356,0.7826542909,0.9854369274,1.375901783,1.326957614,1.401370837,1.44983747,1.593165775,1.621681053,1.704526206,1.767135371,1.863800556,1.894033521,1.87585752,1.688335603,1.881380314,1.962191179,2.223065721,2.3348589,2.583446279,2.498281776,2.282416055,2.311812309,2.350591553,2.297216088,2.440623348,2.308535983,2.290337062,2.307508662
Argentina,0.2261050509,0.2403153923,0.2246184483,0.2404220989,0.2543439772,0.26543332,0.248800661,0.2524845622,0.256156353,0.2332093313,0.2663395677,0.2723918523,0.3002926857,0.3968221612,0.4012492173,0.4075297785,0.4481800308,0.4312019025,0.5036935188,0.5249308684,0.4862183327,0.5355672072,0.532437004,0.5628272807,0.5748837497,0.6374492018,0.7282345633,0.6806531187,0.7267538644,0.8392173584,0.8978944004,0.8815673152,0.8478489319,0.9534132833,1.031862431,1.038673155,1.039280937,1.00044844,0.9748423127
Australia,0.1236951192,0.18064187,0.2546103058,0.3183761323,0.3573765911,0.3789738153,0.4427437031,0.5000674999,0.5317715425,0.6047746829,0.6852126793,0.7273879836,0.6972379184,0.7470685679,0.7279484447,0.7678470766,0.8267393333,0.8316290167,0.838125142,0.954992585,1.095808616,1.131506335,1.207929744,1.24752052,1.415784228,1.478458113,1.461624482,1.444742738,1.455874431,1.459228151,1.463582372,1.510208345,1.501320524,1.51338051,1.59352034,1.663275816,1.727074338,1.759802695,1.671320114
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.715095155,1.634614791,1.481092317,1.389419246,1.273030323,1.119934643,0.9584291314,0.8679148292,0.7387369026,0.6883279886,0.7045034062,0.6691288094,0.6350223382,0.5912115691,0.6322282544,0.5946152656,0.5812507431,0.5371608144,0.5333369771,0.5171010315,0.5900776469,0.6919009814,1.100434697,1.642328553
Bahrain,2.546198239,3.61619523,4.406412478,6.034053486,7.159452854,7.229828161,7.165800023,7.151743385,7.24572527,7.709703336,6.050614556,5.365589238,8.146213823,8.210736295,8.143880945,9.574242246,10.57203178,9.931546022,10.2154706,10.29103263,10.44006106,9.66745207,10.99168824,11.45960095,11.4291445,11.33000023,11.40010955,11.98374101,12.34840782,12.53384814,12.44052941,12.72930964,12.96776189,12.98637068,12.95498063,14.00285613,14.59625242,14.97266337,16.84928568
Bangladesh,-,0.005460335853,0.005342054355,0.007216698397,0.00769957867,0.007579998822,0.009765364344,0.0105559851,0.01129793485,0.0126093354,0.0137833947,0.01612511857,0.01867323225,0.02059038073,0.02350126593,0.02560330853,0.02858438201,0.03320989935,0.03631425496,0.03936681027,0.03898197534,0.04253329141,0.04539834759,0.04792646533,0.05081015856,0.05573620249,0.05620958935,0.05531349852,0.05572069624,0.05828363807,0.06889222182,0.07261525534,0.07595638965,0.080116601,0.08418695293,0.09048387375,0.09355980774,0.09735118445,0.1013666372
Bolivia,-,-,0.2102555656,0.3162445194,0.3229613197,0.3107248293,0.3176112406,0.3269867843,0.3145281252,0.336025227,0.4033963955,0.422165092,0.4303267648,0.4062791833,0.3842796377,0.3743933169,0.3745851507,0.3844798777,0.398207018,0.4108585605,0.4102587505,0.3982777052,0.383033984,0.3733855669,0.3936322375,0.3847815967,0.3803672295,0.3140387314,0.3232773619,0.2537636545,0.3566103903,0.5109146321,0.523061209,0.6670563119,1.007032428,1.209149378,1.291250595,1.363337512,1.354864976
Brazil,0.000741187449,0.001145966358,0.001520873778,0.001696413969,0.003182440326,0.003380678031,0.003798884118,0.004614204963,0.005925310527,0.006336347994,0.007231404589,0.006335676254,0.008840051327,0.01168855706,0.01332783505,0.01639312395,0.01870921937,0.0204851645,0.02021322234,0.02033548401,0.01820601439,0.01862755806,0.02076832038,0.02394564246,0.02574145859,0.02796748229,0.03009632894,0.03227954856,0.03333694693,0.03861563192,0.03840178062,0.03873470135,0.04623754793,0.04964491965,0.05398575301,0.0534297497,0.05429214834,0.05344762075,0.06495582861
Brunei,1.544443922,1.427306197,2.833922261,12.06172074,25.17218543,31.90311286,40.67414896,45.11529997,42.73988439,43.29817383,41.9771083,39.03936608,37.69526942,38.03952385,37.25037321,35.12930545,34.06370915,32.87771343,33.08682823,31.44644047,31.11491564,30.66831655,32.06784045,33.00141338,32.3021871,35.57887519,34.33966586,33.48928286,30.16451391,30.71624633,30.2280781,29.84696773,29.39030715,31.05015945,30.14194075,29.02751899,29.81559334,28.53367692,27.75960422
Canada,2.3466222,2.533323648,2.827077116,2.992087591,2.889655383,2.90910501,2.896226215,3.006757325,2.872655109,2.999147338,2.736598992,2.611807229,2.708724342,2.522204719,2.737979441,2.921755019,2.716247262,2.913205799,3.320966135,3.46581505,3.517230286,3.658825078,3.974002912,4.314734831,4.615745724,4.855168314,4.973359381,5.00651871,5.09627697,5.140125734,5.243900868,5.312177884,5.299937609,5.15997165,5.086163125,5.141870117,5.122826622,4.962925134,4.680933487
China,0.003156486194,0.004001878481,0.005053188404,0.006102455949,0.007527072805,0.008691666803,0.009766999576,0.0115617597,0.0129235017,0.01347671065,0.01308860772,0.01153682457,0.01073398375,0.01073891221,0.01078967039,0.0110718907,0.01160865775,0.01153191548,0.01165000953,0.01210754034,0.01212859578,0.01211439198,0.01219859739,0.01280379145,0.01325946964,0.01340601151,0.0148680547,0.01661093836,0.01686972346,0.01810295074,0.01938787228,0.02146172898,0.02295759138,0.02445940702,0.02879757777,0.03406123694,0.04020197048,0.04725623631,0.05160604547
Colombia,0.05450390296,0.05656453479,0.06676162639,0.06484828211,0.06434005457,0.06058676603,0.0623058375,0.07061333017,0.08832259766,0.09884426354,0.1072121379,0.1124841542,0.1160108518,0.1217708104,0.1203324123,0.1219068619,0.1222680203,0.1217210366,0.12244623,0.1108125862,0.1130602757,0.1101775998,0.1063073315,0.1093230559,0.1050613022,0.1093137673,0.1145221435,0.1416704043,0.1470268457,0.1195147246,0.1343558523,0.1361111103,0.1352899261,0.1311744617,0.1350723072,0.1403294652,0.1451015741,0.1534472065,0.1817368144
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0408872414,0.1975090008,0.3345354215,0.4257830664,0.4203125597,0.5387140574,0.5491198715,0.6881924246,0.7144838924,0.7812618414,0.8437007202,0.9088279429,1.098156146,1.338821382,1.283982872,1.311970338,1.374763743,1.408540718,1.40364538,1.328897778,1.567851358,1.730820724,1.719563737,1.518062881,1.655788086
Egypt,0.002278547113,0.002237889857,0.001835815625,0.001445868134,0.001491040791,-,0.009062725988,0.01067454266,0.01664148746,0.02443179237,0.04601937669,0.04968763763,0.05260299334,0.05981777556,0.07452087434,0.08864713149,0.0990823774,0.1070473563,0.1152815676,0.1260522312,0.1281078614,0.1405592169,0.1487823733,0.1674605427,0.1756947157,0.1776644515,0.1849933145,0.1850779651,0.1863837472,0.2189187467,0.2681142301,0.3154313304,0.3351403952,0.3625593704,0.3901866302,0.4935117335,0.6240571404,0.6244475845,0.649016476
Germany,0.1278425753,0.1584844122,0.1884089005,0.2111077081,0.2215379993,0.2023326077,0.2141280119,0.2175771726,0.2329565081,0.2336411134,0.2129048052,0.2197525236,0.1973313016,0.2115930596,0.2232728249,0.2018667539,0.193286918,0.2143381987,0.1925527343,0.1800497868,0.1805609582,0.165407577,0.1665803036,0.1647309963,0.1721076446,0.1770403502,0.1911817375,0.1876941666,0.1833251259,0.1956874011,0.184820373,0.1863623884,0.1857179767,0.1932199448,0.1787351154,0.1725573231,0.1704850771,0.1562075293,0.1423347376
India,0.001093813309,0.001131904332,0.001213095238,0.001182801724,0.001309401349,0.001637644152,0.001947701613,0.002034227129,0.002222916667,0.002697966867,0.001560419735,0.002673013006,0.003425211864,0.003990871369,0.004471684709,0.005353807947,0.007325311284,0.008256220812,0.009467373913,0.01102336861,0.01292009535,0.01410331542,0.01547863761,0.01539245455,0.01632956828,0.0182351068,0.01956568505,0.02091721064,0.02257858154,0.02274591178,0.02353450226,0.02322863256,0.0240096298,0.02532246643,0.02470318477,0.02467979163,0.02406212808,0.02437318932,0.02445599391
Indonesia,0.009608424391,0.009529602595,0.009119242757,0.00579378938,0.007971635443,0.01609400063,0.01586682371,0.03725726824,0.06991189616,0.09897898735,0.1133303854,0.1125194826,0.1119842445,0.1250965695,0.1651195499,0.1779037105,0.1818810429,0.1909248801,0.2048707442,0.2117478004,0.2212517815,0.238772513,0.2486721712,0.2538822009,0.2842642989,0.2805970116,0.2922858231,0.296647643,0.2883665493,0.3091302199,0.2844331709,0.2729960651,0.2970296835,0.3072479802,0.2929574379,0.2933178999,0.2861016557,0.2722722336,0.2772730505
