Oil Consumption total (tonnes per year),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Algeria,1289000,1693000,1578000,1682000,1775000,2032000,2288000,2514000,2739000,3036000,3378000,3877000,4400000,4521000,5420000,5469000,5889000,6245000,7011000,7760000,7966000,8078000,8158000,8168000,8553000,9156000,9069000,9113000,9079000,8670000,8433000,8060000,7986000,8217000,8110000,8498000,8795000,9744000,10134000,10598000,11039396,11519500,12904556,14012890,14900000,14900000,
Argentina,21952000,22678000,23224000,23733000,24671000,21942000,23491000,23162000,23189000,23125000,21912000,22901000,23963000,23384000,25229000,22920000,21598000,20919000,21151000,21053000,19012000,20480000,21772000,21764000,19765000,18308000,19357000,19619000,19572000,19428000,19489000,20362000,21165000,22070000,20994000,20270000,19109000,17107000,17558000,18401000,19676875,20555955,23192795,24219411,23700000,25700000,
Australia,16902000,18120000,19812000,21892000,23425000,24451000,25803000,25784000,28206000,29042000,28581000,29770000,31017000,30794000,31269000,29691000,29216000,28416000,27260000,28503000,26986000,28160000,28681000,29943000,31063000,31580000,30812000,30888000,32684000,34046000,35289000,35925000,37040000,37033000,38024000,37711000,38106000,37970000,38275000,38791278,39838432,41414188,41732248,42461108,42200000,42600000,
Austria,5534000,6068000,6491000,7513000,8253000,9071000,10127000,10923000,11831000,10581000,10682000,11617000,11107000,11998000,12504000,12188000,11046000,10469000,10113000,9820000,9835000,10377000,10670000,10561000,10381000,10786000,11624000,11326000,11411000,11265000,11268000,11643000,11860000,12311000,12064000,11789000,12802000,13040000,14136000,13755000,14170000,14195000,13394000,13421000,13000000,13000000,
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8201000,8599000,8099000,8300000,8099000,8501000,8201000,7995000,7985000,7254000,6573000,5932000,5642000,5942000,5722000,6325000,3991000,3665000,4272000,4579000,5347000,4868500,4496000,3340300,3200000,3300000,
Bangladesh,-,-,-,-,-,-,-,757000,876000,967000,1119000,1207000,1187000,1286000,1419000,1592000,1603000,1467000,1336000,1588000,1716000,1710000,1680000,1845000,1999000,1909000,1696000,1823000,2085000,2176000,2850000,2893000,3319000,3696000,3284000,3217000,3877000,3876000,3991000,4029000,4554000,4491000,4540795,4639436,4800000,4800000,
Belarus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25200000,29799000,29499000,28599000,26800000,24801000,24000000,20503000,14523000,11807000,10413000,9849000,8822000,8597000,7553000,6976000,7279000,7078000,7191000,7437000,7070000,7969000,7613000,7704000,9300000,6600000,
Brazil,14878000,16218000,16759000,20139000,22109000,25184242,27956617,32147765,39803983,42979446,44451496,47899835,49259178,54222043,57661934,56375581,53851339,54758250,53257560,54457372,55964326,61853544,63277211,64920076,66019054,64257071,65097002,68029789,69083495,72354429,76103573,81296653,86828909,90021681,92530301,91601176,92890487,91625870,87796909,88365684,90146078,92823289,99785100,105346207,107000000,116900000,
Bulgaria,3702000,4226000,5316000,6300000,7736000,8986000,9889000,10282000,10849000,11284000,11965000,12431000,12927000,13315000,13726000,13972000,12457000,12064000,11634000,11167000,10362000,10921000,10491000,11130000,10845000,8826000,5886000,5964000,6179000,5780000,5581000,5612000,4426000,4799000,4453000,3921000,4030000,4508000,5223000,4743000,4932000,5221000,5289505,5416928,5600000,4200000,
Canada,53835000,56711000,60566000,64477000,67135000,71614000,73523000,77395000,81651000,83008000,81128000,85436000,86309000,87957000,91501000,90104000,84228000,75363000,70490000,71215000,71198000,71388000,74148000,77968000,80989000,79812000,75284000,76783000,77114000,78448000,79774000,82127000,85228000,86744000,87191000,88065000,90534000,92221000,95918000,100640000,100337000,99601425,102826840,102029609,97100000,102300000,
