"Crude oil production, total (toe)",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,26481000,33872000,39076000,42904000,44784000,48208000,37099000,50098000,50888000,47355000,45754000,50602000,54054000,57737000,57550000,51750000,46830000,46847000,45866000,49472000,49997000,51796000,52639000,53569000,54656000,57477000,57680000,56630000,56670000,56378000,56596000,59342000,60326000,61779000,63930000,66787000,65751000,70894000,79005000,83551000,86437670,86202000,86482000,85620176.33,77846911.84,75501136.02,74311461.46
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,655000,631000,537000,750000,2458000,5065000,5721000,7057000,8175000,8541000,7791000,7564000,7062000,6469000,7200000,7428000,7158000,6410000,8790000,10074000,11452000,13926000,17506000,22320000,22642000,23380000,24514000,27153000,24810000,27424000,31173000,35364000,36500000,36000000,36700000,36850000,36550000,44600000,42832728.75,54464208.1,69039863.29,69636346,82529385.16,93478517.67,89062415.65,91973211.88,85242442.65
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,13764758.62,14643965.52,15962275.86,17487586.21,18106758.62,20000517.24,21570862.07,22218034.48,21601172.41,21144758.62,20260551.72,20414137.93,22061965.52,23209862.07,24278103.45,25267034.48,25736379.31,25571310.34,25667310.34,25141758.62,24158620.69,22868655.17,22572586.21,23719758.62,24229965.52,25436551.72,25882000,29040448.28,31067827.59,34511000,37456931.03,40816000,43385586.21,44028068.97,41819206.9,40434724.14,41537000,40901517.24,40243000,37788862.07,36242271.93,35767237.6,34943078.31,34123831.95,33776045.03,32549586.72,30285118.27
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,346205.9621,445121.9512,1038617.886,1934146.341,2225609.756,8704607.046,15255403.7,16280005.61,20394430.43,20178605.97,21621841.42,22140930.75,23424755.86,23190853.66,23276296.61,21838752.45,21271030.74,20974282.78,20416771.8,26683010.93,30846030.28,27577607.23,29282304.92,27780309.78,26203237.78,30358272.12,28735248.34,28268874.12,26397488.32,28385512.1,26683730.73,28218767.59,30059238.86,28607817.26,27837636.9,37488809.24,34526994.3,34307550.04,29707666.72,25920027.91,25584379.17,23799354.19,24706645.67,24356721.69,22575003.94,24627235.19,21046398.79
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13230000,13050000,13910000,13740000,13160000,12500000,11773700,11195700,10251300,9562800,9161700,9100400,9027000,11449000,13851000,14069000,14979000,15429000,15526000,15641000,22399600,32468100,42784100,44748500,50629100,50838200,45610500
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,5033297.314,6147396.151,7738965.918,8504936.006,9277483.36,8800012.43,9202844.226,9015266.8,9149791.901,9521158.18,9323862.069,9083418.524,8740286.488,8687234.162,9005548.115,9881383.641,11530472.94,14055397.75,17837026.06,24917893.42,29422190.46,30963912.99,30776495.59,30091187.49,32152650.96,34094000.2,33701047.11,34170429.19,34778455.69,36240694.87,37567003.01,42447811.23,45503265.04,52622155.37,59479369.69,66770624.46,70107762.83,78604374.5,81347918.81,80781086.85,89325722.55,94202443.09,95499749.33,99242816.52,106040479.9,111706749.8,114553898.2
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,3964974.114,4760614.441,5158434.605,6070114.986,6152985.014,6749715.259,6401622.616,9061940.599,11434147.14,9740228.883,9166771.117,10621479.56,11102961.85,11736192.1,12740787.47,11715291.01,8464220.708,8676358.311,8676358.311,8351082.834,8102900.545,7993400.545,7496125.341,7254080.109,7221032.698,7320487.738,7930445.504,8849720.436,8464220.708,8663130.79,8464220.708,8015300.272,7893945.504,7595580.381,8851995.913,9424749.319,9896273.842,10244366.49,10456504.09,10274533.18,10055538.34,10769212.83,9461267.616,8526874.074,8190949.14,8394330.425,8073609.849
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,43874177.67,48212154.15,52701139.99,57119336.17,62218043.3,70067889.12,75163773.19,86713147.29,100314611.8,94386547.79,81575800.4,75304625.88,75574321.45,75189874.99,86274567.44,83269484.92,75361602.9,74564140.12,78560493.01,83815669.42,85685227.41,85736020.94,90294386.27,95094967.56,92620480.9,92757850.32,93214508.29,97159778.25,102281144.9,106692146.3,111906322.8,115453527.3,120704141.8,125087903.9,120996749.3,126951012.3,126077513,134995722.2,142636369.4,147570960,144925244.9,153351127.1,158581876.4,155900148.2,156064379.2,164368924.5,172629141.5
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237410.072,8834532.374,9107913.669,8043165.468,7539568.345,6690647.482,6187050.36,6402877.698,5971223.022
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
