,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.340000004,,0.529999971,,0.68,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.860000014,,0.569999993,,0.800000012,,1.230000019,,1.44,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150000006,,0.200000003,,0.400000006,,,0.310000002,,0.270000011,,0.219999999,,0.319999993,,0.32,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379999995,,0.300000012,,0.189999998,,0.389999986,,0.5,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.560000002,,0.560000002,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.790000021,,0.600000024,,,0.939999998,,1.070000052,,0.629999995,,0.629999995,,0.62,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49000001,,0.550000012,,0.419999987,,0.680000007,,0.96,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.460000008,,0.569999993,,0.5,,0.850000024,,0.93,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.149999976,,,1.039999962,,0.819999993,,0.839999974,,1.320000052,,1.32,
