Earthquake affected,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,0,0,0,0,0,0,90050,0,0,0,0,0,38500,34515,36,0,0,0,0,0,0,7154,14,0,100490,0,3250,5,156776,92030,0,274,102091,1002,1042,507,936,0,0
Albania,0,0,0,0,0,0,0,0,0,385,0,0,5006,0,0,0,0,0,690,0,0,0,0,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,933042,0,0,0,0,30,0,3153,257,12206,0,0,2250,0,12960,0,0,0,0,15197,0,0,0,212736,315,0,323,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,45244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,0,0,0,0,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127,0,0,0,0,5025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700011,9171,3325,0,0,0,0,0,0,0,0
Azores,0,0,0,0,0,0,0,0,0,0,21969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,101,0,0,0,0,0,0,0,223,0,15206,1000,0,0,2527,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18145,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0
Bulgaria,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,3063,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0
Chile,0,2349058,0,0,0,0,0,0,0,0,0,0,0,1528,0,1482455,0,5117,0,0,0,0,0,0,0,1836,0,53106,0,0,0,0,0,0,0,27656,0,25167,0
China,10000,0,0,0,20000,10000,406000,0,0,4186,0,26000,15,18734,0,16610,290,194169,1321363,246084,64462,283351,16000,142650,6646,1025564,5311713,775256,1185000,3036807,2105059,503132,65880,3147259,436934,634025,411571,332,47174203
Colombia,3436,0,0,0,0,0,0,0,0,12460,0,10,0,36450,0,0,0,0,0,0,0,869,1646,3073,37687,18256,0,0,0,1207119,432,0,0,0,8539,0,0,175,0
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13044
