Flood affected,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,0,0,250150,0,0,0,80051,0,271804,0,30000,0,0,0,0,0,0,0,161000,0,0,140593,4600,0,0,7527,9925,20820,330,500,0,0,5626,3889,4516,18613,33257,30551,1180
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35011,0,0,3504,0,8000,0,0,0,0,66885,0,2500,503,0,0,0
Algeria,0,0,0,146021,20011,0,0,0,0,30000,0,93,8551,0,1524,15026,0,0,0,0,0,0,2279,38,31240,0,105,3004,0,714,249,46344,2353,91,27587,1832,60001,1387,59139
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,79057,39990,8,840,333728,10000,225,46105,81407
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,36,0,0,0,0,0,0,2500,1600,20000,40041,0,50000,6080000,0,1206037,204003,12000,4600025,0,2021,0,88119,0,0,2500,0,12500,360019,0,37853,251301,12008,163027,6312,0,4500,135010,85000
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7004,144,0,0,0,0,0,1,0,0,0,0
Australia,0,27,0,12012,14,0,10000,0,7,0,0,2,0,0,36,0,8,0,16,9,6012,0,0,20531,0,0,13231,400,15195,0,600,4005,0,471,3623,3003,1100,5009,4205
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,2,0,3,0,3,0,0,60009,0,0,904,516,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658805,0,75011,0,0,0,0,0,31500,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,10000000,0,50,427,38028700,0,4000168,213663,400017,0,10000655,0,308000,7160245,30001200,500034,400030,29702280,45002440,200180,2011831,2990265,75217,15751807,395216,14719072,5828374,900109,15001100,495616,2679241,700009,1500010,550252,36872461,1150055,211775,13852670,617916
Barbados,213,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,2002,0,0,0,0,0,0,0,0,0
Belgium,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,135,0,0,0,141,0,0,0,2402,0,0,210,0,0,0
Belize,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0,0,0,0,38001
Benin,0,0,0,0,0,0,0,0,0,0,0,0,580000,0,0,475061,0,0,84000,0,0,3,0,0,34000,123020,148738,51000,420000,57472,0,0,0,0,0,0,0,10894,158250
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,0,0,0,0,1200,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,18031,0,0,90010,178040,0,15000,0,30000,50250,3000,475,310029,20025,0,0,0,0,40054,0,0,0,0,190056,0,1600,7040,357291,5222,57603,0,0,126625,824610,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,278000,3100,0,0,0
Botswana,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12015,0,0,0,0,0,0,5520,0,0,0,0,138779,0,0,0,4960,0,0,0,0
Brazil,104543,13239,0,20,325205,828118,0,131062,1026,1500300,271067,52397,0,3338443,391763,612101,8363,10607,3072389,1034081,2824,17020,147600,0,0,33910,7015,62290,47513,7,87048,11131,3517,206236,5289,41047,116020,206421,1790659
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,1,0,0,12239,0,1082,0
Burkina Faso,0,0,0,0,0,0,0,900,0,0,0,0,0,0,1500,572,0,0,33340,0,0,0,0,0,66522,0,0,0,0,1566,0,0,0,12120,0,0,25610,121095,4876
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3612,0,0,0,0,0,0,0,0,0,0,500,0,8000,0,10000,5000,14827,25706,3284
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900100,0,0,29506,0,1300059,0,0,660386,3448400,1669238,1470029,0,0,16,38005,19002,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,202,0,0,6,0,0,0,0,1024,503,1530,0,0,0,2,0,10304,25009
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,1,2,0,8,0,0,200,0,5600,12010,29004,3103,0,0,0,0,2474,1000,5604,3901,500,2400
Canary Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,446,0,0,0,0,0,0
