Storm affected,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,22916,71,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125006,0,0,400002,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10107,0,0,0,0,0,0,0,0,0,0,0,14,0,0,13,0,15,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23060,0,0,0,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8032,0,0,0,0,0,68704,0,0,2027,5959,0,0,0,0,0,0,0,0,25800
Argentina,0,0,0,360,100100,20,0,0,105,0,0,0,0,0,0,0,1001,1001,0,0,0,0,0,8015,0,6006,0,0,4000,0,431,2670,5003,912,0,263,0,0,0
Australia,13,3,0,0,45716,0,0,0,105,15,0,0,1,0,0,27,1019,0,1,4,0,408,122,12070,2860441,431777,622813,0,0,10704,1351,209,129,2071,648,1201,9030,822,12001
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,4
Azores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1704,0,0,0,0,0,0,1,0,0,0,0,9012,1501,0,7001,3000
Bangladesh,3948427,163,25200,51900,2800,0,247,11234,1130,203,1061,2038085,0,6035,0,1846421,2723284,12,10575124,104815,59263,15578136,10323,868472,659214,2374323,119317,3803827,230565,101638,146698,28988,101522,480,18439,35783,18303,8983041,0
Barbados,0,0,0,0,0,0,0,0,0,0,5007,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,881,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21395,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,806,0,0,0,907,0,0,5,0,0,0,0,4,0
Belize,0,0,0,0,70000,0,0,0,6005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60009,0,62584,20030,0,0,0,3,0,20000,10007
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12105,0,0,0,0,0,6655
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,0,0,0,0,0,4,0,0,0
Brazil,0,0,0,0,0,0,0,110,0,0,63,0,4333,0,210,3022,0,0,0,45036,0,0,0,0,2000,0,0,679,0,0,0,3413,0,0,150064,346,0,0,1603
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,850,0,2,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30810,0,0,0,0,15500,0,1505,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
Canada,10,0,0,0,0,354,0,0,0,0,0,0,0,0,0,1312,2400,276,0,0,0,0,0,0,1304,2,0,1,2028,4207,851,41,0,202,0,300,0,6,0
Canary Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,2225,0,5529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,2,0,0,0,0
Central African Rep.,0,0,0,0,0,0,0,0,0,0,0,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3003,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0
Chile,0,90000,0,0,0,0,0,16815,0,0,0,0,0,0,323300,0,30822,0,0,0,0,0,38000,0,0,0,0,2254,0,0,0,2402,0,0,0,157,0,0,0
