Tsunami affected,1979,1980,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Bangladesh,,,,,,,,,,,,2,,,
France,13,0,,,,,,,,,,,,,
Honduras,,,,,,,,,,1720,,,,,
India,,,,,,,,,,,,670901,,,
Indonesia,562,0,,,,,,,,,0,698606,0,36345,
Kenya,,,,,,,,,,,,1,,,
Malaysia,,,,,,,,,,,,5143,,,
Maldives,,,,,,,,,,,,27316,,,
Myanmar,,,,,,,,,,,,15771,,,
Papua New Guinea,,,,,,12049,,,,,,,,,
Peru,,,,759,,,,,,,,,,,
Seychelles,,,,,,,,,,,,4833,,,
Solomon Islands,,,,,,,,,,,,,,,2436
Somalia,,,,,,,,,,,,105381,,,
Sri Lanka,,,,,,,,,,,,1054705,,,
Tanzania,,,,,,,,,,,,10,,,
Thailand,,,,,,,,,,,,75352,,,
Vanuatu,,,,,100,,,,,,,,,,
