CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02301330166,0.03266133509,0.03603851472,0.03130645762,0.02800915354,0.0258667466,0.02847997691,,,
Albania,,,,,,,,,,,,,,,,,,,,,0.4562993716,0.6126781333,0.5924547348,0.6118536958,0.635389217,0.6286611843,0.6084056366,0.566623153,0.5657246773,0.631580692,0.5821475251,0.4384956078,0.2840336556,0.2543777483,0.1933461587,0.1846001972,0.1635527427,0.1394122392,0.1404503376,0.2177698393,0.2054413675,0.2047858668,0.2310916914,0.2500458045,0.2203740172,0.2400650934,0.2102334417,0.2102186473,0.1819315636,,,
Algeria,,,,,,,,,,,,,,,,,,,,,0.5561574255,0.3769590299,0.2995922143,0.3809106763,0.4873656161,0.4811017802,0.5021677626,0.5577104336,0.5621897117,0.5134681603,0.5020656317,0.5246733054,0.5204772718,0.5330163,0.5631344318,0.5949321224,0.5828097806,0.5264922506,0.6082103947,0.5070062742,0.4735399011,0.4424461974,0.4554730262,0.433950164,0.3989485053,0.454387465,0.4462098484,0.4551687296,0.4388333104,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,0.1620643502,0.1562974537,0.1807540723,0.1509867037,0.1468378361,0.130244398,0.1299711421,0.1412448233,0.2462617695,0.1595752563,0.4091065431,0.3505049566,0.2285591626,0.211871013,0.2571198663,0.2600975391,0.257213917,0.2923790434,0.2025523339,0.3776982893,0.31919739,0.3129230139,0.288085886,0.2452896671,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,0.2777771557,0.1984481705,0.5465288802,0.1501045775,0.2378522353,0.3744306234,0.3321793295,0.338410789,0.3338467119,0.3156259943,0.323576589,0.3093840594,0.3067819845,0.3056464288,0.2908793242,0.3142722479,0.2944290229,0.2934734989,0.2780289667,0.278760608,0.2718019236,0.2659207119,0.2731728061,0.2783719037,0.2723462999,0.2637539565,0.2411555246,0.223570947,0.2275510634,,,
Argentina,,,,,,,,,,,,,,,,,,,,,0.3836457236,0.381740461,0.4070925843,0.3986867059,0.394912786,0.4035605692,0.3875433296,0.4153576361,0.4504762015,0.4694136908,0.4625605597,0.4266145171,0.39552188,0.3647338894,0.3583974305,0.3664915386,0.3662009258,0.3530397194,0.3475132809,0.3801065008,0.371512383,0.3869803726,0.4062689391,0.404365253,0.4038379671,0.3792496125,0.3861789464,0.3720257887,0.3648815817,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6879330472,0.6002945427,0.5766675519,0.6347990135,0.4478317181,0.5449966488,0.5278035477,0.4586932193,0.4907859461,0.4579296093,0.3430138338,0.3433832512,0.3304593256,0.3462767666,0.3079670295,0.3126913051,0.3209318072,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
