Country,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Afghanistan,0,0.0000663524309,0.0001320696551,0.0001971607108,0.0002616345939,0.0003254999823,0.0003887654839,0.0004514394218,0.000513530098,0.0005750456615,0.0006359940722,0.0006933987077,0.0007497387493,0.000805028774,0.0008592829284,0.0009125153842,0.0009647396504,0.001015969528,0.001066218062,0.001115498395,0.00116382325,0.00131232621,0.00145887001,0.001602578615,0.001743520531,0.002091171437,0.002264738325,0.002409265923,0.00264956158,0.002872765876,0.002988302898,0.003081631683,0.003227068651,0.003453378698,0.003809071166,0.004166726847,0.004139778614,0.004486904309,0.004883245496,0.005441164221,0.005790151276,0.00629122198,0.006629314978,0.006409942633,0.007264257223,0.007845411144,0.008243556484,0.008446085623,0.009629597713,0.01018559248,0.01118080922,0.01248361014,0.01350351242,0.01412319382,0.01475311894,0.01561000331,0.02123841247,0.02256273944,0.02398559276,0.02404732948,0.02478112742,0.02635126399,0.02958327692,0.03328163041,0.03434982632,0.03369626616,0.03818272806,0.04105955211,0.04182977151,0.04618416294,0.03620833671,0.03808173681,0.03893251752,0.04179676647,0.04377555872,0.04389585113,0.04373799043,0.04561501416,0.04628805683,0.04704794702,0.04656289849,0.04350575927,0.04174741622,0.04407538395,0.04808177002,0.05064717414,0.05337061799,0.05457030054,0.05465514349,0.05856956555,0.06540357516,0.06883225295,0.0682201204,0.06468050107,0.06278065854,0.03868182051,0.03137076323,0.03515794182,0.03648972726,0.04773143743,0.07578440583,0.09323034246,0.1100452727,0.1262165728,0.1417333403,0.2000824382,0.1963827649,0.2429034803,0.2792157576,0.3299602691,0.378379351,0.5093660009,0.8458537899,0.7312995553,0.8160915387,1.016344183,1.116937004,1.016584838,0.8213857495,0.8784639894,1.025909732,0.8236765603,0.4380607105,0.6785958698,0.6502378372,0.8268268802,0.8597895601,0.8905740001,1.108228969,0.661955607,0.6144919994,0.7064343893,0.8790088513,0.8757081038,0.8638999663,0.855572272,4.384838274,4.392261906,4.138093387,4.024602972,3.943927371,3.992908178,3.735175042,3.405237221,3.226595044,3.156232635,3.137626491,3.123759977,3.110329149,3.093448639,3.141636665
Albania,0.0001736683304,0.0001928164389,0.0002443359714,0.0002641622486,0.000299662554,0.0003416428655,0.0003901593675,0.0004229950154,0.0004806976546,0.0004675281018,0.0004998020868,0.0005221111428,0.0005827971892,0.0006418458585,0.0006973392645,0.0007495596581,0.0007701176196,0.0008363486281,0.0008942473735,0.0009540803268,0.001015610723,0.001177513713,0.001254393742,0.001312199556,0.001364634533,0.001376868997,0.001443582397,0.001408628497,0.001520143736,0.001599769981,0.001793696435,0.001864179339,0.001941679019,0.002120019113,0.002157264846,0.002219618959,0.002250125486,0.002254831766,0.002464282499,0.002660970115,0.002738506572,0.002858469197,0.00282507845,0.00300028345,0.00310618425,0.003283057709,0.003428424801,0.003632027108,0.003947449578,0.004179471683,0.004533082386,0.004549480108,0.004406242126,0.004566821755,0.004727568161,0.004760087992,0.005087276771,0.005555097414,0.005708203864,0.005831697484,0.00572588157,0.006067369027,0.006573673451,0.00707858313,0.006015387862,0.01196037377,0.01783608912,0.02364361302,0.02938405074,0.03505842851,0.04066780746,0.04597264556,0.05115729928,0.05622369945,0.06117366876,0.0660780927,0.07073163009,0.07534314528,0.07984533167,0.08423985462,0.08852835869,0.09261864265,0.09669627249,0.1006727713,0.1045496388,0.1082210081,0.1118999294,0.1142503954,0.1171433853,0.1176824009,0.1194402813,0.1212598089,0.1224011648,0.1250759251,0.1275395426,0.1284184468,0.1291878884,0.1292993568,0.1297586759,0.1301237514,0.4074461601,0.575357779,0.6303815356,0.8192262676,1.085920376,1.436612353,1.940678048,2.80584367,3.124861376,3.454830598,3.696598021,4.638383534,5.09292935,4.452694591,4.98445461,6.105161675,6.791203239,8.245489949,8.896047949,10.45912563,11.36041161,11.07161913,11.72921596,11.07296405,11.58953308,12.70246903,11.18043144,12.04913712,12.10869047,15.43874639,17.40652509,17.91744869,17.99148129,17.54510614,15.3959131,15.92093545,15.45084049,15.95288182,16.02970349,15.62019931,15.00052895,10.39425331,3.766150478,2.958125802,2.463501443,2.203207204,2.186463264,1.562502928,1.583237056,1.19022896,1.15382568
Algeria,0,0.00200225591,0.003978790603,0.005930096544,0.007856653703,0.009758929953,0.01164740253,0.01350906016,0.01534910602,0.01716793864,0.01896594679,0.02074352345,0.02250101146,0.0242387993,0.02595721265,0.02765662266,0.02933735208,0.03099972925,0.03264407482,0.03427070207,0.03587991701,0.03729248305,0.03867701771,0.04003439542,0.04136542183,0.04267091517,0.04395161659,0.04520828191,0.04644160595,0.04765226407,0.048840909,0.05000816883,0.05115464451,0.05228091924,0.05338755001,0.05447508931,0.05554403167,0.05659490251,0.0576281602,0.05864429367,0.05964374282,0.06062693905,0.06159429354,0.06254623986,0.06348314032,0.0644053807,0.06531332776,0.06620734627,0.06708775517,0.06795490793,0.06880910205,0.06965066986,0.07047989878,0.07129708224,0.07210249903,0.07289642344,0.07367912137,0.07445085575,0.07521185946,0.07596237113,0.07670265507,0.07743291716,0.0781533718,0.07886424812,0.07882895576,0.0775834419,0.08728859876,0.1074419695,0.09524210723,0.0417025098,0.09246138719,0.1012582628,0.1405461387,0.2074873486,0.1665722313,0.1547377444,3.001324117,2.647203199,2.10458998,2.275752762,1.703667971,1.29545919,0.4763889514,0.3038038557,0.4044121798,0.4809347502,0.9682189135,1.637862751,2.105233429,1.53604811,1.459721707,1.587530002,1.966135335,1.856778718,1.923344853,2.182883947,2.278413763,2.346029226,2.449898772,2.646508037,5.797289865,6.163664959,6.950999497,5.227828005,5.412498836,6.020627091,6.149472242,7.184958095,6.614618394,5.804816119,5.425975536,4.373572227,3.530821347,2.693269013,3.15913067,3.053974048,1.840352479,1.482541307,1.673975576,1.907632692,1.566209424,1.806165385,1.521011651,1.507182286,1.371947379,1.11729323,1.003902441,1.144897581,1.769433225,1.633227829,4.082534876,4.524950097,4.960799314,5.82309468,7.23827756,5.993408538,4.64332393,4.709226498,4.549810348,4.406043707,4.46029425,4.755867747,4.929592377,5.006842513,4.918720631,5.166676235,4.983648222,5.510511961,5.785439073,6.451157449,6.91862412
Angola,0.00002757902755,0.00002734454383,0.000054250161,0.00008072387346,0.0001067784008,0.0001324240774,0.0001576709169,0.0001825305244,0.0002070083827,0.0002311155258,0.000254860729,0.0005026511654,0.000746607026,0.0009868170514,0.001223367224,0.001456341056,0.001685819409,0.001911880685,0.002134601183,0.002354054736,0.002570312979,0.002783445765,0.003002948999,0.00321933231,0.00343266246,0.003643002331,0.003850418053,0.004054969298,0.004256715347,0.004455712236,0.004652019745,0.005232239617,0.004844802814,0.004843951383,0.004843134023,0.005293969218,0.005738920571,0.006178101222,0.006632629496,0.007325491822,0.007694807323,0.00644104644,0.008258099981,0.007168075303,0.008855365751,0.007769346886,0.008684253688,0.009725956658,0.009995692736,0.01002203988,0.01190244434,0.01288653448,0.0256202966,0.03820383407,0.0506398665,0.06293097155,0.07507974081,0.08708848858,0.09895969283,0.1106957736,0.1222988857,0.133771345,0.1451153413,0.1563331011,0.1674265734,0.1783978773,0.18924903,0.1999820605,0.2105987411,0.2211011045,0.2314908433,0.2417698205,0.2519398117,0.2620025343,0.271959737,0.2818129515,0.2915638574,0.3012140983,0.3107651094,0.3202184707,0.3295757288,0.3388382295,2.522802163,1.791097929,1.075232385,1.076361952,1.077479698,1.078587133,1.079683743,1.080769658,1.08184509,1.074205867,1.70386116,1.682810055,1.04961423,1.04079468,1.025756856,1.01489038,3.821995477,5.960187965,9.547458098,10.54153702,11.01315636,9.21917067,8.732058956,8.559658343,7.134964607,7.707857806,7.699430474,7.298144595,8.963695871,7.952725319,15.07226542,17.38742735,18.35436637,17.47431728,19.35871138,16.30919712,17.94568406,18.22174125,23.98838979,23.20662132,21.78994587,23.42322409,22.53289971,13.15966854,10.80948424,11.18640076,10.90097244,10.98218969,11.44854571,9.854830115,8.906067939,8.649327728,8.882717201,9.200501818,8.713315801,8.407639442,7.928450176,7.674465429,7.722958257,7.610880547,7.621144405,6.982620023,7.583854563,6.885712931,6.452437066,6.217754977,6.016970618,5.752846852,4.745772543
Antigua and Barbuda,0.002401016905,0.001601698202,0.003013157059,0.002712458512,0.00336295686,0.003252497952,0.004473716962,0.005124216786,0.005394237315,0.005093538752,0.007265956185,0.007154117747,0.008036670355,0.007197745419,0.009249979978,0.009185751973,0.007751883713,0.009840830394,0.009580337385,0.01170269589,0.01044945471,0.0095838476,0.0116749225,0.010362209,0.01166367886,0.01175823072,0.01264892764,0.01112604503,0.01201623503,0.01169950647,0.01058205708,0.01069999215,0.01171054703,0.008670259056,0.01144087266,0.01051322051,0.009753220162,0.008237915809,0.009998496605,0.007958292036,0.008654630571,0.00802334424,0.009192764146,0.01027913642,0.01076235011,0.01094419481,0.0111545361,0.01129092802,0.01371287639,0.01507029587,0.01652177294,0.02173864163,0.02257231276,0.02595087993,0.02749573647,0.03096546516,0.03108684694,0.03402667439,0.03781419129,0.04151095827,0.0428238162,0.05123519347,0.05131292095,0.04640524297,0.0462637767,0.05748849683,0.07003472382,0.0849960188,0.09523114837,0.08047802917,0.08724246847,0.07277411482,0.0848394019,0.1070887114,0.1049706329,0.1122406928,0.1199982472,0.1298785353,0.1533145645,0.1620724669,0.1393417696,0.1233003016,0.0835531331,0.09937428483,0.1267120613,0.1308938356,0.1318762552,0.176877334,0.1717436455,0.1672911266,0.1724235551,0.1940775373,0.1783662336,0.1945663521,0.2010754401,0.2091433934,0.2338929923,0.2136291933,0.2169954216,0.2196346472,0.2743583028,1.809343084,0.2881507892,0.530259719,0.2699781856,0.5730125769,1.102218948,1.614697922,2.120876911,2.628924567,3.130817348,3.574222004,3.997912251,4.402538091,4.83773541,5.262423527,5.620365018,16.54919531,34.25858874,31.6629081,51.10247775,57.13791181,59.4816611,49.24190014,31.30138864,13.62178833,6.770840099,13.65615296,13.36119023,14.87106833,16.54432811,16.82931479,16.1004715,15.68856266,17.24518865,18.10291636,22.16005979,23.0419843,22.80493057,24.03866079,24.04985525,23.49661353,23.16867822,23.40756556,24.07571007,22.87759862,24.05181573,24.44426005,24.08139954,24.52892764,24.19992823
Argentina,0.004654958336,0.003010056354,0.005494114114,0.004802922986,0.005787528691,0.005444535945,0.007289680323,0.008133374414,0.008345801481,0.007686510971,0.01070132314,0.01028932232,0.01123254578,0.009781049901,0.01222706055,0.01181636716,0.009708479224,0.01200407329,0.01138677963,0.01355788814,0.01180433431,0.01031141373,0.01205338511,0.01028240142,0.01114092436,0.01082627827,0.01124106442,0.009555147209,0.009983879204,0.009414403192,0.008255077691,0.008099642149,0.008658592097,0.006266658076,0.008089529871,0.007277267943,0.006613641405,0.005475781946,0.006518708919,0.005092060461,0.00543757746,0.004878050014,0.005357666633,0.005750176928,0.005785537925,0.005659971016,0.00555552928,0.005420856371,0.006352220869,0.006741366602,0.007142665301,0.008999441901,0.01732535246,0.02501637022,0.03211062466,0.03863852905,0.04463382457,0.05012152262,0.05514122915,0.05947273027,0.06434120689,0.06695937408,0.07623000215,0.0863837247,0.1077774485,0.1381592466,0.18259533,0.2225012325,0.2378747846,0.2185331346,0.2697695754,0.3232276847,0.3967552859,0.4248068392,0.5281277719,0.7745217707,1.582318592,1.499380653,1.331281151,1.395129225,1.314822299,1.518846616,1.528416024,1.625711094,1.525052494,1.495540333,1.924225836,2.543229435,3.292112272,3.832491278,4.625870765,4.287915617,4.132138314,3.412119643,3.133885986,2.810532817,2.843822683,2.863244012,2.675013146,2.376146417,22.43655419,25.92763651,23.75306768,23.12733442,23.24727834,21.93947337,24.4737141,27.48200076,25.40232456,23.84864083,17.55276178,12.84280436,8.933885651,8.657539114,9.334581982,12.69693073,12.41536005,10.84523153,8.943447333,10.10900383,9.444692015,10.2846128,8.0737832,9.603964287,11.30144789,10.01802513,10.2433972,11.06072858,8.743240249,9.211605962,9.541419006,7.942510176,6.831236448,4.997471828,5.051654598,5.157173598,5.700028854,5.746245664,6.193581626,5.909870527,5.245416558,5.043651779,5.166233147,4.902635237,4.981691481,4.685318155,4.869530501,5.311155831,5.363957849,5.545565942,5.339695877
Armenia,0.007629537755,0.008460793415,0.01671658911,0.02469418284,0.03240608212,0.04009980939,0.04822022292,0.05608551195,0.06289415691,0.07016606694,0.07707853254,0.08998611709,0.09004786234,0.09428541862,0.1017346924,0.1022741687,0.1130597621,0.1272552154,0.1042502048,0.1423420066,0.1553290377,0.2077920879,0.2137872848,0.1995228024,0.2330743188,0.2749180567,0.3326491429,0.3290013935,0.4332132971,0.4415243403,0.5106644263,0.5315446615,0.5600258972,0.6288493356,0.6107726406,0.6491171552,0.6707341562,0.6558714009,0.7468285109,0.870097736,0.8387952272,0.8841154926,0.9410235915,1.05880177,1.154427674,1.255371012,1.286662898,1.470878493,1.638682025,1.913578988,2.156163752,2.164659619,2.102270141,2.191073685,2.380254104,2.15974272,2.443153361,2.791089404,2.81926478,2.905111907,2.805685083,3.041828448,3.292250492,3.787001872,3.13815192,2.789148584,3.045420692,2.727326325,1.101540747,0.8375986689,0.75909728,0.8265389988,1.017501439,1.1266316,1.402857182,1.426226189,2.138441725,2.689289763,2.974976396,3.383657142,4.102254129,4.848178216,5.303616032,6.087010032,7.40415103,8.529947005,9.87406857,10.09486935,10.65548774,11.60269705,12.98182787,12.72240248,12.47198719,12.22503479,11.97185382,11.72609338,12.79995449,14.1316247,15.82828002,17.51334019,19.16307203,20.27189064,21.02352214,21.57605665,22.66489408,24.40744162,25.71789706,26.48131742,26.59794504,26.13181095,25.46400427,24.27919399,24.10477406,23.8179574,23.85076417,24.15269234,23.89866715,23.82019586,23.30620993,23.21949289,23.38756575,23.34089533,23.35848568,23.40846764,23.69814339,23.91334321,23.53004781,23.60155144,23.36155942,22.8284202,22.63032419,17.48208678,15.73621078,16.86465434,14.58285802,14.85090404,16.24791276,15.94185059,14.80537966,9.425759292,10.66103448,8.654598326,6.526891533,0.8509795548,0.6717648286,0.4073318428,0.2448264099,0.06538084341,0.5427747498,0.1378124569,1.380845579
Aruba,1.237378286,0.8181657997,1.525701385,1.361542481,1.673563981,1.604807835,2.188723991,2.485979042,2.595242526,2.43038687,3.438633841,3.358269829,3.722002184,3.288918758,4.17030963,4.086270783,3.402656403,4.26239753,4.094743883,4.935912202,4.349326354,3.936641608,4.759886801,4.193490337,4.685578502,4.689184863,5.007947839,4.373410936,4.689684486,4.533780828,4.071951239,4.088620773,4.469173295,3.30480271,4.355547391,3.997569768,3.70417441,3.125001146,3.788464063,3.011965971,3.271797542,3.029750641,3.430218583,3.790198139,3.921453036,3.940605672,3.968937076,3.970084744,4.764854889,5.17484145,5.606461906,7.28994138,14.69236394,22.1847548,29.58600537,36.79239205,42.92361398,49.34608148,57.91317373,65.02536296,71.95684928,76.70706575,142.2377703,221.8389952,251.8088126,273.0794131,299.6899553,377.2732314,400.7109397,454.4843979,523.8299305,547.2628091,560.3785364,534.9380238,532.3896578,500.111247,455.614366,385.2104662,899.5073174,1087.515896,1334.473576,1092.016346,1045.646554,1091.06174,1203.997861,1357.384041,1461.317373,1754.417617,1767.210241,1718.688687,1427.102523,1821.196873,1002.099163,1629.348072,2139.016696,2541.155547,2781.192916,3142.430484,3291.385995,3483.052792,3724.362265,3980.569185,3678.269057,3280.297177,3300.935684,3167.783081,2924.875193,2424.187288,2037.458389,2037.545793,1886.532289,1814.152215,1715.704968,1573.920442,1486.083394,1355.55399,1245.868413,1318.472551,1230.903222,1184.615205,1290.860373,1037.002916,955.626481,1081.99081,1093.099312,656.208898,819.5607353,711.1867679,684.9602995,614.6755079,832.4935567,668.6852905,540.7992608,416.5764236,362.5505409,156.5070916,144.6782396,173.9668474,183.6069292,185.231587,198.5176616,200.7184694,202.5609668,203.9524174,205.5427908,207.3181369,208.9499235,210.5885897,212.2468185,213.9310367,215.6468671
Australia,9.437802154,7.199299548,8.072657525,2.913866519,1.336424005,1.21695459,4.350279592,4.017219754,3.769039924,3.647867534,4.387975043,4.330501809,5.051479977,5.679714718,6.974883475,5.966328871,8.624749038,11.20754745,11.53789574,11.21597981,5.918658546,7.646959427,8.112442472,7.907594756,7.061138375,6.875208925,6.678495977,7.029270116,5.138689436,4.980915563,4.822033551,9.257363148,10.08156068,11.53413246,13.32610605,11.42681151,9.760059139,8.994855028,10.1314495,11.52316509,11.18896898,13.2138208,11.71688698,12.46677851,13.17655025,13.93536204,15.04637534,17.34465987,19.11271168,21.87213956,22.53358113,23.61017578,21.77423693,22.69296793,23.953791,26.55536517,27.42033313,32.27651651,31.96414056,29.17059021,33.18648401,34.30289175,35.31344281,34.79919797,30.14297597,26.28862499,24.42368694,24.51754865,24.94961038,15.78905035,19.37638484,17.65704985,18.91665144,20.98802461,20.30276413,19.9019997,18.87474338,19.99469612,18.60801203,17.89425979,16.96439332,14.51947905,16.47589918,16.67979322,16.78448648,17.77099592,19.37542588,21.37282662,22.04810234,23.07733104,22.48367515,23.97128441,23.67231989,22.18912467,21.99214083,20.10476063,20.44773771,20.62728949,21.01666463,20.80126157,22.02698558,21.77024751,22.83382163,24.23600104,26.83963683,30.74532496,33.89791866,34.5211456,36.21796345,37.06645782,39.19649298,37.4041228,38.67785221,40.38939559,38.56096469,37.84428639,39.24954695,39.42083524,40.25909015,40.17768588,39.69826608,35.39912593,36.90589569,36.60988552,38.65697366,39.01432361,41.50049147,43.31382956,41.52162148,42.239166,39.3287262,41.69106457,45.48845417,43.54831858,40.25007645,39.19364393,40.35492235,43.84796194,38.20664373,45.64713097,48.05508217,48.61647029,50.85237213,51.69971067,53.09470301,49.56897349,50.4957522,49.58189882,48.69786751,50.74269647,63.26762545
Austria,0.9998341295,1.30549095,1.597423956,1.856448355,1.840926694,2.071969087,2.423697049,2.782944068,3.007327922,3.250388661,3.642220892,4.096020084,4.558077675,4.574948377,4.558673715,5.019547618,4.487750893,5.586641931,6.567853504,7.155409263,8.022592923,9.858499922,10.28130282,11.18455594,10.95786791,10.77567076,11.10179709,11.03647429,11.28688301,12.54252845,12.91487594,13.74133657,14.03547792,14.96589386,15.05599073,15.56738471,15.67335918,16.43366428,16.9967114,17.83278004,18.55567585,19.54164107,19.23426232,20.59198527,21.02756813,22.23830816,22.89726608,23.91784301,24.60077128,24.96184391,26.1964685,26.66444805,25.75421145,25.95586101,26.6482941,27.29958678,29.86813458,34.48115569,42.79095549,35.62412211,42.29295403,41.058905,46.97262852,21.00379025,17.88409893,26.57045721,20.53658102,16.78131371,13.15627898,10.47466004,7.854417449,9.507450862,9.420591836,9.351795523,10.57505602,10.02700673,9.508480615,10.58189437,11.14186644,12.84671902,10.33172606,9.740805139,8.44825242,8.222379372,7.989908201,8.210035253,8.529333677,10.28374663,10.85684853,12.67372163,13.88458994,11.04367457,9.00081075,7.47316746,5.992796609,3.471370397,4.344620396,7.390085487,11.0745224,13.57488062,12.91972799,15.47698019,15.11475299,15.26911606,17.59461711,20.69941279,22.41660959,23.74271986,20.78075415,19.604772,20.71416835,20.26829525,22.04316564,25.52484612,25.89131578,25.48769602,25.34938607,24.39608708,25.15751703,24.56573351,27.80319421,26.18242559,26.48327169,25.95459894,25.81068955,23.01011472,22.9116268,22.06610641,22.5371906,24.54733227,22.75256963,20.06582213,19.05278857,14.36144493,13.29232796,12.09308318,10.76775822,9.31454064,6.936967082,6.180782529,5.179365976,4.924266697,3.853457923,3.692762648,3.30113584,3.230843923,3.039380949,2.788146931,2.53756148,2.347372598,2.156922124
