Forest plantation area (ha),1990,2000,2005
Angola,140000,134000,131000
Botswana,,,
British Indian Ocean Territory,,,
Comoros,2000,2000,1000
Kenya,238000,212000,202000
Lesotho,4000,6000,7000
Madagascar,"293,000","293,000","293,000"
Malawi,"132,000","180,000","204,000"
Mauritius,16000,15000,15000
Mayotte,,,
Mozambique,38000,38000,38000
Namibia,,,
Reunion,5000,5000,5000
Seychelles,5000,5000,5000
South Africa,1204000,1352000,1426000
Swaziland,135000,121000,114000
Uganda,33000,35000,36000
Tanzania,150000,150000,150000
Zambia,60000,75000,75000
Zimbabwe,154000,154000,154000
Algeria,620000,652000,754000
Burkina Faso,33000,63000,76000
Chad,11000,14000,15000
Djibouti,,,
Egypt,44000,59000,67000
Eritrea,10000,22000,28000
Ethiopia,491000,491000,491000
Libya,217000,217000,217000
Mali,,60000,
Mauritania,,10000,
Morocco,478000,523000,563000
Niger,,72000,110000
Somalia,3000,3000,3000
Sudan,"6,111,000","5,639,000","5,404,000"
Tunisia,226000,423000,498000
Western Sahara,,,
Benin,98000,109000,114000
Burundi,,86000,86000
Cameroon,,,
Cape Verde,58000,82000,84000
Central African Rep.,2000,4000,5000
"Congo, Rep.","51,000","51,000","51,000"
Cote d'Ivoire,154000,261000,337000
"Congo, Dem. Rep.",,,
Equatorial Guinea,,,
Gabon,36000,36000,36000
Gambia,,,
Ghana,50000,60000,160000
Guinea,17000,22000,33000
Guinea-Bissau,,,1000
Liberia,8000,8000,8000
Nigeria,"251,000",316000,349000
Rwanda,248000,282000,419000
Saint Helena,,,
Sao Tome and Principe,,,
Senegal,"205,000","306,000","365,000"
Sierra Leone,2000,3000,3000
Togo,24000,34000,38000
China,"18,466,000","23,924,000","31,369,000"
"Korea, Dem. Rep.",,,
Japan,"10,287,000","10,331,000","10,321,000"
Mongolia,"30,000","75,000","112,000"
"Korea, Rep.",748000,1188000,1364000
Bangladesh,239000,276000,279000
Bhutan,1000,1000,2000
Brunei,,,
Cambodia,67000,72000,59000
India,1954000,2805000,3226000
Indonesia,"2,209,000","3,002,000","3,399,000"
Laos,"4,000","99,000","224,000"
Malaysia,"1,956,000","1,659,000","1,573,000"
Maldives,,,
Myanmar,394000,696000,849000
Nepal,49000,52000,53000
Pakistan,234000,296000,318000
Philippines,1780000,852000,620000
Singapore,,,
Sri Lanka,242000,221000,195000
