Wood products removal (m3),1990,2000,2005
Angola,"3,668,000","4,905,000","5,196,000"
Botswana,792000,851000,881000
British Indian Ocean Territory,,,
Comoros,168000,193000,206000
Kenya,"21,385,000","24,900,000","26,658,000"
Lesotho,"1,771,000","2,227,000","2,455,000"
Madagascar,"7,246,000","9,973,000","7,031,000"
Malawi,"6,348,000","6,297,000","6,272,000"
Mauritius,27000,18000,14000
Mayotte,,,
Mozambique,"18,174,000","20,744,000","22,029,000"
Namibia,,,
Reunion,,,8000
Seychelles,10000,12000,13000
South Africa,"15,521,000","17,000,000","17,741,000"
Swaziland,"1,814,000","1,024,000","1,024,000"
Uganda,"35,909,000","42,936,000","46,449,000"
Tanzania,"23,846,000","26,637,000","28,033,000"
Zambia,"8,073,000","9,259,000","9,851,000"
Zimbabwe,"8,552,000","10,519,000","11,566,000"
Algeria,165000,184000,195000
Burkina Faso,"6,339,000","7,248,000","7,338,000"
Chad,"3,931,000","4,168,000","4,292,000"
Djibouti,,,
Egypt,,,240000
Eritrea,,"2,551,000","2,551,000"
Ethiopia,"85,841,000","103,188,000","111,861,000"
Libya,,,
Mali,"4,961,000","5,911,000","6,386,000"
Mauritania,"1,097,000","1,651,000",
Morocco,"1,012,000",897000,949000
Niger,"9,544,000","12,151,000","12,473,000"
Somalia,"7,437,000","10,703,000","12,334,000"
Sudan,"20,684,000","21,715,000","22,230,000"
Tunisia,208000,236000,274000
Western Sahara,14000,23000,23000
Benin,,,
Burundi,"6,721,000","8,217,000","9,693,000"
Cameroon,"14,861,000","17,989,000","19,772,000"
Cape Verde,,,
Central African Rep.,"4,054,000","3,566,000","3,566,000"
"Congo, Rep.","2,059,000","2,424,000","2,767,000"
Cote d'Ivoire,"8,826,000","12,137,000","12,545,000"
"Congo, Dem. Rep.","54,922,000","78,791,000","82,994,000"
Equatorial Guinea,714000,933000,933000
Gabon,"2,198,000","3,550,000","4,227,000"
Gambia,602000,783000,873000
Ghana,"16,078,000","24,999,000","29,458,000"
Guinea,"11,412,000","13,179,000","14,001,000"
Guinea-Bissau,"1,110,000","1,309,000","1,417,000"
Liberia,"5,048,000","5,610,000","5,918,000"
Nigeria,"63,756,000","79,002,000","86,627,000"
Rwanda,"3,114,000","7,789,000","10,429,000"
Saint Helena,,,
Sao Tome and Principe,10000,10000,10000
Senegal,"4,696,000","5,131,000","5,110,000"
Sierra Leone,"5,534,000","6,212,000","6,551,000"
Togo,,"7,054,000","6,332,000"
China,"159,081,000","144,775,000","135,435,000"
"Korea, Dem. Rep.","5,745,000","8,043,000","8,692,000"
Japan,"31,130,000","18,843,000","22,334,000"
Mongolia,"1,084,000",448000,448000
"Korea, Rep.","3,911,000","4,019,000","4,074,000"
Bangladesh,802000,"1,114,000","1,269,000"
Bhutan,313000,290000,277000
Brunei,100000,100000,100000
Cambodia,"3,250,000","3,192,000",
India,"9,001,000","5,735,000","4,724,000"
Indonesia,"26,560,000","24,409,000","11,257,000"
Laos,"6,965,000","7,424,000","7,424,000"
Malaysia,"53,739,000","28,289,000","24,014,000"
Maldives,,,
Myanmar,"39,084,000","40,708,000","43,060,000"
Nepal,138000,110000,119000
